key	text	tooltip
#Loc;1;text/db/character_skill_node_sets__.loc		
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_skv_tretch_craventail	Kỹ năng của Tretch Craventail	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_arkhan	Kỹ năng của Arkhan	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_khalida	Kỹ năng của Khalida	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_khatep	Kỹ năng của Khatep	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_liche_priest_death	Kỹ năng của Liche Priest	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_liche_priest_light	Kỹ năng của Liche Priest	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara	Kỹ năng của Liche Priest	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_liche_priest_shadow	Kỹ năng của Liche Priest	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_necrotect	Kỹ năng của Necrotect	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_necrotect_ritual	Kỹ năng của Necrotect	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_settra	Kỹ năng của Settra	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king	Kỹ năng của Tomb King	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_alkhazzar_ii	Kỹ năng của Tomb King	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_lahmizzash	Kỹ năng của Tomb King	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_rakhash	Kỹ năng của Tomb King	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_setep	Kỹ năng của Tomb King	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_thutep	Kỹ năng của Tomb King	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_wakhaf	Kỹ năng của Tomb King	false
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_prince	Kỹ năng của Tomb Prince	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_crone	Kỹ năng của Crone Hellebron	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_sorceress_beasts	Kỹ năng của Sorceress (Beasts)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_sorceress_death	Kỹ năng của Sorceress (Death)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_beasts	Kỹ năng của Supreme Sorceress (Beasts)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_dark	Kỹ năng của Supreme Sorceress (Dark)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_death	Kỹ năng của Supreme Sorceress (Death)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_fire	Kỹ năng của Supreme Sorceress (Fire)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_shadow	Kỹ năng của Supreme Sorceress (Shadows)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_hef_alarielle	Kỹ năng của Alarielle	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_hef_alith_anar	Kỹ năng của Alith Anar	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_hef_handmaiden	Kỹ năng của Handmaiden	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_hef_mage_heavens	Kỹ năng của Mage (Heavens)	false
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_hef_mage_shadows	Kỹ năng của Mage (Shadows)	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral	Kỹ năng của Vampire Fleet Admiral	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral_death	Kỹ năng của Vampire Fleet Admiral	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral_deep	Kỹ năng của Vampire Fleet Admiral	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral_fem	Kỹ năng của Vampire Fleet Admiral	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral_fem_death	Kỹ năng của Vampire Fleet Admiral	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral_fem_deep	Kỹ năng của Vampire Fleet Admiral	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_aranessa	Kỹ năng của Aranessa Saltspite	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_cylostra	Kỹ năng của Cylostra Direfin	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_fleet_captain	Kỹ năng của Vampire Fleet Captain (Vampires)	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_fleet_captain_death	Kỹ năng của Vampire Fleet Captain (Death)	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_fleet_captain_deep	Kỹ năng của Vampire Fleet Captain (Deep)	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_ghost_paladin	Kỹ năng của Damned Paladin	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_gunnery_wight	Kỹ năng của Gunnery Wight	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_harkon	Kỹ năng của Luthor Harkon	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_mourngul	Kỹ năng của Mourngul Haunter	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_noctilus	Kỹ năng của Count Noctilus	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_def_lokhir	Kỹ năng của Lokhir Fellheart	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_vmp_bloodline_blood_dragon_lord	Kỹ năng của Blood Dragon Lord	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_vmp_bloodline_lahmian_lord	Kỹ năng của Lahmian Lord	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_vmp_bloodline_necrarch_lord	Kỹ năng của Necrarch Lord	false
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_vmp_bloodline_strigoi_lord	Kỹ năng của Strigoi Lord	false
