key	text	tooltip
#Loc;1;text/db/campaign_map_playable_areas__.loc		
campaign_map_playable_areas_onscreen_description_1024396413	[[b]]Chiến dịch The Lost God mang đến một phần mở đầu cho The Realm of Chaos, cung cấp một trải nghiệm dành cho những người chơi hoàn toàn mới và những người cần ôn lại các cơ chế của Total War: Warhammer.[[/b]]	false
campaign_map_playable_areas_onscreen_description_119056105	[[b]]Immortal Empires là một chiến dịch sandbox rộng lớn bao trùm toàn bộ thế giới Warhammer, với các mục tiêu mở mang đến trải nghiệm Total War: Warhammer đỉnh cao.[[/b]]	false
campaign_map_playable_areas_onscreen_description_1247591265	[[b]]The Realm of Chaos mang đến trải nghiệm cốt truyện độc đáo trong một bối cảnh tập trung của thế giới Warhammer.[[/b]]	false
campaign_map_playable_areas_onscreen_description_1363800561	{{tr:campaign_map_playable_areas_onscreen_description_1416507207}}	false
campaign_map_playable_areas_onscreen_description_1416507207	[[b]]Immortal Empires là một chiến dịch sandbox rộng lớn bao trùm toàn bộ thế giới Warhammer, với các mục tiêu mở mang đến trải nghiệm Total War: Warhammer đỉnh cao.[[/b]]	false
campaign_map_playable_areas_onscreen_description_238222457	[[b]]The Realm of Chaos mang đến trải nghiệm cốt truyện độc đáo trong một bối cảnh tập trung của thế giới Warhammer.[[/b]]	false
campaign_map_playable_areas_onscreen_description_275251577	[[b]]Immortal Empires là một chiến dịch sandbox rộng lớn bao trùm toàn bộ thế giới Warhammer, với các mục tiêu mở mang đến trải nghiệm Total War: Warhammer đỉnh cao.[[/b]]	false
campaign_map_playable_areas_onscreen_description_328425926	[[b]]The Realm of Chaos mang đến trải nghiệm cốt truyện độc đáo trong một bối cảnh tập trung của thế giới Warhammer.[[/b]]	false
campaign_map_playable_areas_onscreen_description_856762626	[[b]]The Realm of Chaos mang đến trải nghiệm cốt truyện độc đáo trong một bối cảnh tập trung của thế giới Warhammer.[[/b]]	false
campaign_map_playable_areas_onscreen_description_861366624	{{tr:campaign_map_playable_areas_onscreen_description_1416507207}}	false
campaign_map_playable_areas_onscreen_name_1024396413	Vị Thần Thất Lạc	false
campaign_map_playable_areas_onscreen_name_119056105	Đế chế Bất tử	false
campaign_map_playable_areas_onscreen_name_1247591265	Vương quốc Hỗn mang	false
campaign_map_playable_areas_onscreen_name_1363800561	{{tr:campaign_map_playable_areas_onscreen_name_1416507207}}	false
campaign_map_playable_areas_onscreen_name_1416507207	Đế chế Bất tử	false
campaign_map_playable_areas_onscreen_name_238222457	Vương quốc Hỗn mang	false
campaign_map_playable_areas_onscreen_name_275251577	Đế chế Bất tử	false
campaign_map_playable_areas_onscreen_name_328425926	Vương quốc Hỗn mang	false
campaign_map_playable_areas_onscreen_name_856762626	Vương quốc Hỗn mang	false
campaign_map_playable_areas_onscreen_name_861366624	{{tr:campaign_map_playable_areas_onscreen_name_1416507207}}	false
