key	text	tooltip
#Loc;1;text/db/building_chains__.loc		
building_chains_chain_tooltip_wh2_dlc09_special_black_tower_of_arkhan	Hắc Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_black_tower_of_arkhan_other	Hắc Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_pyramid_alcadizaar	Kim Tự Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_pyramid_amenemhetum	Kim Tự Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_pyramid_khatep	Kim Tự Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_pyramid_phar	Kim Tự Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_pyramid_settra	Kim Tự Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_pyramid_tutankhanut	Kim Tự Tháp	false
building_chains_chain_tooltip_wh2_dlc09_special_settlement_khemri_tmb	Khemri	false
building_chains_chain_tooltip_wh2_dlc09_special_settlement_lahmia_tmb	Lahmia	false
building_chains_chain_tooltip_wh2_dlc09_special_settlement_pyramid_of_nagash_floating	Kim Tự Tháp Nagash	false
building_chains_chain_tooltip_wh2_dlc09_special_settlement_pyramid_of_nagash_tmb	Kim Tự Tháp Nagash	false
building_chains_chain_tooltip_wh2_dlc09_tmb_arkhan_burial_mound	Sinh Vật Bóng Tối	false
building_chains_chain_tooltip_wh2_dlc09_tmb_cavalry	Kỵ Binh	false
building_chains_chain_tooltip_wh2_dlc09_tmb_chariots	Chiến Xa	false
building_chains_chain_tooltip_wh2_dlc09_tmb_citadel	Thành Trì	false
building_chains_chain_tooltip_wh2_dlc09_tmb_defence_major	Tường Thành	false
building_chains_chain_tooltip_wh2_dlc09_tmb_defence_minor	Đồn Trú	false
building_chains_chain_tooltip_wh2_dlc09_tmb_defence_norsca	Đồn Trú	false
building_chains_chain_tooltip_wh2_dlc09_tmb_estate	Gia Trang	false
building_chains_chain_tooltip_wh2_dlc09_tmb_growth	Tăng Trưởng	false
building_chains_chain_tooltip_wh2_dlc09_tmb_hierotitan	Hierotitan	false
building_chains_chain_tooltip_wh2_dlc09_tmb_income	Thu Nhập	false
building_chains_chain_tooltip_wh2_dlc09_tmb_infantry	Bộ Binh	false
building_chains_chain_tooltip_wh2_dlc09_tmb_necrosphinx	Necrosphinx	false
building_chains_chain_tooltip_wh2_dlc09_tmb_port	Cảng	false
building_chains_chain_tooltip_wh2_dlc09_tmb_public_order	Trật Tự Công Cộng	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_animals	Động Vật Ngoại Lai	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_dyes	Sản Xuất Thuốc Nhuộm	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_furs	Thú Săn	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_gems	Khai Thác Đá Quý	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_gold	Khai Thác Vàng	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_iron	Khai Thác Sắt	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_marble	Mỏ Đá Cẩm Thạch	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_medicine	Sản Xuất Dược Phẩm	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_obsidian	Mỏ Đá Hắc Diệu Thạch	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_pasture	Đồng Cỏ	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_pottery	Sản Xuất Đồ Gốm	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_salt	Làm Muối	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_spices	Buôn Bán Gia Vị	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_wine	Vườn Cây Ăn Trái	false
building_chains_chain_tooltip_wh2_dlc09_tmb_resource_wood	Vùng Đất Lâm Nghiệp	false
building_chains_chain_tooltip_wh2_dlc09_tmb_scorpions	Bọ Cạp	false
building_chains_chain_tooltip_wh2_dlc09_tmb_settlement_major	Thủ Phủ Tỉnh	false
building_chains_chain_tooltip_wh2_dlc09_tmb_settlement_minor	Điểm Định Cư Phụ	false
building_chains_chain_tooltip_wh2_dlc09_tmb_ushabti	Ushabti	false
building_chains_chain_tooltip_wh2_dlc09_tmb_warsphinx	Warsphinx	false
building_chains_chain_tooltip_wh2_dlc10_hef_aesanar_camp	Trại Aesanar	false
building_chains_chain_tooltip_wh2_dlc10_hef_handmaidens	Thị Nữ	false
building_chains_chain_tooltip_wh2_dlc10_hef_handmaidens_alarielle	Thị Nữ	false
building_chains_chain_tooltip_wh2_dlc10_special_world_root_entrance	Lối Vào Rễ Thế Giới	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_animals	Động Vật Ngoại Lai	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_dyes	Sản Xuất Thuốc Nhuộm	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_furs	Thú Săn	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_gems	Khai Thác Đá Quý	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_gold	Khai Thác Vàng	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_iron	Khai Thác Sắt	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_marble	Mỏ Đá Cẩm Thạch	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_medicine	Sản Xuất Dược Phẩm	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_obsidian	Mỏ Đá Hắc Diệu Thạch	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_pasture	Đồng Cỏ	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_pottery	Sản Xuất Đồ Gốm	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_salt	Làm Muối	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_spices	Buôn Bán Gia Vị	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_wine	Vườn Cây Ăn Trái	false
building_chains_chain_tooltip_wh2_dlc11_cst_resource_wood	Vùng Đất Lâm Nghiệp	false
building_chains_chain_tooltip_wh2_dlc11_foreign_corruption	Quán Rượu Hắc Ám	false
building_chains_chain_tooltip_wh2_dlc11_foreign_income	Sào Huyệt Kẻ Cướp	false
building_chains_chain_tooltip_wh2_dlc11_foreign_infamy	Hang Ổ Hải Tặc	false
building_chains_chain_tooltip_wh2_dlc11_foreign_trade	Vịnh Buôn Lậu	false
building_chains_chain_tooltip_wh2_dlc11_horde_def_aristocracy	Quý Tộc Hắc Thuyền	false
building_chains_chain_tooltip_wh2_dlc11_horde_def_exiles	Kẻ Lưu Vong Hắc Thuyền	false
building_chains_chain_tooltip_wh2_dlc11_horde_def_residence	Dinh Thự Hắc Thuyền	false
building_chains_chain_tooltip_wh2_dlc11_horde_def_riders	Kỵ Sĩ Hắc Thuyền	false
building_chains_chain_tooltip_wh2_dlc11_special_ancient_vault	Địa Danh	false
building_chains_chain_tooltip_wh2_dlc11_special_cylostra_opera_house	Địa Danh	false
building_chains_chain_tooltip_wh2_dlc11_special_dragon_tooth_lighthouse	Địa Danh	false
building_chains_chain_tooltip_wh2_dlc11_special_galleons_graveyard_wreck	Địa Danh	false
building_chains_chain_tooltip_wh2_dlc11_special_settlement_galleons_graveyard	Nghĩa Địa Chiến Thuyền Galleon	false
building_chains_chain_tooltip_wh2_dlc11_special_settlement_galleons_graveyard_other	Nghĩa Địa Chiến Thuyền Galleon	false
building_chains_chain_tooltip_wh2_dlc11_special_ship_aranessa	Boong Tàu Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc11_special_ship_cylostra	Boong Tàu Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc11_special_ship_harkon	Boong Tàu Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc11_special_ship_harpoon	Boong Tàu Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc11_special_ship_noctilus	Boong Tàu Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_defence_garrison	Đồn Trú	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_defence_norsca	Đồn Trú	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_defence_walls	Tường Thành	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_infrastructure_corruption	Sự Tha Hóa	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_infrastructure_growth	Tăng Trưởng	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_infrastructure_income	Thu Nhập	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_infrastructure_income_other	Kho Báu Chôn Giấu	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_infrastructure_public_order	Trật Tự Công Cộng	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_military_barracks	Doanh Trại	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_military_flying	Đơn Vị Bay	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_military_ranged	Đơn Vị Tầm Xa	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_port	Cảng	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_settlement_major	Thủ Phủ Tỉnh	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_settlement_minor	Điểm Định Cư Phụ	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_anchor	Neo	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_cannons	Đại Bác	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_captains_cabin	Phòng Thuyền Trưởng	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_crows_nest	Đài Quan Sát	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_gunports	Cửa Pháo	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_helm	Bánh Lái	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_hold	Khoang Tàu	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_hull	Thân Tàu	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_main_deck	Boong Tàu Chính	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_ship_sail	Cánh Buồm Chính	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_support_artillery	Pháo Binh	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_support_monsters	Quái Thú	false
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_support_necrofex	Necrofex	false
building_chains_chain_tooltip_wh2_dlc12_dummy_nuclear_ruins	Phế Tích Hạt Nhân	false
building_chains_chain_tooltip_wh2_dlc12_dummy_nuclear_ruins_lzd	Phế Tích Hạt Nhân	false
building_chains_chain_tooltip_wh2_dlc12_dummy_nuclear_ruins_tmb	Phế Tích Hạt Nhân	false
building_chains_chain_tooltip_wh2_dlc12_dummy_nuclear_ruins_tmb_nagash	Phế Tích Hạt Nhân	false
building_chains_chain_tooltip_wh2_dlc12_dummy_nuclear_ruins_tmb_settra	Phế Tích Hạt Nhân	false
building_chains_chain_tooltip_wh2_dlc12_special_bordeleaux_manann_shrine	Điện Thờ Manann	false
building_chains_chain_tooltip_wh2_dlc12_special_sotek_snake_pit	Hố Rắn	false
building_chains_chain_tooltip_wh2_dlc12_special_warlock_lab	Phòng Thí Nghiệm	false
building_chains_chain_tooltip_wh2_dlc12_special_warpstone_tractor_beam	Tia Luồng Hút Warpstone	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_annexation_doomsday	Thiết Bị Tận Thế	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_annexation_war_camp	Trại Chiến Tranh	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_discovery_assassins	Ám Sát	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_discovery_deeper_tunnels	Đường Hầm Sâu Hơn	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_food_kidnappers	Bắt Cóc	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_food_raiding_camp	Cướp Bóc	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_money_crafting	Chế Tác	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_money_thieves	Trộm Cắp	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_settlement_stronghold	Thành Lũy	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_settlement_warren	Hang Ổ Warren	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_warpstone_mine	Khai Quật	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_warpstone_refinery	Nhà Máy Lọc Đá Warpstone	false
building_chains_chain_tooltip_wh2_dlc12_under_empire_warpstone_strip_mine	Mỏ Lộ Thiên Dưới Lòng Đất	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_beasts	Quái Thú	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_coldones	Thằn Lằn Cold Ones	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_flying	Khu Nuôi Thú Bay	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_great_beasts	Đại Quái Thú	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_portal_itzl	Itzl	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_portal_quetzl	Quetzl	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_portal_tlanxla	Tlanxla	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_saurus	Hồ Sinh Sản	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_saurus_veteran	Hộ Vệ	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_skink_chief	Thiền Định	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_skink_priest	Đàn Tế	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_skinks	Buồng Sinh Sản	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_slann	Slann	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_support_faction	Kính Hồi Chuyển	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_support_horde	Đài Tưởng Niệm	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_support_rcost	Liên Kết Nexus	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_support_rrank	Đấu Trường	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_support_upkeep	Thánh Điện	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_ziggurat	Tháp Ziggurat	false
building_chains_chain_tooltip_wh2_dlc13_horde_lizardmen_ziggurat_minor	Tháp Ziggurat	false
building_chains_chain_tooltip_wh2_dlc13_lzd_nakai_itzl	Đền Thờ Itzl	false
building_chains_chain_tooltip_wh2_dlc13_lzd_nakai_quetzl	Đền Thờ Quetzl	false
building_chains_chain_tooltip_wh2_dlc13_lzd_nakai_settlement_major	Thủ Phủ Tỉnh	false
building_chains_chain_tooltip_wh2_dlc13_lzd_nakai_settlement_minor	Điểm Định Cư Phụ	false
building_chains_chain_tooltip_wh2_dlc13_lzd_nakai_xholankha	Đền Thờ Xholankha	false
building_chains_chain_tooltip_wh2_dlc13_lzd_port_nakai_itzl	Đền Thờ Itzl	false
building_chains_chain_tooltip_wh2_dlc13_lzd_port_nakai_quetzl	Đền Thờ Quetzl	false
building_chains_chain_tooltip_wh2_dlc13_lzd_port_nakai_xholankha	Đền Thờ Xholankha	false
building_chains_chain_tooltip_wh2_dlc14_special_copher_port	Cảng Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc14_special_copher_port_bretonnia	Cảng Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc14_special_dragon_isle_port	Cảng Địa Danh Tự Nhiên	false
building_chains_chain_tooltip_wh2_dlc14_special_dragon_isle_port_grn	Cảng Địa Danh Tự Nhiên	false
building_chains_chain_tooltip_wh2_dlc14_special_dragon_isle_port_tmb	Cảng Địa Danh Tự Nhiên	false
building_chains_chain_tooltip_wh2_dlc14_special_fyrus_holy_monastery	Tu Viện Linh Thiêng	false
building_chains_chain_tooltip_wh2_dlc14_special_lzd_konquata	Mầm Sống Mới	false
building_chains_chain_tooltip_wh2_dlc14_special_nagashizzar_arkhan	Đại Sảnh Bị Cấm	false
building_chains_chain_tooltip_wh2_dlc14_special_nagashizzar_other	Đại Sảnh Bị Cấm	false
building_chains_chain_tooltip_wh2_dlc14_special_nagashizzar_vmp	Đại Sảnh Bị Cấm	false
building_chains_chain_tooltip_wh2_dlc14_special_pigbarter_grn	Đấu Trường Đua Heo	false
building_chains_chain_tooltip_wh2_dlc14_special_pigbarter_human	Chợ Pigbarter	false
building_chains_chain_tooltip_wh2_dlc14_special_skv_crookback	Tổng Hành Dinh Bang Hội	false
building_chains_chain_tooltip_wh2_dlc14_special_skv_eshin_den	Tổng Hành Dinh Bang Hội	false
building_chains_chain_tooltip_wh2_dlc14_under_empire_annexation_plague_cauldron	Vạc Dịch Bệnh	false
building_chains_chain_tooltip_wh2_dlc15_hef_field_hq	Mistwalkers	false
building_chains_chain_tooltip_wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth	Phế Tích Bị Nguyền Rủa	false
building_chains_chain_tooltip_wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth_vmp	Phế Tích Bị Nguyền Rủa	false
building_chains_chain_tooltip_wh2_dlc15_special_galbaraz_mourkain_grn	Phế Tích Cổ Đại	false
building_chains_chain_tooltip_wh2_dlc15_special_graves_of_the_dragons_dwf	Nghĩa Địa Rồng	false
building_chains_chain_tooltip_wh2_dlc15_special_graves_of_the_dragons_hef	Nghĩa Địa Rồng	false
building_chains_chain_tooltip_wh2_dlc15_special_graves_of_the_dragons_vmp	Nghĩa Địa Rồng	false
building_chains_chain_tooltip_wh2_dlc15_special_grn_nuln_grand_prix	Đường Đua	false
building_chains_chain_tooltip_wh2_dlc15_special_grom_peak_statue_of_grom	Tác Phẩm Nghệ Thuật	false
building_chains_chain_tooltip_wh2_dlc15_special_ka_sabar_city_of_bronze	Xưởng Đúc Cổ Đại	false
building_chains_chain_tooltip_wh2_dlc15_special_ka_sabar_city_of_bronze_tmb	Xưởng Đúc Cổ Đại	false
building_chains_chain_tooltip_wh2_dlc15_special_massif_orcal_quarry	Mỏ Đá Đặc Biệt	false
building_chains_chain_tooltip_wh2_dlc15_special_morgheim_necropolis_tmb	Phế Tích Cổ Đại	false
building_chains_chain_tooltip_wh2_dlc15_special_morgheim_necropolis_vmp	Phế Tích Cổ Đại	false
building_chains_chain_tooltip_wh2_dlc15_special_mount_arachnos	Hang Ổ	false
building_chains_chain_tooltip_wh2_dlc15_special_nagashizzar_azhag	Đại Sảnh Bị Cấm	false
building_chains_chain_tooltip_wh2_dlc15_special_settlement_massif_orcal_brt	Massif Orcal	false
building_chains_chain_tooltip_wh2_dlc15_special_settlement_massif_orcal_grn	Massif Orcal	false
building_chains_chain_tooltip_wh2_dlc15_special_settlement_massif_orcal_savage	Massif Orcal	false
building_chains_chain_tooltip_wh2_dlc15_special_settlement_tor_yvresse_def	Tor Yvresse	false
