key	text	tooltip
#Loc;1;text/db/character_skills__.loc		
character_skills_localised_description_wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	Ghorst băng qua cõi đất bị ruồng bỏ như cách ông đã từng đi trên những con đường của Đế chế khi còn là một người phu ngựa, trước khi việc nghiên cứu thuật chiêu hồn chiếm trọn mọi khoảnh khắc khi thức của ông.	false
character_skills_localised_description_wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	Sự tinh thông hắc thuật đã ban cho Ghorst sức mạnh phi thường, giúp ông dễ dàng tự mình trụ vững trong chiến đấu.	false
character_skills_localised_description_wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	Theo thời gian, da của Ghorst đã trở nên cứng cáp như da của một xác chết, khiến những mũi tên và nhát kiếm vốn dĩ sẽ giết chết một người thường giờ đây chỉ có thể sượt qua.	false
character_skills_localised_description_wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	Sau khi sống sót qua Đại dịch Hoa Hồng Xanh chết chóc, ngay cả sau khi cố ý tự lây nhiễm cho mình, Ghorst có thể dễ dàng hồi phục sau những vết thương và bệnh tật nhẹ.	false
character_skills_localised_description_wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	Nhờ đó, những kẻ bị cuốn vào Vũ điệu Tử thần (Danse Macabre) của Ghorst bị đẩy lên phía trước vào cuộc giao tranh, trở nên nguy hiểm hơn nhiều trong khi bùa chú còn hiệu lực.	false
character_skills_localised_description_wh2_dlc07_skill_brt_alberic_special_0	Alberic là người dũng cảm và yêu thích việc dấn thân vào giữa trận chiến, truyền cảm hứng cho toàn quân thực hiện những hành động anh dũng.	false
character_skills_localised_description_wh2_dlc07_skill_brt_alberic_special_1	Hải quân của Alberic hỗ trợ đưa vật liệu đóng tàu và lương thực đến các khu định cư ven biển, giúp chúng phát triển phồn vinh.	false
character_skills_localised_description_wh2_dlc07_skill_brt_alberic_special_2	Các tuyến đường biển của Bordeleaux từng được sử dụng bởi những người định cư Tiên (Elf); giờ đây chúng phục vụ người dân của Alberic.	false
character_skills_localised_description_wh2_dlc07_skill_brt_alberic_special_3	Vị công tước bổ nhiệm những người quản trị trong số thường dân, những người am hiểu các vấn đề địa phương.	false
character_skills_localised_description_wh2_dlc07_skill_brt_fay_enchantress_special_0	Nàng Fay là hiện thân tâm linh của Nữ thần (Lady), lời chúc phúc của nàng lên một điện thờ có thể đưa nữ thần đến gần hơn.	false
character_skills_localised_description_wh2_dlc07_skill_brt_fay_enchantress_special_1	Những người được Chén Thánh chạm đến sẽ hoàn toàn tận tụy và sẵn sàng hy sinh mạng sống vì Nữ phù thủy Fay (Fay Enchantress).	false
character_skills_localised_description_wh2_dlc07_skill_brt_fay_enchantress_special_2	Ma thuật của Nữ phù thủy Fay gắn liền một cách cơ bản với vùng đất của người Bretonni.	false
character_skills_localised_description_wh2_dlc07_skill_brt_fay_enchantress_special_3	Nữ phù thủy tập hợp những người trẻ tuổi và đưa họ đến thế giới bên kia, nơi một số người được ban phước để trở về như những thiếu nữ phép thuật (damsels).	false
character_skills_localised_description_wh2_dlc07_skill_brt_louen_special_0	Nhà vua có quyền ban tước hiệu cho những người có danh dự.	false
character_skills_localised_description_wh2_dlc07_skill_brt_louen_special_1	Kể từ thời Gilles Kẻ Thống nhất, chưa bao giờ vị Royarch của Bretonnia lại được tôn trọng đến thế.	false
character_skills_localised_description_wh2_dlc07_skill_brt_louen_special_2	Các doanh trại đầy ắp quân sĩ để chờ đợi nhà vua phát động Cuộc chiến Hiệp sĩ (Errantry War) tiếp theo.	false
character_skills_localised_description_wh2_dlc07_skill_brt_louen_special_3	Là hình mẫu của tinh thần hiệp sĩ, hành vi của nhà vua phản chiếu lên tất cả những ai được Nữ thần chạm đến.	false
character_skills_localised_description_wh2_dlc09_skill_all_dummy_agent_actions_tmb_liche_priest		false
character_skills_localised_description_wh2_dlc09_skill_all_dummy_agent_actions_tmb_necrotect		false
character_skills_localised_description_wh2_dlc09_skill_all_dummy_agent_actions_tmb_necrotect_ritual		false
character_skills_localised_description_wh2_dlc09_skill_all_dummy_agent_actions_tmb_tomb_prince		false
character_skills_localised_description_wh2_dlc09_skill_innate_skv_tretch_craventail	Một cuộc tấn công bất ngờ táo bạo vào người tiền nhiệm đã mang lại tước hiệu mới cho Tretch và một đội quân sẵn sàng làm theo mệnh lệnh của hắn.	false
character_skills_localised_description_wh2_dlc09_skill_innate_tmb_arkhan	Quân vương của Xác sống, lãnh chúa của những kẻ Không-sống.	false
character_skills_localised_description_wh2_dlc09_skill_innate_tmb_cavalry_master	Sợi dây liên kết giữa người và thú không thể bị phá vỡ chỉ bởi cái chết.	false
character_skills_localised_description_wh2_dlc09_skill_innate_tmb_channeller	Vị Tư tế Liche này quyền năng đến mức ông có thể khai thác năng lượng trực tiếp từ Cõi Linh hồn (Realm of Souls) và điều khiển nó theo ý muốn.	false
character_skills_localised_description_wh2_dlc09_skill_innate_tmb_chariot_master	Chiến tranh bằng xe kéo đòi hỏi sự kiểm soát chính xác - gần như là một điệu múa, nếu bạn muốn - nếu muốn đạt được những chiến thắng mà các tướng lĩnh Không-sống tìm kiếm.	false
character_skills_localised_description_wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	Vị vua-chiến binh này vô đối trong các chiến thuật xe kéo. Chỉ những đội xe tinh nhuệ nhất mới phục vụ dưới quyền ông - và tất nhiên sẽ lại như thế một lần nữa…	false
character_skills_localised_description_wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	Lahmizzash tiếp tục cuộc chiến chống lại Nagash, chiếm lại Khemri linh thiêng với sự giúp đỡ của các Ushabti hùng mạnh.	false
character_skills_localised_description_wh2_dlc09_skill_innate_tmb_dynasty_rakhash	Chinh phục những vùng đất bên kia những ngọn núi phía đông Nehekhara, Rakhash là người mang lại sự thịnh vượng to lớn.	false
