key	text	tooltip
#Loc;1;text/db/campaign_ground_types__.loc		
campaign_ground_types_onscreen_name_chaotic_wasteland	Vùng Hoang Vu	false
campaign_ground_types_onscreen_name_dense_forest	Rừng Rậm	false
campaign_ground_types_onscreen_name_desert	Sa Mạc	false
campaign_ground_types_onscreen_name_grassland	Đồng Cỏ	false
campaign_ground_types_onscreen_name_hills	Đồi Núi	false
campaign_ground_types_onscreen_name_hilly_light_forest	Rừng Thưa Đồi Núi	false
campaign_ground_types_onscreen_name_jungle	Rừng Nhiệt Đới	false
campaign_ground_types_onscreen_name_light_forest	Rừng Thưa	false
campaign_ground_types_onscreen_name_marsh	Đầm Lầy	false
campaign_ground_types_onscreen_name_mountain	Dãy Núi	false
campaign_ground_types_onscreen_name_plains	Đồng Bằng	false
campaign_ground_types_onscreen_name_river	Sông Ngòi	false
campaign_ground_types_onscreen_name_sea_coast	Biển Nông	false
campaign_ground_types_onscreen_name_sea_lake	Hồ Nước	false
campaign_ground_types_onscreen_name_sea_maelstrom	Vực Xoáy	false
campaign_ground_types_onscreen_name_sea_ocean	Biển Sâu	false
campaign_ground_types_onscreen_name_sea_reef	Rạn San Hô	false
campaign_ground_types_onscreen_name_sea_river	Sông Ngòi	false
campaign_ground_types_onscreen_name_swamp	Vùng Lầy	false
campaign_ground_types_onscreen_name_tundra	Đài Nguyên	false
campaign_ground_types_onscreen_name_wasteland	Vùng Đất Cằn Cỗi	false
