key	text	tooltip
#Loc;1;text/db/building_culture_variants__.loc		
building_culture_variants_name_wh2_dlc09_special_black_tower_of_arkhan_other	Hắc Tháp Arkhan	false
building_culture_variants_name_wh2_dlc09_special_black_tower_of_arkhan_otherwh2_dlc09_tmb_followers_of_nagash	Hắc Tháp Arkhan	false
building_culture_variants_name_wh2_dlc09_special_black_tower_of_arkhanwh2_dlc09_tmb_followers_of_nagash	Hắc Tháp Arkhan	false
building_culture_variants_name_wh2_dlc09_special_pyramid_alcadizaar	Kim Tự Tháp Vua Alcadizaar	false
building_culture_variants_name_wh2_dlc09_special_pyramid_amenemhetum	Kim Tự Tháp Vua Amenemhetum	false
building_culture_variants_name_wh2_dlc09_special_pyramid_khatep	Kim Tự Tháp Vua Khatep	false
building_culture_variants_name_wh2_dlc09_special_pyramid_phar	Kim Tự Tháp Vua Phar	false
building_culture_variants_name_wh2_dlc09_special_pyramid_settra	Đại Kim Tự Tháp Settra	false
building_culture_variants_name_wh2_dlc09_special_pyramid_tutankhanut	Kim Tự Tháp Hoàng Tử Tutankhanut	false
building_culture_variants_name_wh2_dlc09_special_settlement_khemri_tmb_1	Khemri (Hầm Mộ)	false
building_culture_variants_name_wh2_dlc09_special_settlement_khemri_tmb_2	Khemri (Lăng Mộ Mastaba)	false
building_culture_variants_name_wh2_dlc09_special_settlement_khemri_tmb_3	Khemri (Lăng Tẩm)	false
building_culture_variants_name_wh2_dlc09_special_settlement_khemri_tmb_4	Khemri (Thành Phố Lăng Mộ)	false
building_culture_variants_name_wh2_dlc09_special_settlement_khemri_tmb_5	Khemri (Nghĩa Trang)	false
building_culture_variants_name_wh2_dlc09_special_settlement_khemri_tmb_ruin	Khemri Đổ Nát	false
building_culture_variants_name_wh2_dlc09_special_settlement_lahmia_tmb_1	Lahmia (Hầm Mộ)	false
building_culture_variants_name_wh2_dlc09_special_settlement_lahmia_tmb_2	Lahmia (Lăng Mộ Mastaba)	false
building_culture_variants_name_wh2_dlc09_special_settlement_lahmia_tmb_3	Lahmia (Lăng Tẩm)	false
building_culture_variants_name_wh2_dlc09_special_settlement_lahmia_tmb_4	Lahmia (Thành Phố Lăng Mộ)	false
building_culture_variants_name_wh2_dlc09_special_settlement_lahmia_tmb_5	Lahmia (Nghĩa Trang)	false
building_culture_variants_name_wh2_dlc09_special_settlement_lahmia_tmb_ruin	Lahmia Đổ Nát	false
building_culture_variants_name_wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1	Kim Tự Tháp Nagash (Ngủ Yên)	false
building_culture_variants_name_wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2	Kim Tự Tháp Nagash (Thức Tỉnh)	false
building_culture_variants_name_wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3	Kim Tự Tháp Nagash (Nạp Năng Lượng)	false
building_culture_variants_name_wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4	Kim Tự Tháp Nagash (Tích Điện)	false
building_culture_variants_name_wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	Kim Tự Tháp Nagash (Tôn Thăng)	false
building_culture_variants_name_wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin	Tàn Tích	false
building_culture_variants_name_wh2_dlc09_tmb_arkhan_burial_mound_2wh2_dlc09_tmb_followers_of_nagash	Gò Chôn Cất Cổ Đại	false
building_culture_variants_name_wh2_dlc09_tmb_arkhan_burial_moundwh2_dlc09_tmb_followers_of_nagash	Đồi Mộ	false
building_culture_variants_name_wh2_dlc09_tmb_cavalry_1	Đầm Lầy Cát Lún	false
building_culture_variants_name_wh2_dlc09_tmb_cavalry_2	Di Tích Chiến Trường Cổ Đại	false
building_culture_variants_name_wh2_dlc09_tmb_cavalry_3	Tổ Rắn Necroserpent	false
building_culture_variants_name_wh2_dlc09_tmb_cavalry_4	Vườn Thú Hoàng Gia	false
building_culture_variants_name_wh2_dlc09_tmb_chariots_1	Xưởng Nặn Xương	false
building_culture_variants_name_wh2_dlc09_tmb_chariots_2	Xưởng Đồng	false
building_culture_variants_name_wh2_dlc09_tmb_chariots_3	Kho Chứa Đầu Lâu	false
building_culture_variants_name_wh2_dlc09_tmb_citadel_1	Thành Trì Nehekhara Đổ Nát	false
building_culture_variants_name_wh2_dlc09_tmb_citadel_2	Thành Trì Nehekhara Được Phục Hồi	false
building_culture_variants_name_wh2_dlc09_tmb_defence_major_1	Đội Đồn Trú Xương Khô	false
building_culture_variants_name_wh2_dlc09_tmb_defence_major_2	Tường Đá Sa Thạch	false
building_culture_variants_name_wh2_dlc09_tmb_defence_major_3	Tường Khắc Họa Tiết	false
building_culture_variants_name_wh2_dlc09_tmb_defence_minor_1	Vọng Gác Sa Mạc	false
building_culture_variants_name_wh2_dlc09_tmb_defence_minor_2	Tháp Xương	false
building_culture_variants_name_wh2_dlc09_tmb_defence_norsca_1	Vọng Gác Băng Giá	false
building_culture_variants_name_wh2_dlc09_tmb_estate_1	Phòng Cấm Táng Hoàng Gia	false
building_culture_variants_name_wh2_dlc09_tmb_growth_1	Nhà Hỏa Táng	false
building_culture_variants_name_wh2_dlc09_tmb_growth_2	Hầm Mộ Cai Trị	false
building_culture_variants_name_wh2_dlc09_tmb_growth_3	Kho Xương Vĩ Đại	false
building_culture_variants_name_wh2_dlc09_tmb_hierotitan_1	Tượng Hierotitan Bị Hư Hại	false
building_culture_variants_name_wh2_dlc09_tmb_hierotitan_2	Tượng Hierotitan Được Phục Hồi	false
building_culture_variants_name_wh2_dlc09_tmb_income_1	Quảng Trường Xương Cốt	false
building_culture_variants_name_wh2_dlc09_tmb_income_2	Khu Vực Tang Lễ	false
building_culture_variants_name_wh2_dlc09_tmb_income_3	Đại Lộ Tượng Đài	false
building_culture_variants_name_wh2_dlc09_tmb_infantry_1	Ngôi Mộ Mở	false
building_culture_variants_name_wh2_dlc09_tmb_infantry_2	Doanh Trại Hầm Mộ	false
building_culture_variants_name_wh2_dlc09_tmb_infantry_3	Doanh Trại Hoàng Gia	false
building_culture_variants_name_wh2_dlc09_tmb_necrosphinx_1	Tượng Necrosphinx Bị Hư Hại	false
building_culture_variants_name_wh2_dlc09_tmb_necrosphinx_2	Tượng Necrosphinx Được Phục Hồi	false
building_culture_variants_name_wh2_dlc09_tmb_port_1	Cầu Cảng Xương	false
building_culture_variants_name_wh2_dlc09_tmb_port_2	Cảng Lăng Mộ	false
building_culture_variants_name_wh2_dlc09_tmb_port_3	Cảng Hạm Đội Bất Tử	false
building_culture_variants_name_wh2_dlc09_tmb_port_ruin	Cảng Hạm Đội Đổ Nát	false
building_culture_variants_name_wh2_dlc09_tmb_public_order_1	Đài Tưởng Niệm Obelisk	false
building_culture_variants_name_wh2_dlc09_tmb_public_order_2	Mộ Mái Vòm	false
building_culture_variants_name_wh2_dlc09_tmb_public_order_3	Thánh Địa Chết Chóc	false
building_culture_variants_name_wh2_dlc09_tmb_resource_animals_1	Lăng Mộ Thợ Nhồi Bông	false
building_culture_variants_name_wh2_dlc09_tmb_resource_dyes_1	Hầm Mỏ Chu Sa	false
building_culture_variants_name_wh2_dlc09_tmb_resource_furs_1	Xưởng Thuộc Da	false
building_culture_variants_name_wh2_dlc09_tmb_resource_gems_1	Mỏ Đá Quý	false
building_culture_variants_name_wh2_dlc09_tmb_resource_gold_1	Mỏ Vàng	false
building_culture_variants_name_wh2_dlc09_tmb_resource_iron_1	Mỏ Sắt	false
building_culture_variants_name_wh2_dlc09_tmb_resource_marble_1	Mỏ Đá Cẩm Thạch	false
building_culture_variants_name_wh2_dlc09_tmb_resource_medicine_1	Xưởng Giả Kim	false
building_culture_variants_name_wh2_dlc09_tmb_resource_obsidian_1	Mỏ Đá Obsidian	false
building_culture_variants_name_wh2_dlc09_tmb_resource_pasture_1	Ốc Đảo Khô Cằn	false
building_culture_variants_name_wh2_dlc09_tmb_resource_pottery_1	Túp Lều Thợ Gốm	false
building_culture_variants_name_wh2_dlc09_tmb_resource_salt_1	Mỏ Muối	false
building_culture_variants_name_wh2_dlc09_tmb_resource_spices_1	Trạm Trưởng Thương Đoàn	false
building_culture_variants_name_wh2_dlc09_tmb_resource_wine_1	Vườn Nho	false
building_culture_variants_name_wh2_dlc09_tmb_resource_wood_1	Trại Đốn Gỗ	false
building_culture_variants_name_wh2_dlc09_tmb_scorpions_1	Tổ Bọ Cạp	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_major_1	Hầm Mộ	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_major_2	Lăng Mộ Mastaba	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_major_3	Lăng Tẩm	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_major_4	Thành Phố Lăng Mộ	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_major_5	Nghĩa Trang	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_major_ruin	Thành Phố Đổ Nát	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_minor_1	Hầm Mộ	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_minor_2	Lăng Mộ Mastaba	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_minor_3	Lăng Tẩm	false
building_culture_variants_name_wh2_dlc09_tmb_settlement_minor_ruin	Thị Trấn Đổ Nát	false
building_culture_variants_name_wh2_dlc09_tmb_ushabti_1	Tượng Đài Khemri	false
building_culture_variants_name_wh2_dlc09_tmb_ushabti_2	Tượng Phakth	false
building_culture_variants_name_wh2_dlc09_tmb_warsphinx_1	Tượng Warsphinx Đổ Nát	false
building_culture_variants_name_wh2_dlc09_tmb_warsphinx_2	Tượng Warsphinx Được Phục Hồi	false
building_culture_variants_name_wh2_dlc10_hef_aesanar_campwh2_main_hef_nagarythe	Trại Aesanar	false
building_culture_variants_name_wh2_dlc10_hef_handmaidens_alariellewh2_main_hef_avelorn	Phòng Trưng Bày Nữ Quan	false
building_culture_variants_name_wh2_dlc10_hef_handmaidenswh2_main_hef_avelorn	Phòng Trưng Bày Nữ Quan	false
building_culture_variants_name_wh2_dlc10_hef_handmaidenswh2_main_hef_high_elves	Phòng Trưng Bày Nữ Quan	false
building_culture_variants_name_wh2_dlc10_hef_hunters_3	Khu Rừng Ban Phước	false
building_culture_variants_name_wh2_dlc10_hef_hunters_3wh2_main_hef_avelorn	Khu Rừng Ban Phước	false
building_culture_variants_name_wh2_dlc10_special_world_root_entrance_1wh2_main_hef_avelorn	Lối Vào Rễ Thế Hệ (Ngủ Yên)	false
building_culture_variants_name_wh2_dlc10_special_world_root_entrance_2wh2_main_hef_avelorn	Lối Vào Rễ Thế Hệ (Héo Úa)	false
building_culture_variants_name_wh2_dlc10_special_world_root_entrance_3wh2_main_hef_avelorn	Lối Vào Rễ Thế Hệ (Hồi Sinh)	false
building_culture_variants_name_wh2_dlc11_cst_resource_animals_1	Chợ Động Vật Ngoại Lai	false
building_culture_variants_name_wh2_dlc11_cst_resource_dyes_1	Cửa Hàng Nghiền Bột Màu	false
building_culture_variants_name_wh2_dlc11_cst_resource_furs_1	Trại Săn Trộm	false
building_culture_variants_name_wh2_dlc11_cst_resource_gems_1	Mỏ Đá Quý	false
building_culture_variants_name_wh2_dlc11_cst_resource_gold_1	Mỏ Vàng	false
building_culture_variants_name_wh2_dlc11_cst_resource_iron_1	Mỏ Sắt	false
building_culture_variants_name_wh2_dlc11_cst_resource_marble_1	Xưởng Cắt Đá Lưu Huỳnh	false
building_culture_variants_name_wh2_dlc11_cst_resource_medicine_1	Xưởng Giả Kim	false
building_culture_variants_name_wh2_dlc11_cst_resource_obsidian_1	Mỏ Đá Obsidian	false
building_culture_variants_name_wh2_dlc11_cst_resource_pasture_1	Cối Xay Gió Ám Ảnh	false
building_culture_variants_name_wh2_dlc11_cst_resource_pottery_1	Hố Đất Sét	false
building_culture_variants_name_wh2_dlc11_cst_resource_salt_1	Vựa Muối	false
building_culture_variants_name_wh2_dlc11_cst_resource_spices_1	Khu Chợ Phương Đông	false
building_culture_variants_name_wh2_dlc11_cst_resource_wine_1	Vườn Cây Gai Góc	false
building_culture_variants_name_wh2_dlc11_cst_resource_wood_1	Lán Của Người Gác Rừng	false
building_culture_variants_name_wh2_dlc11_foreign_corruption_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Quán Rượu Suy Đồi	false
building_culture_variants_name_wh2_dlc11_foreign_income_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Nơi Ẩn Náu Của Đồ Tể	false
building_culture_variants_name_wh2_dlc11_foreign_infamy_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Trạm Nghỉ Hải Tặc	false
building_culture_variants_name_wh2_dlc11_foreign_trade_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vịnh Buôn Lậu	false
building_culture_variants_name_wh2_dlc11_horde_def_aristocracy_1	Dinh Thự Đáng Sợ	false
building_culture_variants_name_wh2_dlc11_horde_def_aristocracy_2	Cung Điện Dread Knight	false
building_culture_variants_name_wh2_dlc11_horde_def_exiles_1	Sào Huyệt Kẻ Ngoài Vòng Pháp Luật	false
building_culture_variants_name_wh2_dlc11_horde_def_exiles_2	Ngôi Nhà Kẻ Lưu Đày	false
building_culture_variants_name_wh2_dlc11_horde_def_residence_1	Điền Trang Dark Elf	false
building_culture_variants_name_wh2_dlc11_horde_def_residence_2	Nơi Ở Của Dark Elf	false
building_culture_variants_name_wh2_dlc11_horde_def_residence_3	Điền Trang Của Chủ Nhân	false
building_culture_variants_name_wh2_dlc11_horde_def_riders_1	Chuồng Ngựa Reaver	false
building_culture_variants_name_wh2_dlc11_horde_def_riders_2	Nhà Khách Sứ Giả	false
building_culture_variants_name_wh2_dlc11_special_ancient_vault_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coastwh2_dlc11_cst_vampire_coast	Hang Động Sụp Đổ	false
building_culture_variants_name_wh2_dlc11_special_ancient_vault_2wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coastwh2_dlc11_cst_vampire_coast	Hầm Mộ Cổ Đại	false
building_culture_variants_name_wh2_dlc11_special_cylostra_opera_house_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coastwh2_dlc11_cst_the_drowned	Nhà Hát Opera Của Cylostra	false
building_culture_variants_name_wh2_dlc11_special_dragon_tooth_lighthouse_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Ngọn Hải Đăng Răng Rồng	false
building_culture_variants_name_wh2_dlc11_special_galleons_graveyard_wreck_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Xác Tàu Heldenhammer	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom (Ngủ Yên)	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_2wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom (Chuyển Động)	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_3wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom (Hoạt Động)	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_4wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom (Mạnh Mẽ)	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_5wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom (Cuồng Nộ)	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_other_1	Vòng Xoáy Maelstrom	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_other_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_other_ruin	Vòng Xoáy Maelstrom (Bất Động)	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_other_ruinwh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom (Bất Động)	false
building_culture_variants_name_wh2_dlc11_special_settlement_galleons_graveyard_ruinwh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Vòng Xoáy Maelstrom (Bất Động)	false
building_culture_variants_name_wh2_dlc11_special_ship_aranessa_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coastwh2_dlc11_cst_pirates_of_sartosa	Lưỡi Kiếm Cá Mập Cưa	false
building_culture_variants_name_wh2_dlc11_special_ship_cylostra_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coastwh2_dlc11_cst_the_drowned	Ban Công Của Cylostra	false
building_culture_variants_name_wh2_dlc11_special_ship_harkon_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coastwh2_dlc11_cst_vampire_coast	Quan Tài Đen	false
building_culture_variants_name_wh2_dlc11_special_ship_harpoon_1	Máy Phóng Tiêu	false
building_culture_variants_name_wh2_dlc11_special_ship_harpoon_2	Máy Phóng Gai	false
building_culture_variants_name_wh2_dlc11_special_ship_harpoon_3	Máy Phóng Móc	false
building_culture_variants_name_wh2_dlc11_special_ship_harpoon_4	Máy Phóng Đinh Ba	false
building_culture_variants_name_wh2_dlc11_special_ship_harpoon_5	Máy Phóng Lao Chùm	false
building_culture_variants_name_wh2_dlc11_special_ship_noctilus_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coastwh2_dlc11_cst_noctilus	Tường Thành Sylvania	false
building_culture_variants_name_wh2_dlc11_vampirecoast_defence_garrison_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Trạm Gác Zombie	false
building_culture_variants_name_wh2_dlc11_vampirecoast_defence_garrison_2wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Nhà Lô Cốt Bị Ám	false
building_culture_variants_name_wh2_dlc11_vampirecoast_defence_norsca_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Hàng Rào Gỗ	false
building_culture_variants_name_wh2_dlc11_vampirecoast_defence_walls_1wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Hàng Rào Gỗ	false
building_culture_variants_name_wh2_dlc11_vampirecoast_defence_walls_2wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Chướng Ngại Vật Mảnh Vỡ	false
building_culture_variants_name_wh2_dlc11_vampirecoast_defence_walls_3wh2_dlc11_cst_vampire_coastwh2_dlc11_sc_cst_vampire_coast	Lan Can Thành	false
