key	text	tooltip
#Loc;1;text/db/battle_ui_cheatsheet_items__.loc		
battle_ui_cheatsheet_items_description_text_ambush_escape_zone	Khi ở trong vùng này, các đơn vị phòng thủ có thể rút lui thông qua nút rút lui, trong trường hợp đó họ sẽ sống sót sau trận chiến.	false
battle_ui_cheatsheet_items_description_text_ambush_objectives	[[col:fe_white]]Kẻ tấn công[[/col]]\\nKẻ tấn công phải tiêu diệt hoặc đánh bại toàn bộ đơn vị địch trước khi hết thời gian.\\n\\n[[col:fe_white]]Người phòng thủ[[/col]]\\nNgười phòng thủ phải rút lui thành công các đơn vị qua vùng thoát hiểm, hoặc tiêu diệt hay đánh bại toàn bộ đơn vị địch trước khi hết thời gian, hoặc vẫn còn đơn vị hiện diện và không tháo chạy vào thời điểm đó.	false
battle_ui_cheatsheet_items_description_text_conquest_balance_of_power_bar	Hiển thị sức mạnh hiện tại của hai lực lượng so với nhau.	false
battle_ui_cheatsheet_items_description_text_conquest_capture_points_and_tickets	Chiếm giữ các điểm chiếm đóng sẽ tạo ra một số vé chiến thắng mỗi giây.	false
battle_ui_cheatsheet_items_description_text_conquest_objectives	Tiêu diệt hoặc đánh bại toàn bộ đơn vị địch trước khi hết thời gian hoặc đạt 500 vé chiến thắng bằng cách chiếm các điểm chiếm đóng.	false
battle_ui_cheatsheet_items_description_text_domination_capture_points_and_tickets	Chiếm giữ các điểm chiếm đóng sẽ tạo ra một số vé chiến thắng mỗi giây. Chiếm nhiều điểm chiếm đóng hơn để tăng thu nhập vé chiến thắng.	false
battle_ui_cheatsheet_items_description_text_domination_objectives	Đạt 1500 vé chiến thắng bằng cách chiếm các điểm chiếm đóng.	false
battle_ui_cheatsheet_items_description_text_domination_reinforcements	Chi tiêu tiếp tế để gọi thêm các đơn vị mà bạn đã chọn trước trận chiến.	false
battle_ui_cheatsheet_items_description_text_domination_supplies	Nhận thêm tiếp tế bằng cách gây sát thương. Liên minh đang thua nhận được tiếp tế bổ sung. Sử dụng tiếp tế để gọi viện binh.	false
battle_ui_cheatsheet_items_description_text_domination_teleport	Các đơn vị bị tổn thất nặng nề có thể được dịch chuyển khỏi trận chiến và sẽ phục hồi trong kho viện binh.	false
battle_ui_cheatsheet_items_description_text_land_battle_abilities	Các nút này kiểm soát mọi kỹ năng của đơn vị được chọn.	false
battle_ui_cheatsheet_items_description_text_land_battle_army_abilities	Mọi kỹ năng quân đội sẽ xuất hiện ở đây khi có sẵn. Nhấp vào để kích hoạt.	false
battle_ui_cheatsheet_items_description_text_land_battle_balance_of_power_bar	Hiển thị sức mạnh hiện tại của hai lực lượng so với nhau.	false
battle_ui_cheatsheet_items_description_text_land_battle_magic	Chọn một phép thuật để thi triển, hoặc xem lượng Gió Ma Thuật đang dự trữ hay hiện có để sử dụng.	false
battle_ui_cheatsheet_items_description_text_land_battle_objectives	[[col:fe_white]]Kẻ tấn công[[/col]]\\nKẻ tấn công phải tiêu diệt hoặc đánh bại toàn bộ đơn vị địch trước khi hết thời gian.\\n\\n[[col:fe_white]]Người phòng thủ[[/col]]\\nNgười phòng thủ phải tiêu diệt hoặc đánh bại toàn bộ đơn vị địch trước khi hết thời gian, hoặc vẫn còn đơn vị hiện diện và không tháo chạy vào thời điểm đó.  	false
battle_ui_cheatsheet_items_description_text_land_battle_reinforcements	Hiển thị vị trí mà viện binh sẽ gia nhập trận chiến. Di chuột qua để xem thêm thông tin.	false
battle_ui_cheatsheet_items_description_text_land_battle_time_limit_and_controls	Các nút này kiểm soát dòng chảy thời gian trong trận chiến.	false
battle_ui_cheatsheet_items_description_text_land_battle_unit_banners	[[col:fe_white]]Máu[[/col]]\\n\\n[[col:fe_white]]Tinh thần[[/col]]\\n\\n[[col:fe_white]]Đạn dược[[/col]]\\n\\n[[col:fe_white]]Biểu tượng trạng thái[[/col]]\\nCác biểu tượng khác nhau thể hiện trạng thái của một đơn vị. Di chuột qua để xem thêm thông tin.	false
battle_ui_cheatsheet_items_description_text_land_battle_unit_buttons	Các nút này kiểm soát nhiều khía cạnh hành vi của đơn vị hoặc các đơn vị được chọn. Di chuột qua từng nút để xem thêm thông tin.	false
battle_ui_cheatsheet_items_description_text_minor_settlement_capture_points	Có thể chiếm bằng cách đặt các đơn vị trong vùng chiếm đóng. 	false
battle_ui_cheatsheet_items_description_text_minor_settlement_deployables	Mỗi điểm chiếm đóng kiểm soát thêm các vị trí mà người phòng thủ có thể xây tháp và chướng ngại vật.	false
battle_ui_cheatsheet_items_description_text_minor_settlement_objectives	[[col:fe_white]]Kẻ tấn công[[/col]]\\nKẻ tấn công phải tiêu diệt hoặc đánh bại toàn bộ đơn vị địch trước khi hết thời gian.\\n\\n[[col:fe_white]]Người phòng thủ[[/col]]\\nNgười phòng thủ phải tiêu diệt hoặc đánh bại toàn bộ đơn vị địch trước khi hết thời gian, hoặc vẫn còn đơn vị hiện diện và không tháo chạy vào thời điểm đó.  	false
battle_ui_cheatsheet_items_description_text_minor_settlement_supplies	Người phòng thủ có thể sử dụng những thứ này để xây tháp và chướng ngại vật trên các ô trống có sẵn.	false
battle_ui_cheatsheet_items_description_text_siege_capture_points	Có thể chiếm bằng cách đặt các đơn vị trong vùng chiếm đóng. 	false
battle_ui_cheatsheet_items_description_text_siege_deployables	Mỗi điểm chiếm đóng kiểm soát thêm các vị trí mà người phòng thủ có thể xây tháp và chướng ngại vật.	false
