key	text	tooltip
#Loc;1;text/db/achievements__.loc		
achievements_description_WH3_ACHIEVEMENT_BATTLE_MULTIPLAYER_1	Chơi một trận chiến nhiều người chơi.	false
achievements_description_WH3_ACHIEVEMENT_BATTLE_MULTIPLAYER_VIRAL	Đánh bại một nhân viên CA hoặc bất kỳ ai khác có thành tựu này trong một trận chiến nhiều người chơi.	false
achievements_description_WH3_ACHIEVEMENT_BATTLE_OUTNUMBERED	Thắng một trận chiến chiến dịch mà lực lượng của bạn bị áp đảo với tỷ lệ 10 chọi 1.	false
achievements_description_WH3_ACHIEVEMENT_BATTLE_QUEST	Thực hiện một trận chiến nhiệm vụ.	false
achievements_description_WH3_ACHIEVEMENT_BATTLE_WINS_10	Thắng 10 trận chiến trong một chiến dịch duy nhất.	false
achievements_description_WH3_ACHIEVEMENT_BATTLE_WINS_50	Thắng 50 trận chiến trong một chiến dịch duy nhất.	false
achievements_description_WH3_ACHIEVEMENT_BATTLE_WINS_AMBUSH_5	Thắng 5 trận phục kích trong một chiến dịch duy nhất.	false
achievements_description_WH3_ACHIEVEMENT_BATTLE_WINS_SIEGE_ATTACK_25	Thắng 25 trận công thành trong một chiến dịch duy nhất.	false
achievements_description_WH3_ACHIEVEMENT_BORIS_UNLOCK	Chơi phe Kislev, thắng trận chiến nhiệm vụ để giải phóng Boris Ursus.	false
achievements_description_WH3_ACHIEVEMENT_CATHAY_COMPLETE_CARAVAN	Chơi phe Cathay, hoàn thành hành trình của một Đoàn buôn.	false
achievements_description_WH3_ACHIEVEMENT_CATHAY_CONSTRUCT_OBSERVATORY	Chơi phe Cathay, xây dựng Đài thiên văn vĩ đại của Xing Po.	false
achievements_description_WH3_ACHIEVEMENT_CATHAY_OCCUPY_GREAT_BASTION	Chơi phe Cathay, chiếm đóng toàn bộ Đại Trường Thành.	false
achievements_description_WH3_ACHIEVEMENT_CATHAY_OCCUPY_WEI_JIN	Chơi phe Cathay, chiếm đóng Wei-Jin.	false
achievements_description_WH3_ACHIEVEMENT_CATHAY_RECRUIT_TERRACOTTA_SENTINEL	Chơi phe Cathay, chiêu mộ một Vệ binh Đất nung vào một trong những đội quân của bạn.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_ANCILLARIES_MOUNTS_1	Sở hữu một thú cưỡi đặc biệt.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_ANCILLARIES_MOUNTS_2	Sở hữu 3 thú cưỡi đặc biệt.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1	Sở hữu 1 Anh hùng cấp 10.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2	Sở hữu cùng lúc 2 Anh hùng cấp 20.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3	Sở hữu cùng lúc 3 Anh hùng cấp 30.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_1	Sở hữu một Lãnh chúa cấp 10.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_2	Sở hữu một Lãnh chúa cấp 20.	false
achievements_description_WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_3	Sở hữu một Lãnh chúa cấp 30.	false
achievements_description_WH3_ACHIEVEMENT_COMPLETE_KHORNE_REALM	Đánh bại Hoàng tử Quỷ tại Brass Citadel trong vương quốc của Khorne.	false
achievements_description_WH3_ACHIEVEMENT_COMPLETE_NURGLE_REALM	Đánh bại Hoàng tử Quỷ tại Mansion of the Plaguelord trong vương quốc của Nurgle.	false
achievements_description_WH3_ACHIEVEMENT_COMPLETE_SLAANESH_REALM	Đánh bại Hoàng tử Quỷ tại Palace of Slaanesh trong vương quốc của Slaanesh.	false
achievements_description_WH3_ACHIEVEMENT_COMPLETE_TZEENTCH_REALM	Đánh bại Hoàng tử Quỷ tại Impossible Fortress trong vương quốc của Tzeentch.	false
achievements_description_WH3_ACHIEVEMENT_CONQUEST_RAZE_SETTLEMENTS_1	San phẳng 1 khu định cư.	false
achievements_description_WH3_ACHIEVEMENT_CONQUEST_RAZE_SETTLEMENTS_30	San phẳng 30 khu định cư trong một chiến dịch duy nhất.	false
achievements_description_WH3_ACHIEVEMENT_CONSTRUCT_ALLIED_OUTPOST	Xây dựng một tiền đồn đồng minh tại khu định cư của một đồng minh quân sự.	false
achievements_description_WH3_ACHIEVEMENT_DAEMON_PRINCE_ASCEND	Chơi phe Hoàng tử Quỷ, thăng hoa theo con đường của một Thần Hỗn mang.	false
achievements_description_WH3_ACHIEVEMENT_DAEMON_PRINCE_ASCEND_UNDIVIDED	Chơi phe Hoàng tử Quỷ, thăng hoa theo con đường Vô định (Undivided).	false
achievements_description_WH3_ACHIEVEMENT_DAEMON_PRINCE_GIFTS_15	Chơi phe Hoàng tử Quỷ, mở khóa 15 Quà tặng Quỷ dữ.	false
achievements_description_WH3_ACHIEVEMENT_DAEMON_PRINCE_GIFTS_5	Chơi phe Hoàng tử Quỷ, mở khóa 5 Quà tặng Quỷ dữ.	false
