key	text	tooltip
#Loc;1;text/db/cultures__.loc		
cultures_frontend_description_*	placeholder	false
cultures_frontend_description_wh2_dlc09_tmb_tomb_kings	Nehekhara từng là ngọn hải đăng rạng rỡ của nền văn minh và thành tựu nhân loại. Thế nhưng, vương quốc vĩ đại này đã bị hủy diệt bởi những hành vi phản bội ghê tởm và ma thuật hắc ám hùng mạnh. Những người dân sống ở Nehekhara đã bỏ mạng chỉ trong một đêm tang tóc duy nhất, và sau khi họ nằm xuống, kẻ chết đã trỗi dậy từ nấm mồ để chiếm lấy vùng đất này một lần nữa.\\n\\nNgay cả khi nền văn minh cổ xưa của họ hiện đang nằm sâu dưới lớp cát, các Mộ Vương đã một lần nữa thức tỉnh sau giấc ngủ dài. Trỗi dậy từ những cỗ quan tài đá, những vị vua mướp của Nehekhara đã trở lại để đòi lại những gì thuộc về họ một cách chính đáng, với những quân đoàn vô số, vung vẩy vũ khí bằng đồng đánh bóng và vàng vô giá. Cổ xưa, vô cảm và hằn học đối với tất cả những kẻ đã coi thường họ, khốn cho những kẻ ngu ngốc dám đứng trước cuộc tấn công thầm lặng của họ.	false
cultures_frontend_description_wh2_dlc11_cst_vampire_coast	Nguồn gốc của những tên cướp biển Bất tử được cho là đã tàn phá các bờ biển của Lustria luôn bị bao phủ trong bức màn bí ẩn. Truyền thuyết kể rằng một con thuyền dài Norsca đã mang theo một món hàng quý giá trong một cuộc đột kích – một cỗ quan tài cổ xưa mà thủy thủ đoàn không hề hay biết, bên trong chứa Ma Cà Rồng Luthor Harkon. Khi con tàu gặp nạn ngoài khơi Quần đảo Núi Lửa, những thủy thủ bị chết đuối đã được hồi sinh thành thây ma thông qua Ma thuật Hắc ám của Ma Cà Rồng.\\n\\nDải bờ biển được gọi là Bờ Biển Ma Cà Rồng đã trở nên tai tiếng đối với các thủy thủ, với vô số tàu bè bị đắm và được trục vớt từ độ sâu để tăng cường cho hạm đội của những kẻ Bất tử. Luthor chỉ là người đầu tiên. Trong những năm sau đó, nhiều tên cướp biển Bất tử hơn đã rong ruổi trên các vùng biển để tìm kiếm chiến lợi phẩm và các thủy thủ đoàn mới.	false
cultures_frontend_description_wh2_main_def_dark_elves	Tiên Đen – hay Druchii, theo ngôn ngữ của họ – là một trong những nền văn minh Tiên cổ xưa nhất, hùng mạnh nhất và chắc chắn là tàn bạo nhất trong ba nền văn minh Tiên. Người Druchii là những kẻ đột kích, những kẻ buôn nô lệ và những kẻ cướp bóc tàn nhẫn bậc nhất, mọi ý muốn của họ không gì khác ngoài việc gieo rắc đau khổ và đau đớn cho tất cả những kẻ chống lại họ, vì sự tàn ác chính là huyết mạch của sự tồn tại của họ. Do đó, các Hắc hạm (Black Arks) và Hạm đội Hải tặc (Corsair Fleets) của họ lướt đi trên các vùng biển rộng lớn của thế giới, đột kích và bắt làm nô lệ tất cả mọi thứ trên đường đi như một sự tôn kính đối với những khao khát tham lam của chính họ.\\n\\nTuy nhiên, họ dành sự căm thù mãnh liệt nhất cho tộc Tiên vùng Ulthuan, những người anh em của họ trong thời cổ đại đã từ chối đi theo họ dưới sự trị vì của Phù Thủy Vương (Witch King). Cho đến khi Tiên Cao bị đánh đuổi khỏi Ulthuan, Tiên Đen sẽ tiếp tục mang đến tai họa và sự hủy diệt cho mọi bờ biển trên thế giới.	false
cultures_frontend_description_wh2_main_hef_high_elves	Tiên Cao – hay Asur, như cách họ tự gọi mình – là một trong những nền văn minh cổ xưa và hùng mạnh nhất của Thế giới Cũ. Đến từ một lục địa đảo hùng vĩ, mờ ảo trong sương mù nằm ở trung tâm của Đại Dương, tộc Tiên Cao của Ulthuan là một vương quốc kiêu hãnh và hùng mạnh của những chiến binh bậc thầy, những pháp sư vô song và những chúa tể của bầu trời và biển cả. Ở đỉnh cao quyền lực, thế giới thực sự nằm trong tay họ, nhưng trong sự ngạo mạn của mình, họ đã gây ra một cuộc chiến đẫm máu chống lại Người Lùn, làm suy yếu cả hai chủng tộc cổ xưa này.\\n\\nThời đại của Tiên Cao đã qua đi, nhưng lòng tự trọng to lớn của họ khiến họ vẫn tiếp tục chiến đấu bất chấp tất cả, vì họ coi mình là những người bảo vệ thực sự và chính đáng của thế giới đã biết. Hãy để những kẻ tôi tớ của sự hủy diệt coi chừng cơn thịnh nộ chính nghĩa của người Asur!	false
cultures_frontend_description_wh2_main_lzd_lizardmen	Người Thằn Lằn là một chủng tộc bò sát máu lạnh cổ xưa, được cho là nền văn minh đầu tiên và lâu đời nhất. Xa lạ, bí ẩn và hoàn toàn không có lòng khoan dung, Người Thằn Lằn đã hiện diện ngay từ khi vạn vật bắt đầu và sẽ ở đó khi thế giới trút hơi thở cuối cùng, không bao giờ mệt mỏi hay nản lòng cho đến khi trật tự cuối cùng được khôi phục cho thế giới hỗn loạn, vô tâm này.\\n\\nTừ những khu rừng nguyên sinh của Lustria, họ tiến đến, những quân đoàn chiến binh Saurian kỷ luật với những sinh vật có vảy khổng lồ ở giữa họ, dẫn dắt bởi những Pháp sư hùng mạnh nhất mà thế giới từng thấy. Mặt đất rung chuyển trước bước chân của họ. Họ ra trận vì những lý do mà kẻ khác không thể hiểu nổi – một kế hoạch cổ xưa chỉ có họ mới biết.	false
cultures_frontend_description_wh2_main_rogue	placeholder	false
cultures_frontend_description_wh2_main_skv_skaven	Người Chuột là một chủng tộc xảo quyệt và quỷ quyệt của những sinh vật chuột giống người, những kẻ đã gieo rắc sự thối nát đáng ghét của mình đến những góc xa xôi nhất của thế giới. Từ sâu dưới lòng đất, những kẻ nhặt rác này đã xây dựng một Đế chế Ngầm (Under-Empire) rộng lớn, nơi mà sức mạnh quân sự và quân số không thể hiểu nổi có tiềm năng nhấn chìm các vương quốc của Thế giới Cũ trong một làn sóng bạo lực và vô chính phủ dữ dội.\\n\\nHọ đi theo vị thần ác độc được gọi là Chuột Sừng (Horned Rat), người mà mong muốn và yêu cầu là tối cao và tuyệt đối. Người ta nói rằng mục tiêu cuối cùng của Người Chuột là chinh phục thế giới bề mặt và mang lại Sự Thăng Hoa Vĩ Đại (Great Ascendancy), khi con cháu của Chuột Sừng sẽ tràn ngập khắp bề mặt và chiếm lấy tất cả làm của riêng họ.	false
cultures_frontend_description_wh3_dlc23_chd_chaos_dwarfs	Độc ác, mang linh hồn đen tối và không khoan nhượng, Lùn Hỗn Mang được biết đến trong truyền thuyết là một chủng tộc chiến binh gồm các Thợ rèn Ác quỷ (Daemonsmiths), những nghệ nhân và những kẻ giết người tàn bạo đã thống trị các vùng phía bắc của Vùng đất Tối (Dark Lands) trong hàng ngàn năm.\\n\\nTách biệt lâu đời với những người anh em đang lụi tàn ở phía tây, tộc Dawi-Zharr đã dâng mình cho chủ nhân bóng tối Hashut và để Hỗn Mang gieo rắc những nỗi kinh hoàng vặn vẹo lên tâm trí và linh hồn của họ, biến họ thành một sự phản chiếu tàn nhẫn và đầy tính toán của những gì họ từng là. Họ am hiểu sâu sắc các nghệ thuật phù thủy và bị ám ảnh bởi việc kiểm soát các thế lực địa ngục và ngọn lửa của lòng đất sâu thẳm, kết hợp tri thức đen tối với kỹ nghệ thủ công và kỹ năng luyện kim và công nghiệp. Do đó, Lùn Hỗn Mang đã chế tạo ra một loạt các loại động cơ chiến tranh kỳ lạ và tàn độc, vũ khí bị Ác quỷ ám và những công cụ chiến tranh chết chóc, và sức mạnh của họ vẫn đang tiếp tục tăng lên.	false
