key	text	tooltip
#Loc;1;text/db/agent_localisations__.loc		
agent_localisations_text_agent	[[img:icon_hero]][[/img]]Anh hùng	false
agent_localisations_text_agent_action_panel_all_method_hinder_agent	Thao túng Anh hùng	false
agent_localisations_text_agent_action_panel_all_method_hinder_character	Ám sát	false
agent_localisations_text_agent_action_panel_champion_method_hinder_agent	Thao túng Đặc vụ	false
agent_localisations_text_agent_action_panel_champion_method_hinder_army	Nhắm vào Quân đội	false
agent_localisations_text_agent_action_panel_champion_method_hinder_character	Ám sát	false
agent_localisations_text_agent_action_panel_champion_method_hinder_settlement	Nhắm vào Khu định cư	false
agent_localisations_text_agent_action_panel_chance_assassination_kill	Cơ hội ám sát: 	false
agent_localisations_text_agent_action_panel_chance_assassination_wound	Cơ hội làm bị thương: 	false
agent_localisations_text_agent_action_panel_chance_manipulation_hinder	Cơ hội cản trở:	false
agent_localisations_text_agent_action_panel_chance_manipulation_steal	Cơ hội thao túng: 	false
agent_localisations_text_agent_action_panel_dignitary_method_hinder_agent	Thao túng Đặc vụ	false
agent_localisations_text_agent_action_panel_dignitary_method_hinder_army	Nhắm vào Quân đội	false
agent_localisations_text_agent_action_panel_dignitary_method_hinder_character	Ám sát	false
agent_localisations_text_agent_action_panel_dignitary_method_hinder_settlement	Nhắm vào Khu định cư	false
agent_localisations_text_agent_action_panel_outcomes_all_failure	Anh hùng thất bại	false
agent_localisations_text_agent_action_panel_outcomes_all_failure_critical	Anh hùng bị thương	false
agent_localisations_text_agent_action_panel_outcomes_failure_header	Kết quả tiêu cực	false
agent_localisations_text_agent_action_panel_outcomes_hinder_agent_success	Anh hùng bị thương	false
agent_localisations_text_agent_action_panel_outcomes_hinder_agent_success_critical	Anh hùng bị ám sát	false
agent_localisations_text_agent_action_panel_outcomes_hinder_army_success	Mục tiêu bị làm chậm	false
agent_localisations_text_agent_action_panel_outcomes_hinder_army_success_critical	Mục tiêu bị chặn đứng	false
agent_localisations_text_agent_action_panel_outcomes_hinder_character_success	Nhân vật bị thương	false
agent_localisations_text_agent_action_panel_outcomes_hinder_character_success_critical	Nhân vật bị ám sát	false
agent_localisations_text_agent_action_panel_outcomes_hinder_settlement_success	Xây dựng bị trì hoãn	false
agent_localisations_text_agent_action_panel_outcomes_hinder_settlement_success_critical	Xây dựng bị trì hoãn nghiêm trọng	false
agent_localisations_text_agent_action_panel_outcomes_success_header	Kết quả tích cực	false
agent_localisations_text_agent_action_panel_spy_method_hinder_agent	Thao túng Đặc vụ	false
agent_localisations_text_agent_action_panel_spy_method_hinder_army	Nhắm vào Quân đội	false
agent_localisations_text_agent_action_panel_spy_method_hinder_character	Ám sát	false
agent_localisations_text_agent_action_panel_spy_method_hinder_settlement	Phương thức Phá hoại	false
agent_localisations_text_agent_action_result_strings_action	Hành động:	false
agent_localisations_text_agent_action_result_strings_target	Mục tiêu:	false
agent_localisations_text_agent_attribute_panel_approach_attribute_theirs	Của họ:	false
agent_localisations_text_agent_attribute_panel_approach_attribute_yours	Của ngài:	false
agent_localisations_text_agent_attribute_panel_approach_authority_tooltip	Tiếp cận dựa trên Quyền uy (Authority).||Thành công của cách tiếp cận này được quản lý bởi chỉ số Quyền uy của đặc vụ so với mục tiêu của họ. 	false
agent_localisations_text_agent_attribute_panel_approach_subterfuge_tooltip	Tiếp cận dựa trên Gian xảo (Cunning).||Thành công của cách tiếp cận này được quản lý bởi chỉ số Gian xảo của đặc vụ so với mục tiêu của họ. 	false
