key	text	tooltip
#Loc;1;text/db/building_effect_context_expressions__.loc		
building_effect_context_expressions_display_text_AislinnBuiltInColony	Khi được xây dựng trong một Thuộc Địa:	false
building_effect_context_expressions_display_text_AislinnBuiltInOutpost	Khi được xây dựng trong một Tiền Đồn Tuần Tra Biển:	false
building_effect_context_expressions_display_text_AislinnColonyInProvince	Khi có một Thuộc Địa Elven ở tỉnh này:	false
building_effect_context_expressions_display_text_AislinnConfederated	Khi [[img:aislinn_flag]][[/img]]Tuần Tra Biển High Elf đã được hợp nhất:	false
building_effect_context_expressions_display_text_AllegianceCrowMax	Cấp Tối Đa ({{tr:effect_bundles_localised_title_wh_dlc08_bundle_god_nurgle}})	false
building_effect_context_expressions_display_text_AllegianceEagleMax	Cấp Tối Đa ({{tr:effect_bundles_localised_title_wh_dlc08_bundle_god_tzeentch}})	false
building_effect_context_expressions_display_text_AllegianceHoundMax	Cấp Tối Đa ({{tr:effect_bundles_localised_title_wh_dlc08_bundle_god_khorne}})	false
building_effect_context_expressions_display_text_AllegianceSerpentMax	Cấp Tối Đa ({{tr:effect_bundles_localised_title_wh_dlc08_bundle_god_slaanesh}})	false
building_effect_context_expressions_display_text_AnyProvinceRegionRazed	Khi có bất kỳ vùng nào trong tỉnh này hiện đang bị phá hủy:	false
building_effect_context_expressions_display_text_CHDRawMaterialsGreaterThan125	Khi tổng số [[img:icon_raw_materials]][[/img]]Nguyên Vật Liệu (Raw Materials) cao hơn 125 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_CHDRawMaterialsGreaterThan150	Khi tổng số [[img:icon_raw_materials]][[/img]]Nguyên Vật Liệu (Raw Materials) cao hơn 150 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_CHDRawMaterialsGreaterThan250	Khi tổng số [[img:icon_raw_materials]][[/img]]Nguyên Vật Liệu (Raw Materials) cao hơn 250 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_CHDRawMaterialsGreaterThan50	Khi tổng số [[img:icon_raw_materials]][[/img]]Nguyên Vật Liệu (Raw Materials) cao hơn 50 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_CHDRawMaterialsGreaterThan75	Khi tổng số [[img:icon_raw_materials]][[/img]]Nguyên Vật Liệu (Raw Materials) cao hơn 75 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_ChaosUndCorruption100	Khi sự tha hóa [[img:icon_corruption_chs]][[/img]]Chaos Undivided là 100 trở lên:	false
building_effect_context_expressions_display_text_ChaosUndCorruption50	Khi sự tha hóa [[img:icon_corruption_chs]][[/img]]Chaos Undivided là 50 trở lên:	false
building_effect_context_expressions_display_text_ChaosUndCorruption75	Khi sự tha hóa [[img:icon_corruption_chs]][[/img]]Chaos Undivided là 75 trở lên:	false
building_effect_context_expressions_display_text_DEFSlavesGreaterThan100	Khi tổng số [[img:icon_slaves]][[/img]]nô lệ cao hơn 100 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_DEFSlavesGreaterThan1000	Khi tổng số [[img:icon_slaves]][[/img]]nô lệ cao hơn 1000 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_DEFSlavesGreaterThan150	Khi tổng số [[img:icon_slaves]][[/img]]nô lệ cao hơn 150 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_DEFSlavesGreaterThan200	Khi tổng số [[img:icon_slaves]][[/img]]nô lệ cao hơn 200 lúc bắt đầu lượt:	false
building_effect_context_expressions_display_text_DevPointGreatThan5	Với 5 [[img:icon_pop_surplus]][[/img]]dân số dư thừa:	false
building_effect_context_expressions_display_text_DwarfHidden		false
building_effect_context_expressions_display_text_DwfLowRegionCount	Khi chủ sở hữu có từ 5 khu định cư trở xuống:	false
