key	text	tooltip
#Loc;1;text/db/campaign_unit_stat_bonuses__.loc		
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy0	huấn luyện độ chính xác: tân binh	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy1	huấn luyện độ chính xác: chính quy	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy2	huấn luyện độ chính xác: dày dạn	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy3	huấn luyện độ chính xác: kỳ cựu	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy4	huấn luyện độ chính xác: tinh nhuệ	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition0	Đạn dược Cấp I	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition1	Đạn dược Cấp II	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition2	Đạn dược Cấp III	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour0	Giáp trụ Cấp I	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour1	Giáp trụ Cấp II	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour2	Giáp trụ Cấp III	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack0	huấn luyện tấn công: tân binh	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack1	huấn luyện tấn công: chính quy	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack2	huấn luyện tấn công: dày dạn	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack3	huấn luyện tấn công: kỳ cựu	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack4	huấn luyện tấn công: tinh nhuệ	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge0	huấn luyện xung kích: tân binh	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge1	huấn luyện xung kích: chính quy	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge2	huấn luyện xung kích: dày dạn	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge3	huấn luyện xung kích: kỳ cựu	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge4	huấn luyện xung kích: tinh nhuệ	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence0	huấn luyện phòng thủ: tân binh	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence1	huấn luyện phòng thủ: chính quy	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence2	huấn luyện phòng thủ: dày dạn	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence3	huấn luyện phòng thủ: kỳ cựu	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence4	huấn luyện phòng thủ: tinh nhuệ	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses0	Ngựa Cấp I	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses1	Ngựa Cấp II	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses2	Ngựa Cấp III	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health0	Thân tàu Cấp I	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health1	Thân tàu Cấp II	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health2	Thân tàu Cấp III	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale0	huấn luyện tinh thần: tân binh	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale1	huấn luyện tinh thần: chính quy	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale2	huấn luyện tinh thần: dày dạn	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale3	huấn luyện tinh thần: kỳ cựu	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale4	huấn luyện tinh thần: tinh nhuệ	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield0	Khiên Cấp I	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield1	Khiên Cấp II	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield2	Khiên Cấp III	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon0	Vũ khí Cấp I	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon1	Vũ khí Cấp II	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon2	Vũ khí Cấp III	false
