key	text	tooltip
#Loc;1;text/db/diplomacy_strings__.loc		
diplomacy_strings_string_BRET_Dip_Accept_State_Gift_01	Một món đồ lót chúng ta sẽ đặt cùng với những món đồ trang sức khác trong hầm tại Couronne.	false
diplomacy_strings_string_BRET_Dip_Accept_State_Gift_02	Nó không phải là Chén Thánh… nhưng bạn nhận được sự biết ơn của chúng tôi.	false
diplomacy_strings_string_BRET_Dip_Accept_State_Gift_03	Giá trị của một món quà như vậy có thể nuôi sống dân thường của toàn bộ một công quốc trong nhiều tháng… chúng ta sẽ đặt nó vào hầm.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Accept_01	Tôi đã cầu nguyện với Quý cô để xin một câu trả lời và bà ấy cho rằng điều đó là khôn ngoan.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Accept_02	Các Hiệp sĩ Chén Thánh tập hợp - một dấu hiệu cho thấy chúng ta nên chấp nhận.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Accept_03	Tôi đã thấy một ảo ảnh về Gilles le Breton, ông ấy bảo tôi đồng ý với điều này.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Cancel_Treaty_01	Điều này không có gì ngạc nhiên, dân tộc của bạn là những kẻ không có danh dự.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Cancel_Treaty_02	Tốt thôi. Sẽ không có hiệp ước nào khi những hành động tồi tệ như vậy diễn ra!	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Cancel_Treaty_03	Bretonnia sẽ không còn giao thiệp với bạn nữa!	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Reject_01	Chúng tôi không chấp nhận điều này! Danh dự của Bretonnia đáng giá hơn nhiều.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Reject_02	Bạn xúc phạm Quý cô với sự từ chối này.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_Reject_03	Tốt thôi! Bretonnia khóc thương cho sự từ chối của bạn.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_War_01	Hiệp sĩ Xanh xuất hiện trong giấc mơ của tôi với thanh kiếm đã tuốt khỏi bao.	false
diplomacy_strings_string_BRET_Dip_Acknowledge_War_02	Các Hiệp sĩ xuất trận. Chúng tôi đã sẵn sàng cho bạn!	false
diplomacy_strings_string_BRET_Dip_Acknowledge_War_03	Cứ như vậy đi. Chúng tôi có sự bảo vệ của Quý cô!	false
diplomacy_strings_string_BRET_Dip_Cancel_Treaty_01	Quy tắc hiệp sĩ của chúng tôi không thể bị xâm phạm, hiệp ước này kết thúc!	false
diplomacy_strings_string_BRET_Dip_Cancel_Treaty_02	Hiệp ước đã xong, do những hành động phi hiệp sĩ của bạn!	false
diplomacy_strings_string_BRET_Dip_Cancel_Treaty_03	Chúng tôi phải hủy bỏ hiệp ước này, Tiên Nữ hạ lệnh.	false
diplomacy_strings_string_BRET_Dip_Demand_Join_War_01	Chắc chắn danh dự của bạn đang bị đe dọa, bạn phải chiến đấu cùng chúng tôi!	false
diplomacy_strings_string_BRET_Dip_Demand_Join_War_02	Hãy tham gia cùng chúng tôi, và ngày hôm nay thực sự sẽ là một ngày đẫm máu cho kẻ thù của chúng ta!	false
diplomacy_strings_string_BRET_Dip_Demand_Join_War_03	Bây giờ là lúc thực hiện quy tắc hiệp sĩ và tham gia cùng chúng tôi trong trận chiến!	false
diplomacy_strings_string_BRET_Dip_Demand_Payments_Negative_01	Một món nợ phải được trả, Royarch yêu cầu điều đó!	false
diplomacy_strings_string_BRET_Dip_Demand_Payments_Neutral_01	Bạn nợ Quý cô của chúng tôi - hãy trả tiền đi, thưa ngài.	false
diplomacy_strings_string_BRET_Dip_Demand_Payments_Positive_01	Chúng tôi không có ý làm hoen ố danh dự của bạn, nhưng món nợ tích lũy cho Bretonnia đã đến hạn.	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Bretonnia_Negative_01	Bạn làm ô uế tên tuổi của Gilles người Thống nhất với sự kiêu ngạo này!	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Bretonnia_Negative_02	Bạn không xứng đáng với chiếc áo choàng đó, Hiệp sĩ, tuy nhiên chúng ta phải thảo luận vấn đề trước mắt.	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Bretonnia_Neutral_01	Tất cả chúng ta đều là công tước và lãnh chúa, chúng ta sẽ tìm thấy tiếng nói chung.	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Bretonnia_Neutral_02	Tôi đã thấy cách bạn đối xử với dân thường của mình - quá khoan dung so với ý thích của tôi. Tuy nhiên, có những vấn đề cần giải quyết.	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Bretonnia_Positive_01	Đến đây, thưa ngài, chúng ta phải nói chuyện, Quý cô cho phép điều đó.	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Bretonnia_Positive_02	Chúng ta phải cùng nhau, thưa ngài, hãy nói về cách tốt nhất để phụng sự Quý cô.	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Chaos_Negative_01	Bretonnia sẽ không bao giờ thuộc về các người, dân phương Bắc. Hãy đến đây, thương nghị và chúng tôi sẽ cho các người biết lý do!	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Chaos_Negative_02	Chúng tôi sẽ tẩy sạch sự bẩn thỉu của các người khỏi vùng đất thánh của chúng tôi, nhưng trước tiên là một cuộc họp!	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Chaos_Neutral_01	Có một lời đề nghị cho ngươi, thuộc hạ của Chaos, nhưng những chủ nhân tàn ác của ngươi sẽ không thích nó đâu.	false
diplomacy_strings_string_BRET_Dip_Generic_Offer_Chaos_Neutral_02	Chúng tôi đưa ra yêu cầu của mình một cách thiện chí, dân phương Bắc, liệu các Thần của các người có thể làm được điều tương tự không?	false
