key	text	tooltip
#Loc;1;text/db/cdir_events_categories__.loc		
cdir_events_categories_on_screen_name_Arbaal_map_easy	Thử thách	false
cdir_events_categories_on_screen_name_Arbaal_map_hard	{{tr:cdir_events_categories_on_screen_name_Arbaal_map_easy}}	false
cdir_events_categories_on_screen_name_Arbaal_map_medium	{{tr:cdir_events_categories_on_screen_name_Arbaal_map_easy}}	false
cdir_events_categories_on_screen_name_Chaos_Map_Easy	Viễn tượng của các Cổ Thần (Dễ)	false
cdir_events_categories_on_screen_name_Chaos_Map_Hard	Viễn tượng của các Cổ Thần (Khó)	false
cdir_events_categories_on_screen_name_Chaos_Map_Medium	Viễn tượng của các Cổ Thần (Thường)	false
cdir_events_categories_on_screen_name_Diplomatic		false
cdir_events_categories_on_screen_name_Disabled		false
cdir_events_categories_on_screen_name_Disaster		false
cdir_events_categories_on_screen_name_Domestic		false
cdir_events_categories_on_screen_name_Event		false
cdir_events_categories_on_screen_name_Faction		false
cdir_events_categories_on_screen_name_Family		false
cdir_events_categories_on_screen_name_Grudges	Mối thâm thù	false
cdir_events_categories_on_screen_name_Historical		false
cdir_events_categories_on_screen_name_Military	Nhiệm vụ	false
cdir_events_categories_on_screen_name_Objective	Mục tiêu Chương	false
cdir_events_categories_on_screen_name_OgreContract	Tiền thưởng	false
cdir_events_categories_on_screen_name_Political		false
cdir_events_categories_on_screen_name_Quest	Nhiệm vụ	false
cdir_events_categories_on_screen_name_Religious		false
cdir_events_categories_on_screen_name_Resolution		false
cdir_events_categories_on_screen_name_Ritual_Requirement	Yêu cầu Nghi lễ	false
cdir_events_categories_on_screen_name_Setback		false
cdir_events_categories_on_screen_name_TreasureHunt	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_Bretonnia	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_ChaosDwarfs	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_DarkElves	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_Dwarfs	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_Empire	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_Greenskins	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_HighElves	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_LizardMen	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_OgreKingdoms	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_Skaven	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_TombKings	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_VampireCounts	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_TreasureHunt_WoodElves	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_VictoryCondition	Điều kiện Chiến thắng	false
cdir_events_categories_on_screen_name_alith_anar_assassination	Mục tiêu Ám sát	false
cdir_events_categories_on_screen_name_armies_of_shang_yang	{{tr:uied_component_texts_localised_string_wh3_cp1_cth_shang_yang_panel_title}}	false
cdir_events_categories_on_screen_name_books_of_nagash	Nhiệm vụ Sách	false
cdir_events_categories_on_screen_name_chaos_dwarf_relics	Cổ vật Người lùn	false
cdir_events_categories_on_screen_name_da_plan	Mở khóa Chiến thuật	false
cdir_events_categories_on_screen_name_dark_moon	Trăng Tối	false
cdir_events_categories_on_screen_name_grom_invasion	Cuộc xâm lược của Grom	false
cdir_events_categories_on_screen_name_gunnery_school	Trường Pháo binh	false
cdir_events_categories_on_screen_name_ikit_workshop		false
cdir_events_categories_on_screen_name_imperial_authority	Quyền uy Đế chế	false
cdir_events_categories_on_screen_name_malakai_battles	Trận chiến Huyền thoại	false
cdir_events_categories_on_screen_name_marks_of_cruelty	Dấu ấn Tàn bạo	false
cdir_events_categories_on_screen_name_nakai_target	Nhiệm vụ	false
cdir_events_categories_on_screen_name_piece_of_eight	Đồng bạc Số tám	false
cdir_events_categories_on_screen_name_placeholder		false
cdir_events_categories_on_screen_name_political_action_outcome		false
cdir_events_categories_on_screen_name_political_intrigue		false
cdir_events_categories_on_screen_name_scheme_badlands	Âm mưu Badlands	false
cdir_events_categories_on_screen_name_scheme_bretonnia	Âm mưu Bretonnia	false
cdir_events_categories_on_screen_name_scheme_chaos_wastes	Âm mưu Vùng hoang địa Hỗn mang	false
cdir_events_categories_on_screen_name_scheme_darklands	Âm mưu Darklands	false
cdir_events_categories_on_screen_name_scheme_grand_cathay	Âm mưu Đại Cát Tây	false
cdir_events_categories_on_screen_name_scheme_lustria	Âm mưu Lustria	false
cdir_events_categories_on_screen_name_scheme_naggaroth	Âm mưu Naggaroth	false
cdir_events_categories_on_screen_name_scheme_norsca	Âm mưu Norsca	false
cdir_events_categories_on_screen_name_scheme_the_empire	Âm mưu Đế chế	false
cdir_events_categories_on_screen_name_scheme_ulthuan	Âm mưu Ulthuan	false
cdir_events_categories_on_screen_name_tamurkhan_battles		false
cdir_events_categories_on_screen_name_treasure_hunt_coast	Bản đồ Kho báu	false
cdir_events_categories_on_screen_name_tzarkans_whispers	Lời thì thầm của Tz'arkan	false
cdir_events_categories_on_screen_name_wulfharts_hunters	Thợ săn	false
cdir_events_categories_on_screen_name_yuan_bo_compass	Nhiệm vụ	false
cdir_events_categories_on_screen_name_zhaos_will	Mục tiêu của Zhao Ming	false
