key	text	tooltip
#Loc;1;text/db/campaign_interactable_marker_infos__.loc		
campaign_interactable_marker_infos_name_dragon_marker	Cuộc chạm trán Rồng	false
campaign_interactable_marker_infos_name_encounter_marker_1	Xác Chết Trên Biển	false
campaign_interactable_marker_infos_name_encounter_marker_10	Hòn Đảo Bí Ẩn 	false
campaign_interactable_marker_infos_name_encounter_marker_11	Rạn san hô Đầu Lâu	false
campaign_interactable_marker_infos_name_encounter_marker_12	Hòn Đảo Bí Ẩn 	false
campaign_interactable_marker_infos_name_encounter_marker_13	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_15	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_16	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_17	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_18	Hòn Đảo Bí Ẩn 	false
campaign_interactable_marker_infos_name_encounter_marker_19	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_2	Xác tàu đắm 	false
campaign_interactable_marker_infos_name_encounter_marker_20	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_21	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_22	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_23	Hòn Đảo Bí Ẩn 	false
campaign_interactable_marker_infos_name_encounter_marker_24	Xác Chết Trên Biển	false
campaign_interactable_marker_infos_name_encounter_marker_25	Xác tàu đắm 	false
campaign_interactable_marker_infos_name_encounter_marker_26	Xác tàu đắm 	false
campaign_interactable_marker_infos_name_encounter_marker_27	Xác Chết Trên Biển	false
campaign_interactable_marker_infos_name_encounter_marker_28	Hàng hóa Chết chóc	false
campaign_interactable_marker_infos_name_encounter_marker_29	Tàn tích của Trận chiến	false
campaign_interactable_marker_infos_name_encounter_marker_3	Xác tàu đắm 	false
campaign_interactable_marker_infos_name_encounter_marker_30	Hàng hóa Chết chóc	false
campaign_interactable_marker_infos_name_encounter_marker_31	Hàng hóa Chết chóc	false
campaign_interactable_marker_infos_name_encounter_marker_32	Hòn Đảo Bí Ẩn 	false
campaign_interactable_marker_infos_name_encounter_marker_4	Xác Chết Trên Biển	false
campaign_interactable_marker_infos_name_encounter_marker_5	Hàng hóa Chết chóc	false
campaign_interactable_marker_infos_name_encounter_marker_6	Hàng hóa Chết chóc	false
campaign_interactable_marker_infos_name_encounter_marker_7	Hàng hóa Chết chóc	false
campaign_interactable_marker_infos_name_encounter_marker_8	Hàng hóa Chết chóc	false
campaign_interactable_marker_infos_name_encounter_marker_9	Hòn Đảo Bí Ẩn 	false
campaign_interactable_marker_infos_name_endgame_vermintide_marker	Sự xáo trộn ở Ubersreik	false
campaign_interactable_marker_infos_name_food_merchant	Thương nhân Lương thực	false
campaign_interactable_marker_infos_name_gotrek_marker	Gotrek & Felix	false
campaign_interactable_marker_infos_name_invasion_marker_1	Cuộc Xâm Lược Sắp Xảy Ra	false
campaign_interactable_marker_infos_name_invasion_marker_2	Cuộc Xâm Lược Sắp Xảy Ra	false
campaign_interactable_marker_infos_name_invasion_marker_3	Cuộc Xâm Lược Sắp Xảy Ra	false
campaign_interactable_marker_infos_name_oxyotl_chaos_mission	Nhiệm vụ Tầm nhìn của các Cựu Thần (Old Ones)	false
campaign_interactable_marker_infos_name_prologue_marker_1	Thử nghiệm	false
campaign_interactable_marker_infos_name_tzeentch_poi_marker_dead_king	Đường đến Tàn tích của Vua Chết (Ruins of the Dead King)	false
campaign_interactable_marker_infos_name_tzeentch_poi_marker_eternity_stair	Đường đến Cầu thang Vĩnh cửu (The Eternity Stair)	false
