key	text	tooltip
#Loc;1;text/db/campaign_map_attritions__.loc		
campaign_map_attritions_campaign_map_tooltip_athel_loren	Đạo quân sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn khi ở trong khu rừng Athel Loren.	false
campaign_map_attritions_campaign_map_tooltip_awakened_forest	Đạo quân này đang gánh chịu [[img:icon_attrition]][[/img]]hao mòn do các công trình hoặc nhân vật Wood Elf ở địa phương.	false
campaign_map_attritions_campaign_map_tooltip_besieged	Khu định cư này đang gánh chịu tổn thất [[img:icon_attrition]][[/img]]hao mòn do bị bao vây.	false
campaign_map_attritions_campaign_map_tooltip_besieging	Đạo quân này đang gánh chịu tổn thất [[img:icon_attrition]][[/img]]hao mòn do đang tiến hành bao vây.	false
campaign_map_attritions_campaign_map_tooltip_blockaded	Cảng này đang gánh chịu tổn thất [[img:icon_attrition]][[/img]]hao mòn do đang bị phong tỏa.	false
campaign_map_attritions_campaign_map_tooltip_blockading	Hạm đội này đang gánh chịu tổn thất [[img:icon_attrition]][[/img]]hao mòn do đang tiến hành phong tỏa.	false
campaign_map_attritions_campaign_map_tooltip_blood_voyage_desertion	Với việc Death Night chỉ còn là một ký ức xa xăm, lực lượng này bắt đầu giải tán.	false
campaign_map_attritions_campaign_map_tooltip_building_attrition	Đạo quân này đang gánh chịu [[img:icon_attrition]][[/img]]hao mòn do các công trình trong khu vực.	false
campaign_map_attritions_campaign_map_tooltip_chaos_territory	Đạo quân sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn khi ở trong các khu vực có mức độ suy đồi Chaos cao.	false
campaign_map_attritions_campaign_map_tooltip_chaos_wastes	Đạo quân sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn khi ở trong Chaos Wastes.	false
campaign_map_attritions_campaign_map_tooltip_chaos_wastes_bonus_value	Đạo quân sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn khi ở trong Chaos Wastes.	false
campaign_map_attritions_campaign_map_tooltip_chd_summoned_army	Đạo quân này sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn sau vài lượt	false
campaign_map_attritions_campaign_map_tooltip_compass	Đạo quân sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn khi Cơn thịnh nộ của Dragon Emperor được giải phóng.	false
campaign_map_attritions_campaign_map_tooltip_deep_sea	Hạm đội sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn khi ở vùng nước sâu.	false
campaign_map_attritions_campaign_map_tooltip_desert	Đạo quân sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn khi ở trong các vùng sa mạc.	false
campaign_map_attritions_campaign_map_tooltip_desertion	Những đạo quân không thể duy trì sẽ gánh chịu tổn thất [[img:icon_attrition]][[/img]]hao mòn thông qua việc đào ngũ.	false
campaign_map_attritions_campaign_map_tooltip_disciple_army	Disciple Armies sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn trừ khi ở trong các khu vực có mức độ [[img:icon_corruption_sla]][[/img]]suy đồi Slaanesh cao	false
campaign_map_attritions_campaign_map_tooltip_disease	Đạo quân sẽ gánh chịu tổn thất do [[img:icon_attrition]][[/img]]hao mòn trong khi phải chịu đựng dịch bệnh [[img:icon_plague]][[/img]]plague của Skaven.	false
