key	text	tooltip
#Loc;1;text/db/building_short_description_texts__.loc		
building_short_description_texts_short_description_%placeholder%	%placeholder%	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_dlc09_tmb_tomb_kings	Một vài hầm mộ cần phải được theo dõi kỹ lưỡng, vì đôi khi những kẻ chết chôn vùi không phải là thứ duy nhất ở dưới đó.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_dlc09_tmb_tomb_kings_2	Sẽ không một con chuột ngầm nào được phép gặm nhấm những bộ xương này – không đời nào, khi Lính Gác Hầm Mộ còn đứng đây!	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_dlc09_tmb_tomb_kings_3	Những lính canh xương xẩu tinh nhuệ tuần tra các lăng mộ rộng lớn của kẻ bất tử, đảm bảo chỉ có những đứa con của Nehekhara mới được phép lang thang trong đại sảnh của họ.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_dlc11_cst_vampire_coast	“Nếu lũ người chuột quanh quẩn ở đây, ta sẽ tìm ra chúng, chỉ cần đảm bảo lũ Zombie Deckhand đang gác thực sự CÓ MẮT…”	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_dlc11_cst_vampire_coast_2	Một trinh sát giỏi luôn phải để mắt đảo liên tục, quan sát từng dấu hiệu nhỏ nhất về hoạt động của kẻ địch.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_dlc11_cst_vampire_coast_3	Nơi ánh sáng chiếu tới, một đôi mắt sắc bén dõi theo, khảo sát khu vực để tìm kiếm dấu vết của lũ Skaven phiền toái.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_def_dark_elves	Ác tâm và lòng căm thù của Kẻ Tăm Tối không nên làm mờ đi lý trí của chúng trong việc chuẩn bị đối phó với những rắc rối do lũ Skaven gây ra.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_def_dark_elves_2	Lính gác Druchii sẽ không chừa lại người sống nào một khi phát hiện ra sự hiện diện của lũ rệp nhơ nhuốc.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_def_dark_elves_3	Vô số chướng ngại vật chặn kín những đường hầm ngầm này, cản bước tiến của bất kỳ kẻ tấn công Skaven gớm ghiếc nào.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_hef_high_elves	Với cái bóng chập chờn dưới ánh sáng rực rỡ của những ngọn đuốc được phù phép, các dân binh tuần tra đang làm nhiệm vụ của mình.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_hef_high_elves_2	Một lực lượng Lính Gác tinh nhuệ rà soát các đường hầm bên dưới thành phố, luôn cảnh giác trước bất kỳ dấu hiệu nào của lũ sinh vật hạ đẳng có thể lấy những hang sâu này làm nhà.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_hef_high_elves_3	Lính gác Asur tuần tra tại khu vực phong tỏa, khảo sát các đường hầm xa đến tận chân trời, trong khi các trinh sát tài ba thực hiện những chuyến đi sâu vào bóng tối.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_lzd_lizardmen	Một vài đường hầm của Lizardmen có niên đại từ một kỷ nguyên xa xưa, trước cả tất cả các chủng tộc non trẻ và do đó hoàn toàn không ai biết đến chúng.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_lzd_lizardmen_2	Lũ Cold One nghiên cứu những bản đồ cổ của các lối đi ngầm bị thất lạc từ lâu, mang lại lợi thế quen thuộc với địa hình dưới lòng đất.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_lzd_lizardmen_3	Một mê cung phức tạp gồm các đường hầm ngầm cổ xưa đã được xây dựng lại, một mạng lưới quan trọng dành cho các trinh sát và điệp viên.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_skv_skaven	Lũ Skaven biết rõ các đối thủ của chúng sẽ rất sẵn lòng đào những hang ổ gián điệp ngay bên dưới chúng, nên cách phòng thủ duy nhất là tự mình dò la thẳng xuống dưới.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_skv_skaven_2	Càng đào sâu hang, lợi thế càng lớn', tục ngữ đã nói vậy.	false
building_short_description_texts_short_description_foreign_slot_discoverywh2_main_skv_skaven_3	Các gia tộc đối địch sẽ phải suy nghĩ lại trước khi cố gắng lẻn qua một tổ gián điệp tinh nhuệ dưới lòng đất.	false
building_short_description_texts_short_description_foreign_slot_discoverywh3_dlc20_woc_warriors_of_chaos	Lũ sâu bọ đó sẽ bị tận diệt, bất kể chúng cố trốn ở đâu!	false
building_short_description_texts_short_description_foreign_slot_discoverywh3_dlc20_woc_warriors_of_chaos_2	Một khu trại trung tâm trang bị cho Trinh sát Chaos mọi thứ chúng cần để săn lùng và tiêu diệt bất kỳ con chuột nào định cản trở kế hoạch của các Dark Gods.	false
building_short_description_texts_short_description_foreign_slot_discoverywh3_dlc20_woc_warriors_of_chaos_3	Một lực lượng chuyên săn lùng Skaven được cử đi, sẵn sàng đập nát sọ bất cứ con chuột nào dám thò cái đầu gớm ghiếc của chúng ra.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_dlc05_wef_wood_elves	Để bảo vệ cội rễ của khu rừng khỏi mối đe dọa từ Skaven, việc giám sát có thể được triển khai tại những tầng thấp nhất của nó.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_dlc05_wef_wood_elves_2	Những khe nứt sâu dưới lòng đất mang lại tầm nhìn xuyên thấu không gian ngầm, soi rọi những kẻ định ẩn mình trong bóng tối.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_dlc05_wef_wood_elves_3	Rễ của khu rừng cắm sâu vào lòng đất, uốn lượn qua những hang động được sử dụng bởi các trinh sát, điệp viên và lính gác.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_dlc08_nor_norsca	"Đã từng đối mặt với những con quái vật gớm ghiếc hơn nhiều so với Skaven, những người phương Bắc coi trọng ""nhiệm vụ diệt trừ sâu bọ""."	false
building_short_description_texts_short_description_foreign_slot_discoverywh_dlc08_nor_norsca_2	Lũ chuột Skaven nhơ nhớp để lại một dấu vết quá rõ ràng; cứ đi theo mùi hôi thối và ngươi sẽ tìm thấy chúng.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_dlc08_nor_norsca_3	Các tiền đồn kiên cố rải rác khắp nơi, nơi những người phương Bắc háo hức chờ đợi cơ hội để dọn sạch một dải máu qua lũ rệp thủy triều bẩn thỉu.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_brt_bretonnia	Khi lũ nông dân bắt đầu mất tích, việc thiết lập canh gác ban đêm có lẽ là cần thiết nếu không muốn các lãnh chúa và quý tộc là những người tiếp theo.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_brt_bretonnia_2	Bất kỳ con rệp nào định lén qua Trạm Gác sẽ chạm trán ngay mũi kiếm sắc bén của Lính Gác.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_brt_bretonnia_3	Chỉ có những đôi mắt sắc bén nhất mới thuộc về Bang hội, được ràng buộc danh dự để phơi bày các mối đe dọa dù chúng có ẩn nấp ở đâu.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_dwf_dwarfs	Những đường cao tốc ngầm cổ xưa của tộc Dwarfs phụ thuộc vào sự cảnh giác của các lính gác để giúp cho các Pháo đài luôn trong trạng thái chuẩn bị trước sự hung hăng của Skaven.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_dwf_dwarfs_2	Các trạm gác được trang bị đầy đủ đã được dựng lên dưới lòng đất, cảnh báo cho Dawi khi bầy người chuột tiến tới.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_dwf_dwarfs_3	Nhiều con mắt thì vẫn tốt hơn là một, khi nhắc đến việc tìm kiếm một ổ rệp.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_emp_empire	"Chỉ có những vương quốc ngu ngốc nhất của con người mới phớt lờ câu chuyện cảnh báo mang tên ""Hủy diệt Kavzar""."	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_emp_empire_2	Chỉ trinh sát thôi thì chưa đủ; khi hiểm họa Skaven giáng xuống, các Trinh sát viên được trang bị đầy đủ phải sẵn sàng kêu gọi anh em của mình vùng lên.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_emp_empire_3	Các thợ săn, lính theo dõi và chiến binh tinh nhuệ nhất đều chung tay tuần tra vùng ngầm để tìm kiếm lũ người chuột hôi hám.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_grn_greenskins	Việc thuê lũ Night Goblins, những kẻ biết cách tránh khỏi những âm mưu đâm sau lưng của lũ Skaven, giúp đảm bảo vùng ngầm luôn được theo dõi.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_grn_greenskins_2	Những kẻ lần dấu Night Goblin mạo hiểm đi xa hơn, trinh sát dưới lòng đất để tìm mọi dấu vết về hoạt động của lũ Skaven.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_grn_greenskins_3	Lũ Skaven có thể là những kẻ thù quỷ quyệt, nhưng những kẻ đặt bẫy (Trapperz) cũng có vài ngón đòn gian xảo của riêng mình.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_vmp_vampire_counts	Một vài hầm mộ cần phải được theo dõi kỹ lưỡng, vì đôi khi những kẻ chết chôn vùi không phải là thứ duy nhất ở dưới đó. 	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_vmp_vampire_counts_2	Những lính canh mắt đại bàng rình rập quanh các hầm mộ của lũ Undead, không rời mắt khỏi bất kỳ kẻ xâm nhập nào còn nhịp đập dưới lòng đất.	false
building_short_description_texts_short_description_foreign_slot_discoverywh_main_vmp_vampire_counts_3	Một lực lượng trinh sát tinh nhuệ nhất lang thang trong bóng tối, lần theo mùi hôi thối đặc trưng của lũ sinh vật thấp hèn bên dưới mặt đất.	false
building_short_description_texts_short_description_wh2_dlc09_special_black_tower_of_arkhan	Vị Liche King thu nạp tín đồ cho chủ nhân của mình, Nagash; Black Tower của hắn đâm thẳng lên trời, một tuyên ngôn về âm mưu độc ác và đen tối của hắn.	false
building_short_description_texts_short_description_wh2_dlc09_special_pyramid_alcadizaar	Kim tự tháp của Alcadizaar đứng sừng sững như minh chứng vĩnh cửu cho sự hy sinh của ông để ngăn chặn kế hoạch độc ác của Nagash thành hiện thực.	false
building_short_description_texts_short_description_wh2_dlc09_special_pyramid_amenemhetum	Vị Vua của Hạm Đội Cảng đã mãi mãi được lưu danh nhờ kim tự tháp khổng lồ của mình.	false
building_short_description_texts_short_description_wh2_dlc09_special_pyramid_khatep	Liche Lord đã lệnh xây dựng kim tự tháp vĩ đại của mình, để cả khi sống lẫn khi bước sang thế giới bên kia, mọi người sẽ đều biết đến sự bền bỉ và lòng cống hiến của ông.	false
building_short_description_texts_short_description_wh2_dlc09_special_pyramid_phar	Tượng đài này, giống hệt như người đàn ông đó, thách thức lại cuộc hành quân không thể cản phá của đạo quân Settra.	false
building_short_description_texts_short_description_wh2_dlc09_special_pyramid_settra	Kim tự tháp của Đấng Bất Diệt (the Imperishable) luôn khiến cho mọi kẻ trót nhìn vào nó đều phải nể phục và khiếp sợ.	false
building_short_description_texts_short_description_wh2_dlc09_special_pyramid_tutankhanut	Hoàng tử Vĩnh Cửu hứa hẹn đem đến sự trù phú và thịnh vượng cho vùng đất của mình, để đổi lấy một sự tôn vinh lẫy lừng, tất nhiên rồi.	false
building_short_description_texts_short_description_wh2_dlc09_tmb_arkhan_burial_mound	Một gò mộ chứa đầy xác chết từ một nền văn minh đã lụi tàn, nay bị chiếm đóng bởi những cư dân mới.	false
building_short_description_texts_short_description_wh2_dlc09_tmb_arkhan_burial_mound_2	Linh hồn của những chiến binh đã chết từ lâu vẫn lởn vởn trong gò mộ, háo hức một lần nữa được ra chiến trường.	false
building_short_description_texts_short_description_wh2_dlc09_tmb_cavalry_1	Đã có rất nhiều người cưỡi ngựa bị lạc mất thú cưỡi của mình giữa những bãi cát lún hiểm trở. Xác của chúng vẫn còn vương vãi trên những đầm lầy lún nhanh ấy.	false
building_short_description_texts_short_description_wh2_dlc09_tmb_cavalry_2	Vô số binh lính đã ngã xuống trong trận chiến. Dưới sự thức tỉnh của Nagash, tất cả chúng sẽ lại đứng lên để tiếp tục chiến đấu.	false
building_short_description_texts_short_description_wh2_dlc09_tmb_cavalry_3	Bên cạnh mỗi ngôi đền lớn của Mortuary Cult luôn có một cái hố có nắp đậy, nơi những kẻ gác đền nguy hiểm mang hình dáng loài rắn sinh sống.	false
