key	text	tooltip
#Loc;1;text/db/dilemmas__.loc		
dilemmas_localised_description_wh2_dlc08_nor_confederate_generic	{{CcoCampaignEventDilemma:CharacterTargetName}}, thủ lĩnh của bộ lạc {{CcoCampaignEventDilemma:FirstTargetFactionNameWithIcon}} đã bị đánh bại; một lãnh chúa từng hùng mạnh giờ đây phải lùi vào bóng tối dưới uy thế của bạn. Khi bạn đứng cao ngạo trong chiến thắng, hắn quỳ rạp dưới chân bạn, tay xiềng xích, quân lính của hắn đứng lẫn trong quân của bạn, nín thở chờ đợi lời phán quyết tiếp theo. Quân lính giờ đây coi hắn là kẻ yếu đuối và không còn đủ tư cách lãnh đạo, đây là cơ hội để bạn nắm quyền kiểm soát lực lượng và lãnh thổ của phe này, cũng như sự trung thành đầy nghi kỵ của những kẻ đi theo hắn.\\n\\nMặc dù sức hấp dẫn của đất đai có thể khiến lựa chọn này trở nên đơn giản, nhưng đừng để những thách thức mà một đế chế lớn hơn tạo ra vuột mất - có lẽ việc đơn giản là tiêu diệt kẻ này và để những gì còn lại của phe hắn tan biến vào hư vô sẽ là một kết thúc phù hợp hơn...	false
dilemmas_localised_description_wh2_dlc08_nor_confederate_generic_no_execution	Thủ lĩnh của {{CcoCampaignEventDilemma:FirstTargetFactionNameWithIcon}}, {{CcoCampaignEventDilemma:CharacterTargetName}}, đã bị đánh bại. Những kẻ đi theo hắn kinh hoàng chứng kiến niềm tin không lay chuyển vào thủ lĩnh của mình tan vỡ trong tích tắc, ngay cả huyền thoại này cũng không thể phủ nhận quyền tối thượng của bạn đối với tất cả người Norsca lúc này. Chắc chắn giờ là lúc để nắm quyền kiểm soát, sáp nhập lãnh địa của hắn vào của bạn, chiếm lấy tất cả những gì từng thuộc về hắn. Hoặc, bạn có thể thả hắn... như một lời sỉ nhục chẳng hạn, một sự dằn vặt vô tận cho kẻ thù này – lựa chọn thuộc về bạn.	false
dilemmas_localised_description_wh2_dlc09_agent_choice	Một Tomb Prince, Necrotect và Liche Priest bước vào phòng ngai vàng và đề nghị được phục vụ bạn...	false
dilemmas_localised_description_wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	Vận may của Tretch lại mỉm cười lần nữa. Vào ngày thứ ba cướp bóc các vùng nông thôn xung quanh, các Gutter Runner của hắn đã tóm gọn những sát thủ mà hắn đã phá hỏng âm mưu trước đó. Một kẻ bị giết khi kháng cự, nhưng kẻ còn lại bị khống chế, trói chặt như một con gà tây, và quăng xuống trước mặt Warlord.\\n\\nCuộc thẩm vấn nên tiến hành như thế nào?	false
dilemmas_localised_description_wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	Chẳng còn mấy hào quang quá khứ của thành phố này. Những công trình đổ nát và những hành lang hoang tàn giờ đây chỉ còn là nơi trú ngụ của những cơn gió sa mạc. Đặc vụ lùng sục các tàn tích, và cuối cùng tìm thấy lối vào của một lăng mộ lớn, với tên của Alcadizaar khó lòng đọc được trên gờ kiến trúc vĩ đại. Trước lăng mộ là xác của Lizardmen, lẫn lộn với những bộ xương mục nát. Máu và dịch vẫn còn ướt: cuộc giao tranh này mới xảy ra gần đây. Có lẽ trận chiến vẫn đang diễn ra bên trong? Đặc vụ có nên tiến vào lăng mộ và mạo hiểm trở thành một bên tham chiến? Hay nên thận trọng và nán lại bên ngoài để chờ đợi một dấu hiệu?	false
dilemmas_localised_description_wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	Cuộc đột kích đã thành công. Một tù trưởng man di, khoác lên mình những món đồ trang sức bằng vàng cổ và đá quý, bị lôi đến trước mặt Settra. Hắn to lớn hơn nhiều so với một con người bình thường và mang một bộ mặt càu nhàu hung hãn, nhưng Settra hả hê trước sự sợ hãi ẩn sau đôi mắt hắn. Linh hồn của sinh vật này đương nhiên là vật tế; Phakth đòi hỏi công lý vĩnh cửu, và Settra đòi hỏi phần của mình. Cách thức ra đi của con côn trùng này sẽ như thế nào?	false
dilemmas_localised_description_wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	Vận may của Tretch lại mỉm cười lần nữa. Vào ngày thứ ba cướp bóc các vùng nông thôn xung quanh, các Gutter Runner của hắn đã tóm gọn những sát thủ mà hắn đã phá hỏng âm mưu trước đó. Một kẻ bị giết khi kháng cự, nhưng kẻ còn lại bị khống chế, trói chặt như một con gà tây, và quăng xuống trước mặt Warlord.\\n\\nCuộc thẩm vấn nên tiến hành như thế nào?	false
dilemmas_localised_description_wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	Chẳng còn mấy hào quang quá khứ của thành phố này. Những công trình đổ nát và những hành lang hoang tàn giờ đây chỉ còn là nơi trú ngụ của những cơn gió sa mạc. Đặc vụ lùng sục các tàn tích, và cuối cùng tìm thấy lối vào của một lăng mộ lớn, với tên của Alcadizaar khó lòng đọc được trên gờ kiến trúc vĩ đại. Trước lăng mộ là xác của Lizardmen, lẫn lộn với những bộ xương mục nát. Máu và dịch vẫn còn ướt: cuộc giao tranh này mới xảy ra gần đây. Có lẽ trận chiến vẫn đang diễn ra bên trong? Đặc vụ có nên tiến vào lăng mộ và mạo hiểm trở thành một bên tham chiến? Hay nên thận trọng và nán lại bên ngoài để chờ đợi một dấu hiệu?	false
dilemmas_localised_description_wh2_dlc09_tmb_dilemma_almighty_monuments	Một đài kỷ niệm mới sẽ cho các vị thần thấy rằng việc tôn kính họ vẫn là mối bận tâm hàng đầu của chúng ta. Đổi lại, họ sẽ tiếp thêm sức mạnh cho chúng ta trong thời đại chiến tranh vô tận này. Nhưng nó nên được dành riêng cho vị thần nào trong điện thờ của chúng ta?	false
