key	text	tooltip
#Loc;1;text/db/campaign_statistics_strings__.loc		
campaign_statistics_strings_localised_description_agents_assassinated	Anh hùng bị ám sát:	false
campaign_statistics_strings_localised_description_agents_failed_actions	Hành động Anh hùng thất bại:	false
campaign_statistics_strings_localised_description_agents_lost	Anh hùng bị mất:	false
campaign_statistics_strings_localised_description_agents_recruited	Anh hùng đã chiêu mộ:	false
campaign_statistics_strings_localised_description_agents_successful_actions	Hành động Anh hùng thành công:	false
campaign_statistics_strings_localised_description_agents_total_actions	Tổng số hành động Anh hùng:	false
campaign_statistics_strings_localised_description_completed_missions	Nhiệm vụ đã hoàn thành:	false
campaign_statistics_strings_localised_description_current_turn	Lượt hiện tại:	false
campaign_statistics_strings_localised_description_diplomacy_allies_current	Đồng minh hiện tại:	false
campaign_statistics_strings_localised_description_diplomacy_allies_max	Số đồng minh nhiều nhất:	false
campaign_statistics_strings_localised_description_diplomacy_trade_current	Hiệp ước thương mại hiện tại:	false
campaign_statistics_strings_localised_description_diplomacy_trade_max	Số hiệp ước thương mại nhiều nhất:	false
campaign_statistics_strings_localised_description_diplomacy_war_current	Các cuộc chiến hiện tại:	false
campaign_statistics_strings_localised_description_diplomacy_war_max	Số cuộc chiến nhiều nhất:	false
campaign_statistics_strings_localised_description_diplomacy_war_total_declarations	Số lần tuyên chiến:	false
campaign_statistics_strings_localised_description_economy_expenditure_current	Chi tiêu hiện tại:	false
campaign_statistics_strings_localised_description_economy_expenditure_max	Chi tiêu cao nhất từ trước đến nay:	false
campaign_statistics_strings_localised_description_economy_expenditure_total	Tổng chi tiêu:	false
campaign_statistics_strings_localised_description_economy_expenditure_total_construction	Chi tiêu cho xây dựng:	false
campaign_statistics_strings_localised_description_economy_expenditure_total_recruitment	Chi tiêu cho chiêu mộ:	false
campaign_statistics_strings_localised_description_economy_expenditure_total_upkeep	Chi tiêu cho duy trì:	false
campaign_statistics_strings_localised_description_economy_income_current	Thu nhập hiện tại:	false
campaign_statistics_strings_localised_description_economy_income_max	Thu nhập cao nhất từ trước đến nay:	false
campaign_statistics_strings_localised_description_economy_income_total	Tổng thu nhập:	false
campaign_statistics_strings_localised_description_economy_income_total_foreign_slot_income	{{tr:statistics_economy_income_total_foreign_slot_income}}	false
campaign_statistics_strings_localised_description_economy_income_total_looting	Thu nhập từ cướp bóc/vơ vét:	false
campaign_statistics_strings_localised_description_economy_income_total_military_force_income	{{tr:statistics_economy_income_total_military_force_income}}	false
campaign_statistics_strings_localised_description_economy_income_total_raiding	Thu nhập từ cướp phá:	false
campaign_statistics_strings_localised_description_economy_income_total_tax	Thu nhập từ các công trình:	false
campaign_statistics_strings_localised_description_economy_income_total_trade	Thu nhập từ thương mại:	false
campaign_statistics_strings_localised_description_edicts_issued	Thánh chỉ đã ban bố:	false
campaign_statistics_strings_localised_description_empire_buildings_constructed	Công trình đã xây dựng:	false
campaign_statistics_strings_localised_description_empire_factions_client_vassal	Chư hầu đã thiết lập:	false
campaign_statistics_strings_localised_description_empire_factions_destroyed	Phe phái đã bị tiêu diệt:	false
campaign_statistics_strings_localised_description_empire_factions_encountered	Phe phái đã chạm trán:	false
campaign_statistics_strings_localised_description_empire_provinces_current	Số tỉnh hiện đang nắm giữ:	false
campaign_statistics_strings_localised_description_empire_provinces_max	Số tỉnh nắm giữ nhiều nhất:	false
campaign_statistics_strings_localised_description_empire_resources_total	Tổng số tài nguyên nắm giữ:	false
campaign_statistics_strings_localised_description_empire_resources_unique	Tài nguyên độc bản nắm giữ:	false
campaign_statistics_strings_localised_description_empire_settlements_captured	Khu định cư đã đánh chiếm:	false
campaign_statistics_strings_localised_description_empire_settlements_current	Số khu định cư hiện đang nắm giữ:	false
campaign_statistics_strings_localised_description_empire_settlements_lost	Khu định cư bị mất:	false
campaign_statistics_strings_localised_description_empire_settlements_max	Số khu định cư nắm giữ nhiều nhất:	false
campaign_statistics_strings_localised_description_empire_technologies_all	Công nghệ đã nghiên cứu:	false
campaign_statistics_strings_localised_description_establish_foreign_slot	{{tr:statistics_establish_foreign_slot}}	false
campaign_statistics_strings_localised_description_military_battles_ambush	Trận phục kích:	false
campaign_statistics_strings_localised_description_military_battles_autoresolved	Trận chiến giải quyết tự động:	false
campaign_statistics_strings_localised_description_military_battles_crushing_defeats	Thất bại thảm hại:	false
campaign_statistics_strings_localised_description_military_battles_defeats	Tổng số thất bại:	false
campaign_statistics_strings_localised_description_military_battles_defeats_ambush	Thất bại trong trận phục kích:	false
campaign_statistics_strings_localised_description_military_battles_defeats_land	Thất bại trong trận chiến trên bộ:	false
campaign_statistics_strings_localised_description_military_battles_defeats_settlement	Thất bại trong trận chiến tại khu định cư nhỏ:	false
campaign_statistics_strings_localised_description_military_battles_defeats_siege	Thất bại trong trận vây thành:	false
campaign_statistics_strings_localised_description_military_battles_defeats_subterranean_intercept	Thất bại khi bị chặn đánh dưới lòng đất:	false
campaign_statistics_strings_localised_description_military_battles_fought	Trận chiến tự trực tiếp chỉ huy:	false
campaign_statistics_strings_localised_description_military_battles_heroic_victories	Chiến thắng Anh hùng:	false
campaign_statistics_strings_localised_description_military_battles_land	Trận chiến trên bộ:	false
campaign_statistics_strings_localised_description_military_battles_settlement	Trận chiến tại khu định cư nhỏ:	false
campaign_statistics_strings_localised_description_military_battles_siege	Trận vây thành:	false
campaign_statistics_strings_localised_description_military_battles_subterranean_intercept	Trận chặn đánh dưới lòng đất:	false
campaign_statistics_strings_localised_description_military_battles_total	Tổng số trận chiến đã đánh:	false
campaign_statistics_strings_localised_description_military_battles_victories	Tổng số chiến thắng:	false
campaign_statistics_strings_localised_description_military_battles_victories_ambush	Chiến thắng trận phục kích:	false
campaign_statistics_strings_localised_description_military_battles_victories_land	Chiến thắng trận chiến trên bộ:	false
