key	text	tooltip
#Loc;1;text/db/campaign_decision_choices__.loc		
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_blood_money_first	Của cải giữ lại và đầu tư chắc chắn sẽ sinh lời. Đây là điều hợp lý khi tương lai không chắc chắn.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_blood_money_second	Đã đến lúc chiến đấu, lấy máu kẻ thù và nhuộm đỏ mặt tuyết.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_innovate_or_die_first	…bởi vì một tỉnh an toàn, tốt đẹp hơn rõ ràng là điều hợp lý, đúng không?	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_innovate_or_die_second	Tiếp nhận sự đổi mới, vì sự tồn vong của Kislev có thể phụ thuộc vào nó.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_judgement_first	Chỉ một người được ban cho sự kiên cường, dù cuối cùng tất cả đều phải trả giá.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_judgement_second	Bằng cách này, mọi cư dân đều được hưởng lợi và cảm thấy thị trấn được quản lý vì lợi ích của họ.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_kislev_still_needs_you_first	Nếu hệ thống phòng thủ vững vàng, người dân sẽ sống sót, và kẻ thù có thể sẽ chùn bước không dám quay lại.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_kislev_still_needs_you_second	Tiếp nhận sự đổi mới, vì sự tồn vong của Kislev có thể phụ thuộc vào nó.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_kislevian_coin_first	Rõ ràng với tất cả mọi người rằng có một bàn tay khôn ngoan đang cầm lái.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_kislevian_coin_second	…bởi vì bạn không bao giờ biết được khi nào tai họa sẽ giáng xuống.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_labour_shortage_first	Hãy chỉ mong đợi những điều tuyệt vời nhất. Bất cứ điều gì kém hơn đều là ngu ngốc và sẽ mời gọi sự diệt vong.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_labour_shortage_second	Ưu tiên xây dựng, vì một thị trấn lớn hơn sẽ thu hút kinh doanh và mang lại sự thịnh vượng lớn hơn.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_loyalties_proven_first	Thể hiện lòng trung thành với Tzarina chắc chắn là khôn ngoan và đúng đắn?	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_loyalties_proven_second	Các Patriarch có ảnh hưởng rất lớn trong nhân dân, bạn biết đấy…	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_loyalties_revealed_first	Cho phép các Frost Maiden tự do đi lại sẽ lấy được lòng Tzarina.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_loyalties_revealed_second	Lòng trung thành tuyệt đối với Great Orthodoxy đảm bảo họ sẽ giữ được sự ủng hộ của người dân.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_seeking_refuge_first	Những kẻ thờ phụng Dark Gods sẽ không được chứa chấp, vì chúng không được chào đón ở đây.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_seeking_refuge_second	Hãy mang theo kỹ năng, tiếng cười và vũ khí chiến đấu của bạn! Huzzah!	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_the_black_glove_first	Black Glove đã được gửi đi, vì vậy lính bộ binh sẽ được tập hợp.	false
campaign_decision_choices_localised_choice_label_wh3_main_campaign_decision_ataman_the_black_glove_second	Đừng bận tâm đến những gì Erengrad yêu cầu, những cân nhắc của địa phương phải được đặt lên hàng đầu.	false
