key	text	tooltip
#Loc;1;text/db/culture_settlement_occupation_options__.loc		
culture_settlement_occupation_options_tooltip_1017060144	Cướp bóc||Bạn không chiếm giữ khu định cư mà thay vào đó sẽ đánh cắp của cải và làm hư hại các công trình. Tất cả tù binh đều bị bắt làm nô lệ, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} bị giảm, và chủ sở hữu cũ sẽ bớt thiện cảm với bạn hơn.	false
culture_settlement_occupation_options_tooltip_1018	Khai khẩn||Cho quân đội của bạn định cư.	false
culture_settlement_occupation_options_tooltip_1023	Không làm gì||Giữ nguyên khu định cư như hiện tại.	false
culture_settlement_occupation_options_tooltip_1024	Cướp bóc & Chiếm đóng||Bạn thu được của cải từ việc cướp bóc, nhưng các công trình trong khu định cư sẽ bị hư hại. Tất cả tù binh đều bị bắt làm nô lệ, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} bị giảm đáng kể, và quan hệ ngoại giao của bạn với chủ sở hữu cũ cũng bị tổn hại nghiêm trọng.	false
culture_settlement_occupation_options_tooltip_1027	Chiếm đóng||{{tr:occupation_decision_occupy}}	false
culture_settlement_occupation_options_tooltip_1032	San phẳng||Mọi công trình đều bị phá hủy và khu định cư bị thiêu rụi. Chủ sở hữu cũ sẽ bớt thiện cảm với bạn hơn.	false
culture_settlement_occupation_options_tooltip_1033089891	Chiếm đóng||{{tr:occupation_decision_occupy}}	false
culture_settlement_occupation_options_tooltip_1034	Tái định cư||Khi hiện tại không có khu vực nào dưới sự kiểm soát của bạn, bạn có tùy chọn để quân đội của mình định cư tại đây.	false
culture_settlement_occupation_options_tooltip_1036	Cướp bóc||Bạn không chiếm giữ khu định cư mà thay vào đó sẽ đánh cắp của cải và làm hư hại các công trình. Tất cả tù binh đều bị bắt làm nô lệ, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} bị giảm, và chủ sở hữu cũ sẽ bớt thiện cảm với bạn hơn.	false
culture_settlement_occupation_options_tooltip_1036292950	Chiếm đóng||{{tr:occupation_decision_occupy}}	false
culture_settlement_occupation_options_tooltip_1036386017	Chiếm đóng||{{tr:occupation_decision_occupy}}	false
culture_settlement_occupation_options_tooltip_1040061951	San phẳng||Mọi công trình đều bị phá hủy và khu định cư bị thiêu rụi. Chủ sở hữu cũ sẽ bớt thiện cảm với bạn hơn.	false
