key	text	tooltip
#Loc;1;text/db/campaign_localised_strings__.loc		
campaign_localised_strings_string_MPC_cannot_construct_not_your_turn	[[col:red]]Bạn không thể xây dựng công trình khi đang đến lượt của phe khác.[[/col]]	false
campaign_localised_strings_string_abandoned_region_immune_occupation	Tàn Tích Không Khả Dụng	false
campaign_localised_strings_string_abandoned_region_rebel_faction_name	Tàn Tích	false
campaign_localised_strings_string_action_not_available_because_cooldown	Hành động này sẽ khả dụng sau khi thời gian hồi chiêu kết thúc.	false
campaign_localised_strings_string_active_caravans_label	Đoàn thương buôn đang hoạt động: %d/%d	false
campaign_localised_strings_string_additional_buildings_required	[[col:red]]Yêu cầu công trình bổ sung: %s[[/col]]	false
campaign_localised_strings_string_admiral_training_lock_reason_dedication	"Kích hoạt khả năng hiến tế Long Thuyền: ""%S"""	false
campaign_localised_strings_string_agent_action_embed_once	[[col:yellow]][[img:icon_hero]][[/img]]Anh Hùng này đã thực hiện hành động trong lượt này. Lệnh có thể được xếp hàng chờ và hành động sẽ được thực hiện vào lượt tiếp theo.[[/col]]	false
campaign_localised_strings_string_agent_action_queued	[[col:yellow]][[img:icon_hero]][[/img]]Anh Hùng này đã được giao một hành động để thực hiện trong lượt tương lai. Ra lệnh hành động khác sẽ hủy bỏ lệnh trước đó.[[/col]]	false
campaign_localised_strings_string_agent_building_not_available_no_settlement	[[col:red]]Bạn không sở hữu khu định cư nào trong tỉnh này có khả năng xây dựng công trình này. Nó có sẵn ở (các) khu định cư sau trong tỉnh:[[/col]]	false
campaign_localised_strings_string_agent_cap_reached_building_entry	\n[[img:ui/skins/default/bullet_point_white.png]][[/img]] %s	false
campaign_localised_strings_string_agent_cap_reached_tooltip	Số lượng [[img:icon_hero]][[/img]]Anh Hùng hiện tại/tối đa thuộc loại này||Xây dựng bất kỳ công trình nào sau đây để tăng số lượng tối đa có sẵn:\n%s	false
campaign_localised_strings_string_agent_daemon_progression_required	Yêu cầu Danh Vọng: [[img:%s]][[/img]]%d	false
campaign_localised_strings_string_agent_subtype_unavailable	\n\n{{tr:agent_subtype_unavailable}}	false
campaign_localised_strings_string_aislinn_lock_reason_colony	[[col:red]]Cần có một phần thưởng Asur Domination từ danh mục[[/col]] [[col:yellow]]Thuộc Địa[[/col]] [[col:red]]để có thể xây dựng công trình này[[/col]]	false
campaign_localised_strings_string_aislinn_lock_reason_dragonship	[[col:red]]Cần có một phần thưởng Asur Domination từ danh mục[[/col]] [[col:yellow]]Long Thuyền[[/col]] [[col:red]]để có thể xây dựng công trình này[[/col]]	false
campaign_localised_strings_string_aislinn_lock_reason_outpost	[[col:red]]Cần có một phần thưởng Asur Domination từ danh mục[[/col]] [[col:yellow]]Tiền Đồn[[/col]] [[col:red]]để có thể xây dựng công trình này[[/col]]	false
campaign_localised_strings_string_allied_buildings_hostile_slot_removal_required	{{tr:allied_buildings_hostile_slot_removal_required}}	false
campaign_localised_strings_string_allied_recruitment_cap_reached	[[col:red]]Đạo quân này đã đạt đến sức chứa đơn vị đồng minh tối đa.[[/col]]	false
campaign_localised_strings_string_allied_recruitment_favour_points	Lòng trung thành: %d	false
campaign_localised_strings_string_allied_recruitment_force_units	Đơn vị đồng minh trong đạo quân: %d/%d	false
campaign_localised_strings_string_allied_recruitment_outpost_level	Tiền Đồn cấp %d	false
campaign_localised_strings_string_allied_recruitment_source_string	Tuyển Mộ Đồng Minh	false
campaign_localised_strings_string_ancillary_banner_add_instruction	{{tr:ancillary_banner_add_instruction}}	false
campaign_localised_strings_string_ancillary_banner_remove_instruction	[[col:yellow]]Nhấp chuột trái để gỡ bỏ[[/col]]	false
campaign_localised_strings_string_ancillary_cannot_fuse_category	[[col:red]]Không thể dung hợp các vật phẩm đã chọn. Chỉ có thể dung hợp các vật phẩm ma thuật.[[/col]]	false
campaign_localised_strings_string_ancillary_cannot_fuse_different_category	[[col:red]]Không thể dung hợp các vật phẩm đã chọn. Chỉ có thể dung hợp các vật phẩm ma thuật cùng danh mục.[[/col]]	false
campaign_localised_strings_string_ancillary_cannot_fuse_different_rarity	[[col:red]]Không thể dung hợp các vật phẩm đã chọn. Chỉ có thể dung hợp các vật phẩm ma thuật cùng độ hiếm.[[/col]]	false
