key	text	tooltip
#Loc;1;text/db/campaign_areas_of_interest__.loc		
campaign_areas_of_interest_description_wh3_main_ancient_dragon_cave	Được biết đến đơn giản là Hang Động Cổ Long, đây từng là nơi trú ngụ của một Drake khét tiếng, được cho là đến từ Viễn Đông. Sinh vật này đã không được nhìn thấy trong hàng kiếp.	false
campaign_areas_of_interest_description_wh3_main_brazen_altar	Một tế đàn bằng đồng thau lởm chởm, chất đầy những hộp sọ bị tẩy trắng - một lễ vật xứng đáng dâng cho Khorne!	false
campaign_areas_of_interest_description_wh3_main_firemouth_volcano	Đứa con lai quái ác được cho là của Great Maw và Mặt Trời này, thứ thắp sáng bầu trời phía trên các Ogre Kingdoms bằng một màu đỏ rực lửa, bản thân nó cũng được tôn thờ như một vị thần bởi những kẻ đã chứng kiến những vụ phun trào khổng lồ của nó.	false
campaign_areas_of_interest_description_wh3_main_floating_chaos_island	Đó là những sức mạnh đang rung động xuyên qua Northern Wastes khiến vô số cảnh tượng kỳ lạ xuất hiện. Một bức tượng thần vĩ đại của các Dark Gods trôi nổi tự do phía trên mặt đất nứt nẻ hoàn toàn không phải là điều kỳ quặc nhất trong số đó.	false
campaign_areas_of_interest_description_wh3_main_golden_monolith	Khối cự thạch khổng lồ này liên tục bị vùi dập bởi những Cơn Gió của Chamon. Những người tìm kiếm kho báu đã tìm kiếm huyền thoại của nó nhưng họ đúng là những kẻ ngốc nếu nghĩ có thể chiếm đoạt nó.	false
campaign_areas_of_interest_description_wh3_main_grimmenhagen	Thị trấn có tường bao quanh khét tiếng Grimmenhagen đã bị Beastmen phá bỏ nhiều lần, nhưng lại được xây dựng lại bởi những người Middenlander ngoan cường. Khe núi mà nó nằm trên không chỉ là một tuyến đường chiến lược quan trọng tiến vào Middenland mà còn được cho là một con đường thú nổi bật, do đó rất nhiều warherd thường xuất hiện ở các bức tường của Grimmenhagen.	false
campaign_areas_of_interest_description_wh3_main_hel_fenn	Khi Warpshowers ập đến, khu đầm lầy bị nguyền rủa của Hel Fenn sục sôi và cuộn trào - phun ra những xác chết thối rữa được chôn cất bên cạnh nó trong những thế kỷ trước.	false
campaign_areas_of_interest_description_wh3_main_ice_caverns_of_ymirdrak	Frost Dragon cổ đại sống ở đây có hơi thở mạnh đến mức nó từng đóng băng cả một bộ tộc Ogre thành một khối băng duy nhất như sông băng.	false
campaign_areas_of_interest_description_wh3_main_ie_ancient_dragon_cave	Được biết đến đơn giản là Hang Động Cổ Long, đây từng là nơi trú ngụ của một Drake khét tiếng, được cho là đến từ Viễn Đông. Sinh vật này đã không được nhìn thấy trong hàng kiếp.	false
campaign_areas_of_interest_description_wh3_main_ie_barrier_idols	Những bức tượng thần rào chắn được dựng lên bởi những greenskin kỳ lạ sống trong Mountains of Mourn để ngăn cản 'lũ khốn dậm chân' - tức là các Ogre - ra ngoài!	false
campaign_areas_of_interest_description_wh3_main_ie_black_fire_pass	Con dao hai lưỡi của Đèo Black Fire từ lâu đã vừa là một khe hở trong lớp áo giáp của Empire vừa là huyết mạch sinh tử đối với các tuyến đường thương mại của họ. Những vách đá đen bóng vang vọng lịch sử của những chiến thắng ngoạn mục, cũng như những thất bại cay đắng.	false
campaign_areas_of_interest_description_wh3_main_ie_bloodpine_woods	Khi Goblin Shaman Raknik và các Forest Goblin của hắn gieo rắc tai họa cho Reikland từ sào huyệt của chúng trong Rừng Bloodpine, Karl Franz đã xuất quân cùng quân đội của mình và đánh bại hắn trong một trận chiến hỗn loạn, củng cố sự thống trị của mình nhưng cũng suýt mất mạng trong quá trình này.	false
campaign_areas_of_interest_description_wh3_main_ie_brazen_altar	Được dâng hiến cho Blood God, Tế Đàn Đồng là sào huyệt của Flesh Hound đáng sợ Simaergul, một trong những thú cưng được Khorne sủng ái.	false
campaign_areas_of_interest_description_wh3_main_ie_burial_ground_of_grudsnik	Waaagh! của Orc Warboss huyền thoại Grudsnik được biết đến là đã tàn phá xa đến tận Nehekhara cổ đại, những chiến lợi phẩm thu được giờ đây được chôn cất cùng với phần còn lại của hắn trong gò mả linh thiêng của mình.	false
campaign_areas_of_interest_description_wh3_main_ie_estalian_tomb	Di hài của các vị vua Estalia và đoàn tùy tùng hoàng gia của họ từng nằm yên bình trong lòng đất. Giờ đây, linh hồn của họ không được nghỉ ngơi, vì một Necromancer cơ hội luôn cần đến những chiến binh Undead vĩ đại nhất.	false
campaign_areas_of_interest_description_wh3_main_ie_firemouth_volcano	Đứa con lai quái ác được cho là của Great Maw và Mặt Trời này, thứ thắp sáng bầu trời phía trên các Ogre Kingdoms bằng một màu đỏ rực lửa, bản thân nó cũng được tôn thờ như một vị thần bởi những kẻ đã chứng kiến những vụ phun trào khổng lồ của nó.	false
campaign_areas_of_interest_description_wh3_main_ie_floating_chaos_island	Được tìm thấy trong bức màn của Chaos Realm, thời gian không có ý nghĩa gì ở đây. Các Daemon và người phàm chiến đấu cho một chiến thắng sẽ không bao giờ đến.	false
campaign_areas_of_interest_description_wh3_main_ie_glacial_lake	Krell, nhà vô địch Undead của Nagash, đã tàn phá hàng loạt thị trấn và ngôi làng cho đến khi cuối cùng bị đánh bại tại Hồ Sông Băng, nơi người ta nói rằng thi thể của hắn được chôn cất trong một ngôi mộ được xây dựng bằng phép thuật trong nỗ lực ngăn chặn sự trở lại của hắn.	false
campaign_areas_of_interest_description_wh3_main_ie_golden_monolith	Khối cự thạch khổng lồ này liên tục bị vùi dập bởi những Cơn Gió của Chamon. Những người tìm kiếm kho báu đã tìm kiếm huyền thoại của nó nhưng họ đúng là những kẻ ngốc nếu nghĩ có thể chiếm đoạt nó.	false
campaign_areas_of_interest_description_wh3_main_ie_gouger_gully	Một hố sâu bình thường trên mặt đất để lộ một tuyến đường Underway cũ thường bị giẫm đạp bởi Dwarfs, Greenskins và Skaven, và giờ đây là những nhân vật độc ác hơn cả Undead và Daemonic.	false
