key	text	tooltip
#Loc;1;text/db/character_trait_levels__.loc		
character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_1	Wakhaf đã đẩy lùi quân du mục và bảo vệ biên cương. Ông là một bậc thầy vô song trong chiến tranh sa mạc.	false
character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_2	Chinh phục các vùng đất bên kia những ngọn núi phía đông Nehekhara, Rakhash là người mang lại sự thịnh vượng to lớn.	false
character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_3	Con trai của Khetep chỉ cai trị trong thời gian ngắn trước khi qua đời, nhưng kiến thức về kỹ thuật và phát triển đô thị của ông là huyền thoại.	false
character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_4	Lahmizzash tiếp tục cuộc chiến chống lại Nagash, chiếm lại Khemri linh thiêng với sự hỗ trợ của các Ushabti hùng mạnh.	false
character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_5	Cai trị sau cuộc chiến với Nagash, Setep đã khôi phục Nghĩa Địa và Hội Tư Tế trở lại vinh quang trước đây.	false
character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_6	Vị vua chiến binh này không ai sánh kịp về chiến thuật chiến xa. Chỉ những đội quân tinh nhuệ nhất mới phục vụ dưới quyền ông - và tất nhiên, họ sẽ làm thế một lần nữa...	false
character_trait_levels_colour_text_wh2_dlc09_trait_benevolence	Cái gì? Nhân từ? Trắc ẩn? Thậm chí thấu cảm? Một Skaven? Có thật không? Chắc chắn đây là một mưu đồ?	false
character_trait_levels_colour_text_wh2_dlc09_trait_defeated_arkhan	Vua Liche có thể có tà thuật và sức mạnh của Đại Pháp Sư Chiêu Hồn, nhưng điều đó không phải lúc nào cũng đủ khi đối mặt với những hàng quân đông đảo và những lưỡi kiếm nặng nề.	false
character_trait_levels_colour_text_wh2_dlc09_trait_defeated_khalida	Nữ Vương Chiến Binh đã bị đánh bại một lần trước đây khi còn sống – một cái chết thảm khốc. Dù bà đã được cứu bởi sự ban phước của Nữ Thần Rắn Asp khi đó, chúng không thể cứu bà bây giờ.	false
character_trait_levels_colour_text_wh2_dlc09_trait_defeated_khatep	Người ta nói ông ta có thể ngăn chặn vòng tay lạnh lẽo của cái chết. Tôi thấy có rất ít bằng chứng về điều đó vào ngày hôm nay!	false
character_trait_levels_colour_text_wh2_dlc09_trait_defeated_settra	Hóa ra, Bất Tử cũng dễ chết như tất cả chúng ta thôi...	false
character_trait_levels_colour_text_wh2_dlc09_trait_defeated_settra_as_surtha	Đó không phải là chiến xa... *Đây* mới là chiến xa!	false
character_trait_levels_colour_text_wh2_dlc09_trait_defeated_surtha_as_settra	Và thế là một lãnh chúa Hỗn Mang hùng mạnh đã bị đánh bại, nằm ngoài sự giúp đỡ của các Hắc Thần mà hắn phụng sự.	false
character_trait_levels_colour_text_wh2_dlc09_trait_defeated_tretch	Quay lưng và bỏ chạy, dưới danh nghĩa quay lại với quân tiếp viện, chỉ là bỏ chạy – và là dấu hiệu của một kẻ hèn nhát.	false
character_trait_levels_colour_text_wh2_dlc09_trait_merciless	Các tôi tớ của Chuột Sừng Đại Đế hoàn toàn là những công cụ vô tri – lòng trắc ẩn, sự hối hận, sự tha thứ hoàn toàn xa lạ với bản tính của chúng.	false
character_trait_levels_colour_text_wh2_dlc09_trait_patience	Skaven không nổi tiếng về lòng kiên nhẫn – có lẽ là không khoan nhượng, không lay chuyển, không nhân nhượng và tàn nhẫn; kẻ này có thể là ngoại lệ, nhưng đó là vì hắn đang chơi một ván cờ dài hơi hơn nhiều...	false
character_trait_levels_colour_text_wh2_dlc09_trait_settra_title_1	Hãy quỳ xuống trước quyền năng của Settra Bất Tử, Khemrikhara, Chúa tể của Trái đất, Người nắm giữ Quyền trượng...	false
character_trait_levels_colour_text_wh2_dlc09_trait_settra_title_2	Hãy quỳ xuống trước quyền năng của Settra Bất Tử, Khemrikhara, Chúa tể của Trái đất, Người nắm giữ Quyền trượng, Đại Vương của Nehekhara, Thống trị của Bốn Phương trời, Quân chủ của Bầu trời, Sư tử Hùng mạnh của Sa mạc Vô tận...	false
character_trait_levels_colour_text_wh2_dlc09_trait_settra_title_3	Hãy quỳ xuống trước quyền năng của Settra Bất Tử, Khemrikhara, Chúa tể của Trái đất, Người nắm giữ Quyền trượng, Đại Vương của Nehekhara, Thống trị của Bốn Phương trời, Quân chủ của Bầu trời, Sư tử Hùng mạnh của Sa mạc Vô tận, Vua của các Vị Vua, Đại Ưng của Thiên giới, Hoàng Đế Uy Nghi của Cát Chuyển và Chủ Quyền Vĩnh Cửu của các Quân Đoàn Khemri.	false
character_trait_levels_colour_text_wh2_dlc09_trait_settra_title_start	Hãy quỳ xuống trước quyền năng của Settra Bất Tử...	false
