key	text	tooltip
#Loc;1;text/db/campaign_payload_ui_details__.loc		
campaign_payload_ui_details_description_add_mercenary_to_faction_pool	%1% (x%2%)	false
campaign_payload_ui_details_description_add_mercenary_to_province_pool	{{tr:add_mercenary_to_faction_pool}} %1% (x%2%)	false
campaign_payload_ui_details_description_add_province_development_point		false
campaign_payload_ui_details_description_add_unit	Thêm đơn vị: %1% (x%2%)	false
campaign_payload_ui_details_description_ambition_change		false
campaign_payload_ui_details_description_assign_character_to_post	Bổ nhiệm chức vụ: %1%, %2%	false
campaign_payload_ui_details_description_character_experience_change	Kinh nghiệm thưởng: %1% cho %2%	false
campaign_payload_ui_details_description_damage_buildings	Công trình bị hư hại	false
campaign_payload_ui_details_description_damage_buildings_home_region	Công trình bị hư hại	false
campaign_payload_ui_details_description_damage_character	Nhân vật bị thương	false
campaign_payload_ui_details_description_demolish_building_chain	Công trình bị phá hủy	false
campaign_payload_ui_details_description_diplomatic_attitude_change	Quan hệ ngoại giao: %+1% với %2%	false
campaign_payload_ui_details_description_dummy_ToL_points_bonus	Khu định cư này sẽ tạo ra thêm Điểm Chiến Thắng trong một khoảng thời gian	false
campaign_payload_ui_details_description_dummy_ToL_points_bonus_explainer	Phần thưởng này sẽ bị mất nếu chủ sở hữu của khu định cư thay đổi	false
campaign_payload_ui_details_description_dummy_aislinn_gift_war	"[[col:red]]{{CcoCampaignPayloadInfoEntry:StoredContextFromParent(""CcoCampaignEventDilemma"").FirstTargetFactionNameWithIcon}} tuyên chiến với {{CcoCampaignPayloadInfoEntry:StoredContextFromParent(""CcoCampaignEventDilemma"").SecondTargetFactionNameWithIcon}}[[/col]]"	false
campaign_payload_ui_details_description_dummy_all_character_increase_rank	Tất cả [[img:icon_general]][[/img]]Lãnh chúa và [[img:icon_hero]][[/img]]Anh hùng tăng 1 cấp	false
campaign_payload_ui_details_description_dummy_alliance_great_orthodoxy	Thành lập liên minh quân sự với Great Orthodoxy	false
campaign_payload_ui_details_description_dummy_alliance_ice_court	Thành lập liên minh quân sự với Ice Court	false
campaign_payload_ui_details_description_dummy_ariel_spawns	Đã chiêu mộ Anh hùng Huyền thoại: Ariel	false
campaign_payload_ui_details_description_dummy_asur_domination_dilemma_final_reward	[[col:white]]Lựa chọn này sẽ không còn xuất hiện trong các tình huống khó khăn trong tương lai sau khi được chọn[[/col]]	false
campaign_payload_ui_details_description_dummy_beorg_mission_stage_1	Những Người Gấu gia nhập bộ lạc của chúng ta, nhưng kẻ thù của chúng ta sẽ sớm có lý do lớn hơn để sợ hãi chúng ta...	false
campaign_payload_ui_details_description_dummy_blank		false
campaign_payload_ui_details_description_dummy_cabal_plan_1	Sau bao nhiêu thời gian, kế hoạch của Cabal cuối cùng cũng đã hoàn thành...	false
campaign_payload_ui_details_description_dummy_cabal_plan_2	...Các phe phái của Tzeentch đã nắm quyền kiểm soát toàn bộ thế giới!	false
campaign_payload_ui_details_description_dummy_cabal_power_grows_1	[[col:yellow]]Quyền năng của Cabal đã tăng lên vĩnh viễn...[[/col]]	false
campaign_payload_ui_details_description_dummy_cabal_power_grows_2	Cabal đã rời khỏi vùng đất của bạn	false
campaign_payload_ui_details_description_dummy_chaos_portal_corruption_spread	Mỗi tỉnh trên thế giới nhận +10 ảnh hưởng của Chaos Undivided	false
campaign_payload_ui_details_description_dummy_confederate_aquitaine	Thành lập liên bang với Aquitaine	false
campaign_payload_ui_details_description_dummy_confederate_artois	Thành lập liên bang với Artois	false
campaign_payload_ui_details_description_dummy_confederate_averland	Thành lập liên bang với Averland	false
campaign_payload_ui_details_description_dummy_confederate_bastonne	Thành lập liên bang với Bastonne	false
campaign_payload_ui_details_description_dummy_confederate_bordeleaux	Thành lập liên bang với Bordeleaux Errant	false
campaign_payload_ui_details_description_dummy_confederate_bretonnia	Thành lập liên bang với Bretonnia	false
campaign_payload_ui_details_description_dummy_confederate_carcassonne	Thành lập liên bang với Carcassonne	false
campaign_payload_ui_details_description_dummy_confederate_faction_argwylon	Bạn sẽ có cơ hội thành lập liên bang với phe của Argwylon	false
campaign_payload_ui_details_description_dummy_confederate_faction_bowmen	Bạn sẽ có cơ hội thành lập liên bang với the Bowmen of Oreon	false
campaign_payload_ui_details_description_dummy_confederate_faction_drycha	Bạn sẽ có cơ hội thành lập liên bang với Drycha's faction	false
campaign_payload_ui_details_description_dummy_confederate_faction_karak_hirn	Bạn sẽ có cơ hội thành lập liên bang với Karak Hirn	false
campaign_payload_ui_details_description_dummy_confederate_faction_karond_kar	Bạn sẽ có cơ hội thành lập liên bang với Karond Kar	false
campaign_payload_ui_details_description_dummy_confederate_faction_laurelorn	Bạn sẽ có cơ hội thành lập liên bang với phe của Laurelorn Forest	false
campaign_payload_ui_details_description_dummy_confederate_faction_shanlin	Bạn sẽ có cơ hội thành lập liên bang với phe của Spirits of Shanlin	false
campaign_payload_ui_details_description_dummy_confederate_faction_sisters	Bạn sẽ có cơ hội thành lập liên bang với the Sisters of Twilight	false
campaign_payload_ui_details_description_dummy_confederate_faction_talsyn	Bạn sẽ có cơ hội thành lập liên bang với phe của Talsyn	false
campaign_payload_ui_details_description_dummy_confederate_faction_torgovann	Bạn sẽ có cơ hội thành lập liên bang với phe của Torgovann	false
campaign_payload_ui_details_description_dummy_confederate_faction_wydrioth	Bạn sẽ có cơ hội thành lập liên bang với phe của Wydrioth	false
campaign_payload_ui_details_description_dummy_confederate_great_orthodoxy	Thành lập liên bang với the Great Orthodoxy	false
campaign_payload_ui_details_description_dummy_confederate_greenskin_boss_defeated	Thành lập liên bang với this Warboss' faction	false
campaign_payload_ui_details_description_dummy_confederate_hochland	Thành lập liên bang với Hochland	false
campaign_payload_ui_details_description_dummy_confederate_ice_court	Thành lập liên bang với the Ice Court	false
campaign_payload_ui_details_description_dummy_confederate_knights_of_origo	Thành lập liên bang với {{tr:factions_screen_name_wh2_main_brt_knights_of_origo}}	false
campaign_payload_ui_details_description_dummy_confederate_knights_of_the_flame	Thành lập liên bang với {{tr:factions_screen_name_wh2_main_brt_knights_of_the_flame}}	false
campaign_payload_ui_details_description_dummy_confederate_lyonesse	Thành lập liên bang với Lyonesse	false
campaign_payload_ui_details_description_dummy_confederate_middenland	Thành lập liên bang với Middenland	false
campaign_payload_ui_details_description_dummy_confederate_nordland	Thành lập liên bang với Nordland	false
campaign_payload_ui_details_description_dummy_confederate_norsca_chieftan_defeated	Thành lập liên bang với the chieftain's tribe	false
campaign_payload_ui_details_description_dummy_confederate_ogr_boss_defeated	Thành lập Liên bang với this Tyrant's faction	false
campaign_payload_ui_details_description_dummy_confederate_option_wh2_main_dwf_spine_of_sotek_dwarfs	Bạn sẽ nhận được cơ hội thành lập liên bang với Spine of Sotek Dwarfs	false
campaign_payload_ui_details_description_dummy_confederate_option_wh2_main_hef_caledor	Bạn sẽ nhận được cơ hội thành lập liên bang với Caledor	false
campaign_payload_ui_details_description_dummy_confederate_option_wh2_main_hef_saphery	Bạn sẽ nhận được cơ hội thành lập liên bang với Saphery and teleport to Ulthuan	false
campaign_payload_ui_details_description_dummy_confederate_option_wh_main_dwf_karak_azul	Bạn sẽ nhận được cơ hội thành lập liên bang với Karak Azul	false
campaign_payload_ui_details_description_dummy_confederate_ostermark	Thành lập liên bang với Ostermark	false
campaign_payload_ui_details_description_dummy_confederate_ostland	Thành lập liên bang với Ostland	false
campaign_payload_ui_details_description_dummy_confederate_parravon	Thành lập liên bang với Parravon	false
campaign_payload_ui_details_description_dummy_confederate_reikland	Thành lập liên bang với Reikland	false
campaign_payload_ui_details_description_dummy_confederate_stirland	Thành lập liên bang với Stirland	false
campaign_payload_ui_details_description_dummy_confederate_talabecland	Thành lập liên bang với Talabecland	false
campaign_payload_ui_details_description_dummy_confederate_wh2_dlc12_grn_leaf_cutterz_tribe	Thành lập liên bang với the Leaf Cutterz tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_dlc14_grn_red_cloud	Thành lập liên bang với the Red Cloud tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_dlc15_grn_bonerattlaz	Thành lập liên bang với the Bonerattlaz tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_dlc15_grn_broken_axe	Thành lập liên bang với the Broken Axe tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_dlc15_grn_skull_crag	Thành lập liên bang với the Skull Crag tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_dwf_spine_of_sotek_dwarfs	Thành lập liên bang với Spine of Sotek Dwarfs	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_grn_arachnos	Thành lập liên bang với the Arachnos tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_grn_blue_vipers	Thành lập liên bang với the Blue Vipers tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_hef_caledor	Thành lập liên bang với Caledor	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_hef_saphery	Thành lập liên bang với Saphery	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_nor_aghol	Thành lập liên bang với the Aghol tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_nor_mung	Thành lập liên bang với the Mung tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh2_main_nor_skeggi	Thành lập liên bang với the Skeggi tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh_dlc08_nor_goromadny_tribe	Thành lập liên bang với the Goromadny Tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh_dlc08_nor_helspire_tribe	Thành lập liên bang với the Helspire Tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh_dlc08_nor_naglfarlings	Thành lập liên bang với the Naglfarlings tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh_dlc08_nor_norsca	Thành lập liên bang với Norsca	false
campaign_payload_ui_details_description_dummy_confederate_wh_dlc08_nor_vanaheimlings	Thành lập liên bang với the Vanaheimlings tribe	false
campaign_payload_ui_details_description_dummy_confederate_wh_dlc08_nor_wintertooth	Thành lập liên bang với Wintertooth	false
campaign_payload_ui_details_description_dummy_confederate_wh_main_dwf_karak_azul	Thành lập liên bang với Karak Azul	false
campaign_payload_ui_details_description_dummy_confederate_wissenland	Thành lập liên bang với Wissenland	false
campaign_payload_ui_details_description_dummy_convoy_ambush_first	[[col:yellow]]Đánh trận và tiếp tục tiến lên[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_ambush_second	[[col:yellow]]Tránh trận chiến và làm tăng thời gian hành trình[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_cathay_caravan_first	[[col:yellow]]Đánh trận và nhận được hàng hóa khi chiến thắng[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_cathay_caravan_second	[[col:yellow]]Tránh trận chiến và tiếp tục di chuyển[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_dwarfs_first	[[col:yellow]]Đánh trận và nhận được hàng hóa khi chiến thắng[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_dwarfs_second	[[col:yellow]]Đánh trận và nhận được hàng hóa khi chiến thắng[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_far_from_home_first	[[col:yellow]]Đánh trận và nhận được tiền[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_far_from_home_second	[[col:yellow]]Tránh trận chiến và tiếp tục di chuyển[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_guide_first	[[col:yellow]]Tiếp tục hành trình[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_guide_second	[[col:yellow]]Dùng tiền để giảm thời gian hành trình[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_hobgoblin_first	[[col:yellow]]Nhận thêm đơn vị cho đội quân này[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_hobgoblin_second	[[col:yellow]]Nhận thêm lực lượng bổ sung cho tất cả đơn vị trong đội quân này[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_hungry_daemons_first	[[col:yellow]]Chiến đấu trận này[[/col]]	false
campaign_payload_ui_details_description_dummy_convoy_hungry_daemons_second	[[col:yellow]]Hy sinh một đơn vị để tránh trận chiến[[/col]]	false
