key	text	tooltip
#Loc;1;text/db/capture_point_types__.loc		
capture_point_types_description_a_default_capture_point	Tạo vé chiến thắng cho liên minh sở hữu.	false
capture_point_types_description_capture_point_gate_and_towers		false
capture_point_types_description_capture_point_gate_only		false
capture_point_types_description_capture_point_tower_only		false
capture_point_types_description_capture_point_towers		false
capture_point_types_description_capture_point_towers_barricades		false
capture_point_types_description_chd_surv_01		false
capture_point_types_description_chd_surv_02		false
capture_point_types_description_dae_shard_of_tzeentch	Tạo điểm 'Tri thức Cấm' dùng để nâng cấp kỹ năng quân đội	false
capture_point_types_description_dlc27_qb_hef_final_battle_cache		false
capture_point_types_description_dlc27_qb_hef_final_battle_docks		false
capture_point_types_description_dlc27_qb_sla_final_battle_thralls	Ma thuật Shugengan ngăn chặn sự lây lan của ô uế Slaanesh, cho phép các Nô lệ thoát khỏi cung điện	false
capture_point_types_description_domination_1		false
capture_point_types_description_domination_2		false
capture_point_types_description_domination_3		false
capture_point_types_description_forge_surv_01		false
capture_point_types_description_forge_surv_02		false
capture_point_types_description_forge_surv_03		false
capture_point_types_description_kho_surv_01		false
capture_point_types_description_kho_surv_02		false
capture_point_types_description_kho_surv_03		false
capture_point_types_description_major_key_building		false
capture_point_types_description_major_key_building_defence		false
capture_point_types_description_major_key_building_leadership		false
capture_point_types_description_major_key_building_magic		false
capture_point_types_description_major_key_building_melee		false
capture_point_types_description_major_key_building_missile		false
capture_point_types_description_major_key_building_movement		false
capture_point_types_description_major_key_building_replenishment		false
capture_point_types_description_major_point_supplies	Tạo vật phẩm tiếp tế và kiểm soát các cấu trúc phòng thủ cho liên minh sở hữu.	false
capture_point_types_description_minor_key_building	Tạo vật phẩm tiếp tế và kiểm soát các cấu trúc phòng thủ cho liên minh sở hữu.	false
capture_point_types_description_minor_key_building_defence		false
capture_point_types_description_minor_key_building_leadership		false
capture_point_types_description_minor_key_building_magic		false
capture_point_types_description_minor_key_building_melee		false
capture_point_types_description_minor_key_building_missile		false
capture_point_types_description_minor_key_building_movement		false
capture_point_types_description_minor_key_building_replenishment		false
