key	text	tooltip
#Loc;1;text/db/ancillary_sets__.loc		
ancillary_sets_description_wh3_cp1_ancillary_set_cth_tiger_past	Minh chứng cho vị thế của Bhashiva trong mắt Thiết Long.	false
ancillary_sets_description_wh3_dlc20_ancillary_set_chs_valkia	Giống như nhân dạng tà ác của bà ta, bộ sưu tập vũ khí của Gorequeen được rèn lại trong vương quốc của Khorne.	false
ancillary_sets_description_wh3_dlc23_ancillary_set_chd_bazheraks_doom	Bằng cách khoác lên mình những vật phẩm từng thuộc về vị castellan-commander huyền thoại, có lẽ chủ nhân mới của chúng cũng có thể đạt được mức độ khét tiếng tương tự?	false
ancillary_sets_description_wh3_dlc23_ancillary_set_chd_drazhoath	Chỉ huy tà ác, tham khát quyền lực của Quân đoàn Azgorh, Drazhoath là chủ nhân không thể bàn cãi của mọi thứ hắn nhắm tới.	false
ancillary_sets_description_wh3_dlc23_ancillary_set_chd_zhatan	Bất chấp sự cạnh tranh vô cùng khốc liệt, Chỉ huy của Tháp Zharr là một trong những kẻ tàn nhẫn và khao khát quyền lực nhất trong chủng tộc tà ác của hắn.	false
ancillary_sets_description_wh3_dlc24_ancillary_set_brt_fay_enchantress	Fay Enchantress là một ẩn số, và những y phục cô khoác lên mình cũng bí ẩn không kém.	false
ancillary_sets_description_wh3_dlc24_ancillary_set_chd_astragoth	Khoác lên mình bộ giáp trụ và cưỡi trên cỗ máy của mình, Astragoth kết hợp sức mạnh võ thuật được cường hóa với ma thuật hùng mạnh	false
ancillary_sets_description_wh3_dlc24_ancillary_set_cth_miao_ying	Thiên ân tô điểm và bảo vệ Tối cao Mẫu thần...	false
ancillary_sets_description_wh3_dlc24_ancillary_set_cth_yuan_bo	Đối với một số người, quản trị và hành quyết chỉ là hai mặt của một đồng xu...	false
ancillary_sets_description_wh3_dlc24_ancillary_set_cth_zhao_ming	Cho dù bằng Thiên ân hay phương thức giả kim, các Tỉnh phía Tây vẫn luôn đứng vững.	false
ancillary_sets_description_wh3_dlc24_ancillary_set_ksl_mother_ostankya	Những công cụ quyền năng khi kết hợp lại có thể bao bọc một phù thủy và các Nữ tu của bà ta bằng một lớp màn bảo vệ hắc ám...	false
ancillary_sets_description_wh3_dlc25_ancillary_set_dwf_malakai	Kỹ năng chế tạo vũ khí đáng gờm của Malakai Makaisson chỉ tốt bằng khả năng thực hiện chúng; may mắn thay, khoa học và Grungni luôn đứng về phía ông!	false
ancillary_sets_description_wh3_dlc25_ancillary_set_emp_bruckner	Trang bị xứng tầm với vị đao phủ chính thức của Nữ bá tước Emmanuelle.	false
ancillary_sets_description_wh3_dlc25_ancillary_set_emp_elspeth	Tất cả các loại thánh tích ma thuật hữu ích đã được Elspeth cất giữ qua nhiều, nhiều năm bà ta lang thang trong thế giới đầy rắc rối này.	false
ancillary_sets_description_wh3_dlc25_ancillary_set_emp_engineer	Sự khéo léo, thử nghiệm và kinh nghiệm... và không ít sự may mắn mù quáng!	false
ancillary_sets_description_wh3_dlc25_ancillary_set_neu_ulrika	Chính bằng những phương thức ma thuật này, và tất nhiên là cả khả năng chiến đấu đáng gờm của bản thân, Ulrika bảo vệ Kislev khỏi các thế lực hắc ám tột cùng.	false
ancillary_sets_description_wh3_dlc25_ancillary_set_nur_epidemius	Những biểu tượng của sự nhơ nhuốc này càng tiếp thêm sức mạnh cho Tallyman khi hắn thực hiện mệnh lệnh bẩn thỉu của Fly Lord.	false
ancillary_sets_description_wh3_dlc25_ancillary_set_nur_kayzk	Chỉ những đứa con của Urfather mới có thể thực sự trân trọng vô số ân sủng và phước lành màu nhiệm của Người.	false
ancillary_sets_description_wh3_dlc26_ancillary_set_grn_snagla	Snagla Grobspit đã chế tạo ra những vũ khí chết người này từ phần còn lại của con Nhện Arachnarok của bộ tộc Redvenom theo lệnh của chính Thần Nhện!	false
ancillary_sets_description_wh3_dlc27_ancillary_set_nor_pillaging	Những thánh tích của Hỗn Mang này đã bị phân tán khắp thế giới trần tục với hy vọng rằng chúng sẽ không bao giờ được nhìn thấy trên người một Quán quân Hỗn Mang nào nữa...	false
ancillary_sets_description_wh3_main_ancillary_set_brt_alberic	Thần Thủy triều ban tặng những món quà của mình cho thế giới, để những quán quân xứng đáng nhất sử dụng.	false
ancillary_sets_description_wh3_main_ancillary_set_brt_louen_leoncouer	Couronne là trái tim của hoàng gia Bretonnia, những vật gia truyền rực rỡ của nó là chìa khóa để phòng thủ.	false
ancillary_sets_description_wh3_main_ancillary_set_bst_khazrak	Gánh nặng của tội ác giết người hiển hiện rõ rệt trên một số vật phẩm, một số kẻ vui vẻ mang theo chúng hơn những kẻ khác.	false
ancillary_sets_description_wh3_main_ancillary_set_chs_archaon	Chỉ bằng cách giành được những thánh tích này, Everchosen mới có thể chứng minh mình là người mang phước lành của mỗi Thế lực Tàn lụi với mức độ ngang nhau.	false
ancillary_sets_description_wh3_main_ancillary_set_chs_prince_sigvald	Vẻ đẹp và ác tâm thường đi đôi với nhau.	false
ancillary_sets_description_wh3_main_ancillary_set_cth_nan_gau_sentinel	Lính canh của Nan-Gau được chọn để cầm cờ của thành phố.	false
ancillary_sets_description_wh3_main_ancillary_set_cth_shang_yang_elementalist	Được lựa chọn bởi các nhà giả kim của Shang-Yang, người sử dụng nguyên tố bảo vệ thành phố và tung bay lá cờ của nó.	false
ancillary_sets_description_wh3_main_ancillary_set_cth_the_celestial_champion	Thần thoại kể về một quán quân, được Long Đế ban phước.	false
ancillary_sets_description_wh3_main_ancillary_set_cth_tools_of_astromancy	Nghệ thuật chiêm tinh thực sự bắt nguồn từ Đại Cathay.	false
ancillary_sets_description_wh3_main_ancillary_set_def_crone_hellebron	Một lời nguyền máu và cái chết treo lơ lửng trên những thánh tích này.	false
ancillary_sets_description_wh3_main_ancillary_set_def_lokhir	Hóa ra, nước mặn chẳng làm được gì nhiều để tẩy sạch vết máu.	false
ancillary_sets_description_wh3_main_ancillary_set_def_malekith	Kho vũ khí hoàng gia của Naggaroth là nơi chứa đựng mọi loại công cụ độc ác và bùa chú hắc ám.	false
ancillary_sets_description_wh3_main_ancillary_set_def_morathi	Hắc Ma thuật chỉ dệt nên một bức tranh của sự đau khổ.	false
ancillary_sets_description_wh3_main_ancillary_set_def_rakarth	Sự thôi thúc hoang dã, man rợ chỉ có thể bị kìm hãm bởi những tâm hồn đen tối và tàn nhẫn nhất.	false
ancillary_sets_description_wh3_main_ancillary_set_dwf_belegar	Karak Eight Peaks đang chờ đợi người cai trị hợp pháp của nó — một người vẫn mang những biểu tượng về vinh quang của nó.	false
ancillary_sets_description_wh3_main_ancillary_set_dwf_grombrindal	Ngay cả những gì từng bị thất truyền trong truyền thuyết cũng không cần phải mãi mãi biến mất.	false
ancillary_sets_description_wh3_main_ancillary_set_dwf_thorek	Chỉ có Runelord vĩ đại nhất còn sống mới có vinh dự đóng ma thuật vào kim loại trên chiếc Anvil of Doom nổi tiếng.	false
ancillary_sets_description_wh3_main_ancillary_set_dwf_thorgrim_grudgebearer	Đại vương hợp nhất tất cả Dawi, chìm đắm trong vinh quang của Tổ tiên.	false
ancillary_sets_description_wh3_main_ancillary_set_dwf_ungrim_ironfist	Slayer King của Karak Kadrin luôn bảo vệ Dawi, thề sẽ đón nhận số phận của mình trong trận chiến vinh quang.	false
ancillary_sets_description_wh3_main_ancillary_set_emp_balthasar_gelt	Các Trường Ma thuật của Đế chế sở hữu nhiều vật phẩm tò mò mạnh mẽ, mỗi vật phẩm đều sủi bọt với năng lượng bí ẩn.	false
ancillary_sets_description_wh3_main_ancillary_set_emp_karl_franz	Những người thừa kế của Sigmar lãnh đạo Đế chế qua nhiều thời đại, mang trên mình những biểu tượng về vinh quang Đế chế.	false
ancillary_sets_description_wh3_main_ancillary_set_emp_volkmar	Các Chiến binh Tu sĩ của Sigmar theo chân Grand Theogonist ra trận, tập hợp quanh ấn chú của Griffon.	false
ancillary_sets_description_wh3_main_ancillary_set_grn_azhag_the_slaughterer	"Waaagh! Phép thuật và kim loại 'cứng' — làm cho tất cả những tên yếu ớt chết đẹp!"	false
