key	text	tooltip
#Loc;1;text/db/agent_subtypes__.loc		
agent_subtypes_description_text_override_wh2_dlc09_skv_tretch_craventail		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_arkhan		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_khalida		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_khatep		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_liche_priest_death	Không có gì ngạc nhiên khi một số Tư Tế Liche xuất sắc trong việc thao túng Luồng gió vùng Shyish, và vô song ở Ma thuật Tử thần.	false
agent_subtypes_description_text_override_wh2_dlc09_tmb_liche_priest_light	Nơi nào có bóng tối thì phải có ánh sáng. Và cũng như ngày nối tiếp đêm, có những kẻ trong Hội Tang Lễ rất thành thạo về ma thuật xua đuổi, và ma thuật trắng.	false
agent_subtypes_description_text_override_wh2_dlc09_tmb_liche_priest_nehekhara	Ma thuật Nehekhara được tạo ra bởi các Tư Tế Liche của Hội Tang Lễ trong hành trình tìm kiếm bí mật của sự bất tử.	false
agent_subtypes_description_text_override_wh2_dlc09_tmb_liche_priest_shadow	Trong bóng tối của những kim tự tháp vĩ đại, các Tư Tế Liche thực hành các nghệ thuật hắc ám của họ. Trong khi một số xuất sắc ở Ma thuật Tử thần, hoặc thậm chí là Ánh sáng, những người khác đã thuần hóa được Phantasmancy.	false
agent_subtypes_description_text_override_wh2_dlc09_tmb_necrotect		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_necrotect_ritual	Mục đích duy nhất của Necrotect này là dành cả phần Đời Bất Tử của mình để thuộc địa hóa một khu định cư đổ nát, một sức mạnh được ban cho hắn thông qua Nghi lễ Đại Khẩn Cầu của Ptra.	false
agent_subtypes_description_text_override_wh2_dlc09_tmb_settra		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_king		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_king_alkhazzar_ii		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_king_lahmizzash		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_king_rakhash		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_king_setep		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_king_thutep		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_king_wakhaf		false
agent_subtypes_description_text_override_wh2_dlc09_tmb_tomb_prince		false
agent_subtypes_description_text_override_wh2_dlc10_def_crone_hellebron		false
agent_subtypes_description_text_override_wh2_dlc10_def_mon_war_hydra_boss		false
agent_subtypes_description_text_override_wh2_dlc10_def_sorceress_beasts	Mặc dù thường là lĩnh vực của Clar Karond, có những Nữ Pháp Sư có thể sử dụng Luồng gió vùng Ghur cũng như bất kỳ cây roi nào.	false
agent_subtypes_description_text_override_wh2_dlc10_def_sorceress_death	Cái chết rình rập tất cả những kẻ đến với Ghrond, và những kẻ sử dụng sức mạnh của Shyish có kỹ năng hơn hầu hết những kẻ khác trong các nghệ thuật ma thuật sát nhân.	false
agent_subtypes_description_text_override_wh2_dlc10_def_supreme_sorceress_beasts	Một Nữ Đại Pháp sư không chỉ xuất sắc ở Ma thuật Hắc ám, mà còn cả khả năng kiểm soát và triệu hồi các loài thú - một nữ chủ nhân thực sự của Ghur.	false
agent_subtypes_description_text_override_wh2_dlc10_def_supreme_sorceress_dark	Các phép thuật được thi triển với 'Dhar', hay Ma thuật Hắc ám, là những phép thuật mang tính tàn phá nhất. Chúng được cung cấp sức mạnh bởi những Luồng gió Ma thuật chưa tinh chế, vì vậy cái giá phải trả đối với cả người thi triển và nạn nhân của chúng thực sự rất lớn.	false
agent_subtypes_description_text_override_wh2_dlc10_def_supreme_sorceress_death	Có kẻ gieo rắc cái chết nào vĩ đại hơn một Nữ Pháp Sư ở đỉnh cao quyền lực của bà ta không? Có lẽ là có... nhưng không ai sẽ có được niềm vui lớn như thế khi giải phóng nó.	false
agent_subtypes_description_text_override_wh2_dlc10_def_supreme_sorceress_fire	Trong khi hầu hết các Pháp sư Druchii sử dụng bóng tối trong ma thuật của họ, ngọn lửa từ thuật phóng hỏa lại rất sáng. Tuy nhiên, những kẻ ở Naggaroth sử dụng 'Aqshy' không nghĩ nó như ngọn lửa rực sáng, thay vào đó họ nhìn vào khói đen nghẹt thở luôn đi kèm với nó.	false
agent_subtypes_description_text_override_wh2_dlc10_def_supreme_sorceress_shadow	Hầu hết các Nữ Pháp sư vùng Ghrond lẩn khuất trong bóng tối tuyệt đối, nhưng có những kẻ vẫn bước gần đến ánh sáng, sử dụng ảo ảnh để thêu dệt những viễn cảnh tàn nhẫn và đánh lừa cả những loài thú săn mồi và con mồi, để chúng có được những linh hồn chúng khao khát.	false
agent_subtypes_description_text_override_wh2_dlc10_hef_alarielle		false
agent_subtypes_description_text_override_wh2_dlc10_hef_alith_anar		false
agent_subtypes_description_text_override_wh2_dlc10_hef_handmaiden	Không chỉ đơn thuần là những người hầu cận như tên gọi, mà là những chiến binh đáng kinh ngạc và là sứ giả của Vĩnh hằng Nữ vương, những người nhân danh quyền uy của bà trong mọi vấn đề.	false
agent_subtypes_description_text_override_wh2_dlc10_hef_mage_heavens	High Elf đã nghiên cứu bầu trời đêm rất lâu trước các nhà thiên văn học của Đế chế, và do đó có thể tự do thao túng Luồng gió vùng Azyr.	false
agent_subtypes_description_text_override_wh2_dlc10_hef_mage_shadows	Các Mage vùng Saphery xuất sắc ở mọi dạng ma thuật; các phép thuật của bóng tối và ảo ảnh cũng không ngoại lệ.	false
agent_subtypes_description_text_override_wh2_dlc10_hef_shadow_walker	Bên cạnh việc dẫn dắt các toán sát thủ chết chóc nhất của Nagarythe, Hand of the Shadow Crown còn xuất sắc trong các nhiệm vụ đơn độc, dù là phá hoại hay ám sát.	false
agent_subtypes_description_text_override_wh2_dlc10_lzd_mon_carnosaur_boss		false
agent_subtypes_description_text_override_wh2_dlc10_nor_phoenix_flamespyre_boss		false
agent_subtypes_description_text_override_wh2_dlc10_skv_mon_hell_pit_abomination_boss		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_death		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_deep		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_fem_death		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_fem_deep		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_fem_vampires		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_tech_01		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_tech_02		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_tech_03		false
agent_subtypes_description_text_override_wh2_dlc11_cst_admiral_tech_04		false
