key	text	tooltip
#Loc;1;text/db/battlefield_buildings_names__.loc		
battlefield_buildings_names_global_effects_description_arrow_tower		false
battlefield_buildings_names_global_effects_description_barricade_blocker		false
battlefield_buildings_names_global_effects_description_barricade_monument		false
battlefield_buildings_names_global_effects_description_barricade_platform		false
battlefield_buildings_names_global_effects_description_barricade_trap		false
battlefield_buildings_names_global_effects_description_bridge		false
battlefield_buildings_names_global_effects_description_building		false
battlefield_buildings_names_global_effects_description_fort_bastion		false
battlefield_buildings_names_global_effects_description_fort_tower		false
battlefield_buildings_names_global_effects_description_fort_wall		false
battlefield_buildings_names_global_effects_description_gate		false
battlefield_buildings_names_global_effects_description_gate_oil		false
battlefield_buildings_names_global_effects_description_house		false
battlefield_buildings_names_global_effects_description_key_building		false
battlefield_buildings_names_global_effects_description_key_building_aob_altar_of_battle		false
battlefield_buildings_names_global_effects_description_key_building_aob_mark_of_leader		false
battlefield_buildings_names_global_effects_description_key_building_aob_mark_of_sentinel		false
battlefield_buildings_names_global_effects_description_key_building_aob_mark_of_sorcerer		false
battlefield_buildings_names_global_effects_description_key_building_aob_mark_of_vanguard		false
battlefield_buildings_names_global_effects_description_key_building_chd_drill		false
battlefield_buildings_names_global_effects_description_key_building_chd_pumps		false
battlefield_buildings_names_global_effects_description_key_building_fos_bridge		false
battlefield_buildings_names_global_effects_description_key_building_fos_engine		false
battlefield_buildings_names_global_effects_description_key_building_fos_throne		false
battlefield_buildings_names_global_effects_description_key_building_kho_icon_of_blood	Công trình được rèn giũa bằng máu này dựa vào cơn thịnh nộ của Khorne để đẩy những kẻ thù đã mất nhuệ khí vào cơn điên loạn mù quáng.	false
battlefield_buildings_names_global_effects_description_key_building_kho_icon_of_ruin	Đài tưởng niệm Hủy Diệt này khai thác sức mạnh của Thần Huyết để đập tan giáp trụ của kẻ thù.	false
battlefield_buildings_names_global_effects_description_key_building_kho_icon_of_torment	Bùa chú phạm thượng này giáng xuống những kẻ thù đã suy yếu những đợt sóng đau đớn khủng khiếp, càng bào mòn thêm ý chí chiến đấu của chúng.	false
battlefield_buildings_names_global_effects_description_key_building_nur_sapping_tree		false
battlefield_buildings_names_global_effects_description_key_building_nur_seeping_tree		false
battlefield_buildings_names_global_effects_description_key_building_nur_stinging_tree		false
battlefield_buildings_names_global_effects_description_key_building_sla_scent_of_indolency		false
battlefield_buildings_names_global_effects_description_key_building_sla_scent_of_joy		false
battlefield_buildings_names_global_effects_description_key_building_sla_scent_of_vainglory		false
battlefield_buildings_names_global_effects_description_key_building_tze_burning_crystal		false
battlefield_buildings_names_global_effects_description_key_building_tze_deviating_crystal		false
battlefield_buildings_names_global_effects_description_key_building_tze_ever_climbing_crystal		false
battlefield_buildings_names_global_effects_description_magic_tower		false
battlefield_buildings_names_global_effects_description_rapid_tower		false
battlefield_buildings_names_global_effects_description_ruin		false
battlefield_buildings_names_global_effects_description_scorpio_tower		false
battlefield_buildings_names_global_effects_description_shard_of_tzeentch		false
battlefield_buildings_names_global_effects_description_siege_defender		false
battlefield_buildings_names_global_effects_description_sniper_tower		false
battlefield_buildings_names_global_effects_description_tower_anti_large		false
battlefield_buildings_names_global_effects_description_tower_anti_small		false
battlefield_buildings_names_global_effects_description_tower_arrow		false
battlefield_buildings_names_global_effects_description_tower_cannon		false
battlefield_buildings_names_global_effects_description_tower_catapult		false
battlefield_buildings_names_global_effects_description_tower_explosive		false
battlefield_buildings_names_global_effects_description_tower_magic		false
battlefield_buildings_names_global_effects_description_tower_piercing		false
battlefield_buildings_names_global_effects_description_watchtower		false
battlefield_buildings_names_global_effects_description_waystone		false
battlefield_buildings_names_local_effects_description_arrow_tower	Bắn tên vào kẻ thù ở gần	false
battlefield_buildings_names_local_effects_description_barricade_blocker	Chiến lũy này sẽ chặn đường tấn công của địch. Nó có lượng máu cao và cho phép bộ binh phòng thủ leo qua. 	false
battlefield_buildings_names_local_effects_description_barricade_monument	Chiến lũy này sẽ tăng cường sức mạnh cho quân phòng thủ di chuyển và chiến đấu trong phạm vi của nó.	false
battlefield_buildings_names_local_effects_description_barricade_platform	Chiến lũy này sẽ chặn đường tấn công của địch. Nó có thể neo đậu và cho phép bộ binh phòng thủ leo qua. 	false
