key	text	tooltip
#Loc;1;text/db/custom_battle_settings__.loc		
custom_battle_settings_name_ai_level_easy	Dễ	false
custom_battle_settings_name_ai_level_hard	Khó	false
custom_battle_settings_name_ai_level_normal	Bình thường	false
custom_battle_settings_name_ai_level_sandbox	Hộp cát	false
custom_battle_settings_name_ai_level_very_hard	Rất khó	false
custom_battle_settings_name_escalation_level_0	Không Leo thang	false
custom_battle_settings_name_escalation_level_1	Leo thang Thấp	false
custom_battle_settings_name_escalation_level_2	Leo thang Cao	false
custom_battle_settings_name_filter_all_funds	Tất cả Ngân quỹ	false
custom_battle_settings_name_funds_custom	Ngân quỹ Tùy chỉnh	false
custom_battle_settings_name_funds_large	Ngân quỹ Mặc định	false
custom_battle_settings_name_settlement_level_1	Khu định cư Cấp 1	false
custom_battle_settings_name_settlement_level_2	Khu định cư Cấp 2	false
custom_battle_settings_name_settlement_level_3	Khu định cư Cấp 3	false
custom_battle_settings_name_settlement_level_4	Khu định cư Cấp 4	false
custom_battle_settings_name_ticket_limit_0	250 Điểm	false
custom_battle_settings_name_ticket_limit_1	600 Điểm	false
custom_battle_settings_name_ticket_limit_2	1000 Điểm	false
custom_battle_settings_name_ticket_limit_3	1500 Điểm	false
custom_battle_settings_name_ticket_limit_4	2000 Điểm	false
custom_battle_settings_name_ticket_limit_5	2500 Điểm	false
custom_battle_settings_name_ticket_limit_custom	Tùy chỉnh	false
custom_battle_settings_name_time_limit_long	60 Phút	false
custom_battle_settings_name_time_limit_medium	40 Phút	false
custom_battle_settings_name_time_limit_short	20 Phút	false
custom_battle_settings_name_time_limit_unlimited	Thời gian Vô hạn	false
custom_battle_settings_name_time_of_day_day	Ban ngày	false
custom_battle_settings_name_time_of_day_night	Ban đêm	false
custom_battle_settings_name_unit_scale_large	Lớn	false
custom_battle_settings_name_unit_scale_normal	Vừa	false
custom_battle_settings_name_unit_scale_small	Nhỏ	false
custom_battle_settings_name_unit_scale_ultra	Tối đa	false
