key	text	tooltip
#Loc;1;text/db/campaign_map_tooltip_texts__.loc		
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_abandoned_major_region	Thủ phủ tỉnh đã bị phá hủy	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_abandoned_minor_region	Khu định cư nhỏ đã bị phá hủy	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_contested_sea_region_self	Việc bổ sung hoặc chiêu mộ chỉ diễn ra tại các cảng của bạn.	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_hostile_sea_region_self	Không thể bổ sung hoặc chiêu mộ.	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inscpect_must_break_blockade	Chuột trái để kiểm tra\\nPhải phá vỡ phong tỏa trước	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_must_break_siege	Chuột trái để chọn\\nPhải phá vỡ vòng vây trước	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_right_clk_move_to_coast	Chuột trái để kiểm tra\\nChuột phải để di chuyển tới điểm đổ bộ gần nhất	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_right_declare_war	Chuột phải để tuyên chiến\\nChuột trái để kiểm tra	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select	Chuột trái để chọn	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_inspection	Chuột trái để kiểm tra	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_must_break_blockade	Chuột trái để chọn\\nPhải phá vỡ phong tỏa trước	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_must_break_siege	Chuột trái để chọn\\nPhải phá vỡ vòng vây trước	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_right_clk_move_to_coast	Chuột trái để chọn\\nChuột phải để di chuyển tới điểm đổ bộ gần nhất	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_warning_port_occupied	Chuột trái để chọn\\nCảng đã bị chiếm đóng	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_allied_admiral	Hạm đội đồng minh	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_allied_agent	Hero đồng minh: %S	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_allied_general	Đạo quân đồng minh	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_allied_general_on_sea	Tàu vận tải đồng minh	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_allied_minor_settlement	Khu định cư nhỏ của đồng minh	false
