key	text	tooltip
#Loc;1;text/db/campaign_statistics_categories__.loc		
campaign_statistics_categories_localised_description_stat_cat_agents_actions	Hành động Anh hùng	false
campaign_statistics_categories_localised_description_stat_cat_agents_breaker	 	false
campaign_statistics_categories_localised_description_stat_cat_agents_general	Anh hùng	false
campaign_statistics_categories_localised_description_stat_cat_battles_aftermath	Hậu chiến	false
campaign_statistics_categories_localised_description_stat_cat_battles_breaker	 	false
campaign_statistics_categories_localised_description_stat_cat_battles_defeats	Thất bại	false
campaign_statistics_categories_localised_description_stat_cat_battles_general	Trận chiến	false
campaign_statistics_categories_localised_description_stat_cat_battles_victories	Chiến thắng	false
campaign_statistics_categories_localised_description_stat_cat_diplomacy	Ngoại giao	false
campaign_statistics_categories_localised_description_stat_cat_economy_breaker	 	false
campaign_statistics_categories_localised_description_stat_cat_economy_expenditure	Chi tiêu	false
campaign_statistics_categories_localised_description_stat_cat_economy_income	Thu nhập	false
campaign_statistics_categories_localised_description_stat_cat_empire	Phe phái	false
campaign_statistics_categories_localised_description_stat_cat_empire_breaker	 	false
campaign_statistics_categories_localised_description_stat_cat_general	Tiến trình	false
campaign_statistics_categories_localised_description_stat_cat_general_breaker	 	false
campaign_statistics_categories_localised_description_stat_cat_military_breaker	 	false
campaign_statistics_categories_localised_description_stat_cat_military_forces	Quân đội	false
campaign_statistics_categories_localised_description_stat_cat_military_units	Đơn vị	false
