key	text	tooltip
#Loc;1;text/db/custom_loading_screen_components__.loc		
custom_loading_screen_components_localised_text_wh2_dlc09_skv_clan_rictus_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc09_skv_clan_rictus_gccustom_quote	{{tr:ie_loading_screen_theatre_dark_lands}}	false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_exiles_of_nehek_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_exiles_of_nehek_gccustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_followers_of_nagash_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_followers_of_nagash_gccustom_quote	{{tr:ie_loading_screen_theatre_nehekhara}}	false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_khemri_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_khemri_gccustom_quote	{{tr:ie_loading_screen_theatre_nehekhara}}	false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_lybaras_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc09_tmb_lybaras_gccustom_quote	{{tr:ie_loading_screen_theatre_southlands}}	false
custom_loading_screen_components_localised_text_wh2_dlc10_def_hellebron_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc10_def_hellebron_gccustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh2_dlc10_hef_alarielle_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc10_hef_alarielle_gccustom_quote	{{tr:ie_loading_screen_theatre_ulthuan}}	false
custom_loading_screen_components_localised_text_wh2_dlc10_hef_alith_anar_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc10_hef_alith_anar_gccustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_aranessa_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_aranessa_gccustom_quote	{{tr:ie_loading_screen_theatre_border_princes}}	false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_cylostra_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_cylostra_gccustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_harkon_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_harkon_gccustom_quote	{{tr:ie_loading_screen_theatre_lustria}}	false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_noctilus_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc11_cst_noctilus_gccustom_quote	{{tr:ie_loading_screen_theatre_ulthuan}}	false
custom_loading_screen_components_localised_text_wh2_dlc11_def_lokhir_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc11_def_lokhir_gccustom_quote	{{tr:ie_loading_screen_theatre_cathay_north}}	false
custom_loading_screen_components_localised_text_wh2_dlc12_lzd_tehenhauin_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc12_lzd_tehenhauin_gccustom_quote	{{tr:ie_loading_screen_theatre_lustria}}	false
custom_loading_screen_components_localised_text_wh2_dlc12_lzd_tiktaqto_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc12_lzd_tiktaqto_gccustom_quote	{{tr:ie_loading_screen_theatre_southlands}}	false
custom_loading_screen_components_localised_text_wh2_dlc12_skv_ikit_claw_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc12_skv_ikit_claw_gccustom_quote	{{tr:ie_loading_screen_theatre_border_princes}}	false
custom_loading_screen_components_localised_text_wh2_dlc13_emp_markus_wulfhart_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc13_emp_markus_wulfhart_gccustom_quote	{{tr:ie_loading_screen_theatre_lustria}}	false
custom_loading_screen_components_localised_text_wh2_dlc13_lzd_gor_rok_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc13_lzd_gor_rok_gccustom_quote	{{tr:ie_loading_screen_theatre_lustria}}	false
custom_loading_screen_components_localised_text_wh2_dlc13_lzd_nakai_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc13_lzd_nakai_gccustom_quote	{{tr:ie_loading_screen_theatre_cathay_south}}	false
custom_loading_screen_components_localised_text_wh2_dlc14_brt_repanse_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc14_brt_repanse_gccustom_quote	{{tr:ie_loading_screen_theatre_nehekhara}}	false
custom_loading_screen_components_localised_text_wh2_dlc14_def_malus_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc14_def_malus_gccustom_quote	{{tr:ie_loading_screen_theatre_chaos_wastes_north}}	false
custom_loading_screen_components_localised_text_wh2_dlc14_skv_snikch_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc14_skv_snikch_gccustom_quote	{{tr:ie_loading_screen_theatre_cathay_north}}	false
custom_loading_screen_components_localised_text_wh2_dlc15_grn_grom_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc15_grn_grom_gccustom_quote	{{tr:ie_loading_screen_theatre_bretonnia}}	false
custom_loading_screen_components_localised_text_wh2_dlc15_hef_eltharion_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc15_hef_eltharion_gccustom_quote	{{tr:ie_loading_screen_theatre_badlands}}	false
custom_loading_screen_components_localised_text_wh2_dlc15_hef_imrik_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc15_hef_imrik_gccustom_quote	{{tr:ie_loading_screen_theatre_dark_lands}}	false
custom_loading_screen_components_localised_text_wh2_dlc16_skv_throt_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc16_skv_throt_gccustom_quote	{{tr:ie_loading_screen_theatre_norsca_and_kislev}}	false
custom_loading_screen_components_localised_text_wh2_dlc16_wef_drycha_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc16_wef_drycha_gccustom_quote	{{tr:ie_loading_screen_theatre_empire}}	false
custom_loading_screen_components_localised_text_wh2_dlc16_wef_sisters_gcbackground		false
custom_loading_screen_components_localised_text_wh2_dlc16_wef_sisters_gccustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh2_dlc17_bst_taurox_mebackground		false
custom_loading_screen_components_localised_text_wh2_dlc17_bst_taurox_mecustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh2_dlc17_dwf_thorek_mebackground		false
custom_loading_screen_components_localised_text_wh2_dlc17_dwf_thorek_mecustom_quote	{{tr:ie_loading_screen_theatre_southlands}}	false
custom_loading_screen_components_localised_text_wh2_dlc17_lzd_oxyotl_mebackground		false
custom_loading_screen_components_localised_text_wh2_dlc17_lzd_oxyotl_mecustom_quote	{{tr:ie_loading_screen_theatre_chaos_wastes_south}}	false
custom_loading_screen_components_localised_text_wh2_main_def_malekith_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_def_malekith_gccustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh2_main_def_morathi_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_def_morathi_gccustom_quote	{{tr:ie_loading_screen_theatre_isthmus}}	false
custom_loading_screen_components_localised_text_wh2_main_hef_teclis_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_hef_teclis_gccustom_quote	{{tr:ie_loading_screen_theatre_southlands}}	false
custom_loading_screen_components_localised_text_wh2_main_hef_tyrion_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_hef_tyrion_gccustom_quote	{{tr:ie_loading_screen_theatre_ulthuan}}	false
custom_loading_screen_components_localised_text_wh2_main_lzd_hexoatl_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_lzd_hexoatl_gccustom_quote	{{tr:ie_loading_screen_theatre_isthmus}}	false
custom_loading_screen_components_localised_text_wh2_main_lzd_last_defenders_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_lzd_last_defenders_gccustom_quote	{{tr:ie_loading_screen_theatre_southlands}}	false
custom_loading_screen_components_localised_text_wh2_main_skv_clan_mors_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_skv_clan_mors_gccustom_quote	{{tr:ie_loading_screen_theatre_dwarfholds}}	false
custom_loading_screen_components_localised_text_wh2_main_skv_clan_pestilens_gcbackground		false
custom_loading_screen_components_localised_text_wh2_main_skv_clan_pestilens_gccustom_quote	{{tr:ie_loading_screen_theatre_lustria}}	false
custom_loading_screen_components_localised_text_wh2_twa03_def_rakarth_gcbackground		false
custom_loading_screen_components_localised_text_wh2_twa03_def_rakarth_gccustom_quote	{{tr:ie_loading_screen_theatre_lustria}}	false
custom_loading_screen_components_localised_text_wh3_cp1_cth_tiger_warriors_gcbackground		false
custom_loading_screen_components_localised_text_wh3_cp1_cth_tiger_warriors_gccustom_quote	{{tr:ui_text_replacements_localised_text_ie_loading_screen_theatre_ivory_road}}	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_azazel_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_azazel_gccustom_quote	{{tr:ie_loading_screen_theatre_norsca_and_kislev}}	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_azazelbackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_azazelcustom_quote	Người ta nói rằng vẻ đẹp của Azazel chỉ đứng sau chính Slaanesh, và những ai nhìn vào hắn đều không thể phủ nhận những tuyên bố đó. Khi Hoàng tử Đọa đày rình rập ở cõi trần, sự xuất hiện của hắn được chào đón bởi sự phô trương thông thường mà hắn đã quen thuộc, những kẻ man di của Thảo nguyên quỳ rạp dưới chân hắn khi họ than khóc và tuyên bố lòng trung thành cũng như tình yêu của họ. Tuy nhiên, lần này thế giới phải lưu tâm, vì sự xuất hiện của quái vật bóng tối là một điềm báo kinh khủng nhất. Sâu thẳm trong tâm trí của ba Thế lực kia luôn ẩn chứa sự nghi ngờ rằng một ngày nào đó tầm ảnh hưởng của Slaanesh có thể làm lu mờ tất cả. Bởi sức mạnh của Quân đoàn Khoái lạc của Ngài, ngày đó đã cận kề.	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_festus_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_festus_gccustom_quote	{{tr:ie_loading_screen_theatre_empire}}	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_festusbackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_festuscustom_quote	Kể từ ngày trí tuệ phàm trần rực rỡ của Bác sĩ Festus phải chịu sự thức tỉnh kinh hoàng, những biến chuyển của số phận thường xoay chuyển theo hướng có lợi cho hắn. Chúa tể Đỉa chưa bao giờ hạnh phúc hơn khi gieo mầm bệnh tật của Nurgle khắp thế giới, ép những kẻ bất hạnh đi lạc vào con đường của hắn uống những hỗn hợp thí nghiệm đê tiện của mình. Tuy nhiên, chẳng mấy chốc sẽ là bình minh của một cơ hội lớn hơn nhiều để lây nhiễm hàng loạt; sự giải phóng của một sức mạnh bóng tối lớn đến mức chính các vị Thần cũng sẽ thèm khát. Một phương tiện để Bác sĩ và Đấng Bảo hộ của mình gieo rắc sự sống – và cái chết – không giới hạn vào cõi vật chất trên một quy mô không thể tưởng tượng nổi.	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_valkia_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_valkia_gccustom_quote	{{tr:ie_loading_screen_theatre_naggaroth}}	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_valkiabackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_valkiacustom_quote	Biên niên sử ghi lại nhiều lần xuất hiện của Valkia Đẫm máu trên thế giới, sự xuất hiện của bà luôn đi kèm với nỗi sợ hãi nhưng cũng là sự tôn kính từ những tín đồ trung thành của Huyết Thần, những người tôn thờ bà như một vị thần. Và giờ đây, Chính thê của Khorne lại đến để tàn phá cõi trần một lần nữa, lần này sự xuất hiện của bà đã được các pháp sư bộ lạc dự đoán từ nhiều năm trước, với những hình khắc mang tính biểu tượng và nguyên thủy của nữ hoàng chiến binh có cánh đã từ lâu tô điểm cho các bức tường của các hang động ẩn sĩ khắp phương bắc. Khi thế giới chao đảo bên bờ vực của những sự kiện mang tính thời đại, sự khát máu của Khorne lại lên đến đỉnh điểm một lần nữa, những ý muốn bạo lực của Ngài, như mọi khi, sẽ được phục vụ một cách vô điều kiện bởi Nữ hoàng Máu không ai sánh kịp.	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_vilitch_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_vilitch_gccustom_quote	{{tr:ie_loading_screen_theatre_cathay_north}}	false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_vilitchbackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_chs_vilitchcustom_quote	Mục đích thực sự của những kẻ phục vụ trong các mưu đồ của Tzeentch là gì? Câu trả lời lẩn tránh Vilitch kẻ Bị nguyền rủa không kém gì những con rối khác của Chủ nhân hắn. Được chính Kẻ Phản trắc vĩ đại công nhận từ lâu là một đặc vụ của sự Thay đổi đáng kinh ngạc một cách kinh khủng, sinh vật đáng lo ngại được gọi là Cặp đôi Biến dạng hành động với ý đồ không thể hiểu thấu, dẫn dắt đội quân cứng cỏi của mình đi qua những con đường chiến tranh của sự vô kỷ luật, hỗn loạn và cái chết. Khi số phận của một vị thần thấp kém dần đi đến hồi kết, tên Phù thủy lùn này sẽ sớm chuyển sự chú ý trở lại phương bắc, nơi có thứ gì đó cổ xưa và mạnh mẽ đang sục sôi sâu trong Thảo nguyên. Quan trọng nhất, một cơ hội hiếm có để giành được sự ưu ái trong mắt chủ nhân và có lẽ sẽ không bao giờ bị bỏ rơi nữa…	false
custom_loading_screen_components_localised_text_wh3_dlc20_survival_altar_of_battle_outrobackground		false
custom_loading_screen_components_localised_text_wh3_dlc20_survival_altar_of_battle_outrocustom_quote	Một nhà vô địch trỗi dậy, đứng đầu trong các đạo quân Hủy diệt! Với tất cả những kẻ thách thức bị đánh bại, và linh hồn của Zanbaijin đã bị chiếm giữ, một hình mẫu thực sự của Chaos đã xuất hiện. Chắc chắn giờ đây không có thế lực nào trong bất kỳ cõi nào có khả năng ngăn cản con đường dẫn đến sự thống trị hoàn toàn! Toàn bộ cõi trần sẽ sớm run rẩy trong nỗi kinh hoàng tột độ, vì nơi nào nhà vô địch vĩnh cửu của Bàn thờ Chiến trận đi qua, một di sản của sự hủy diệt thuần túy chắc chắn sẽ theo sát phía sau...	false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_astragoth_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_astragoth_gccustom_quote	{{tr:ie_loading_screen_theatre_dark_lands}}	false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_astragothbackground		false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_astragothcustom_quote	Cái tên Astragoth Ironhand là một huyền thoại trong số các Dhrath-Zharr, những môn đồ quyền năng, trung thành và nhiệt thành của Hashut. Nhưng đó là chuyện của nhiều năm trước, và sự khắc nghiệt của thời gian cùng Ma thuật Hắc ám đã làm cứng các chi của Phù thủy-Tiên tri cho đến khi chúng biến thành đá. Không cam chịu trở thành một bức tượng, hắn đã rèn một bộ áo giáp máy móc để tiếp tục công việc của mình.\\n\\nĐược mang đi bởi những thiết kế và trí tuệ đen tối của chính mình, Astragoth Ironhand giờ đây đi lại tự do, dựa vào khoa học và cấu trúc vặn vẹo của chính mình để vận chuyển bản thân.\\n\\nNhững kẻ mới nổi giờ đây có thể coi hắn là một hóa thạch, một tàn dư bị vùi lấp trong đá và đã qua thời hoàng kim, nhưng thời gian của Astragoth vẫn chưa kết thúc! Tuổi tác và sự hóa đá chỉ là những trở ngại cần vượt qua, và với Dòng máu Hashut huyền thoại, sự thống trị này sẽ được đảm bảo!	false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_legion_of_azgorh_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_legion_of_azgorh_gccustom_quote	{{tr:ie_loading_screen_theatre_dark_lands}}	false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_legion_of_azgorhbackground		false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_legion_of_azgorhcustom_quote	Thời trẻ, thợ rèn ác quỷ đáng sợ Drazhoath đã mất đi sự ưu ái trong số các Phù thủy-Tiên tri, một nạn nhân của nền chính trị tàn bạo của Zharr-Naggrund. Vì điều này, hắn đã bị trục xuất khỏi trung tâm đế chế Chaos Dwarf đến Pháo đài Đen, ở vùng xa xôi phía nam của Núi Sầu Muộn.\\n\\nDrazhoath kể từ đó đã trỗi dậy để trở thành Chúa tể của Pháo đài Đen và Chỉ huy của Quân đoàn Azgorh từ pháo đài biên giới của mình gần bờ sông Ruin hùng vĩ. Nhìn lại Tháp Lửa, hắn tìm cách trả thù những kẻ đã trục xuất mình.\\n\\nMột phương thức để Drazhoath kẻ Tro tàn trở về nhà giờ đây đã xuất hiện, không phải với tư cách là một kẻ hành hương hối lỗi, mà là Chúa tể chính đáng và tàn bạo không thể chối cãi của Zharr-Naggrund.	false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_zhatan_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_zhatan_gccustom_quote	{{tr:ie_loading_screen_theatre_cathay_north}}	false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_zhatanbackground		false
custom_loading_screen_components_localised_text_wh3_dlc23_chd_zhatancustom_quote	Ghorth kẻ Độc ác, Phù thủy-Tiên tri của Zharr-Naggrund, đòi hỏi rất nhiều từ các tướng lĩnh của mình. Những lao dịch mới được yêu cầu hàng ngày để đáp ứng các yêu cầu khắc nghiệt của các lò rèn khổng lồ của Chaos Dwarf. Không có Dhrath-Zharr nào chấp nhận nhiệm vụ này một cách vui vẻ hơn, hay với niềm vui đen tối, thậm chí độc ác hơn Zhatan đen tối, Chỉ huy của Tháp Zharr.\\n\\nMột lời kêu gọi từ Ghorth về việc thu hoạch thậm chí còn lớn hơn đã đến tai Zhatan; những lời đồn thổi về một dự án mới được nghe thấy. Thách thức được chào đón: những vùng đất mới sẽ bị chinh phục vì vinh quang của Hashut và Ghorth, và những kẻ yếu đuối chắc chắn sẽ bị thu phục.\\n\\nTiếng hét của những kẻ yếu đuối sẽ vang vọng khắp các lò rèn, và những tiếng cười sảng khoái của Zhatan sẽ vang lên to hơn bao giờ hết!	false
custom_loading_screen_components_localised_text_wh3_dlc24_cth_the_celestial_court_gcbackground		false
custom_loading_screen_components_localised_text_wh3_dlc24_cth_the_celestial_court_gccustom_quote	{{tr:ie_loading_screen_theatre_isthmus}}	false
custom_loading_screen_components_localised_text_wh3_dlc24_cth_the_celestial_courtbackground		false
