key	text	tooltip
#Loc;1;text/db/cooking_ingredient_groups__.loc		
cooking_ingredient_groups_display_name_wh2_dlc15_animals	Mẩu Thú Vật	false
cooking_ingredient_groups_display_name_wh2_dlc15_birds	Đồ Bay Lượn	false
cooking_ingredient_groups_display_name_wh2_dlc15_fishes	Miếng Cá	false
cooking_ingredient_groups_display_name_wh2_dlc15_mushrooms	Bào Tử 'n' Nấm	false
cooking_ingredient_groups_display_name_wh2_dlc15_slimes	Thứ Nhớp Nháp	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_bones	Xương	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_horns	Sừng	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_skulls	Sọ	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_stone	Đá	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_teeth	Răng	false
cooking_ingredient_groups_display_name_wh3_dlc24_ingredient_group_wood	Gỗ	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_animals	[[col:yellow]]Đủ thứ loại thịt từ lũ thú trên cạn[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_birds	[[col:yellow]]Một đống mấy cái bộ phận của tụi bay trên trời[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_fishes	[[col:yellow]]Đủ thứ loại đồ biển lượm lặt được[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_mushrooms	[[col:yellow]]Một mẻ nấm ngon tuyệt cú mèo[[/col]]	false
cooking_ingredient_groups_flavour_text_wh2_dlc15_slimes	[[col:yellow]]Mấy thứ nước lỏng bỏ thêm vô[[/col]]	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_bones	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_horns	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_skulls	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_stone	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_teeth	 	false
cooking_ingredient_groups_flavour_text_wh3_dlc24_ingredient_group_wood	 	false
