key	text	tooltip
#Loc;1;text/db/cdir_events_dilemma_choice_details__.loc		
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_genericFIRST	Thiết lập Liên minh	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_genericFOURTH	Xử tử Chúa tể	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_genericSECOND	Thả Tướng lĩnh kẻ thù	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_genericTHIRD	Thiết lập Liên minh Quân sự	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_generic_no_executionFIRST	Thiết lập Liên minh	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_generic_no_executionFOURTH	Phô trương Sự tàn bạo	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_generic_no_executionSECOND	Thả Tướng lĩnh kẻ thù	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_generic_no_executionTHIRD	{{tr:cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc08_nor_confederate_genericTHIRD}}	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_agent_choiceFIRST	Triệu hồi Hoàng tử Mộ	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_agent_choiceFOURTH	Thay vào đó hãy nhận một món quà	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_agent_choiceSECOND	Triệu hồi Necrotect	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_agent_choiceTHIRD	Triệu hồi Pháp sư Liche	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3FIRST	Tha mạng nếu hắn tiết lộ mọi thứ	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3FOURTH	Giao việc thẩm vấn cho các Anh hùng	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3SECOND	Tra tấn trước, hỏi chuyện sau	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3THIRD	Hỏi về trụ sở và động cơ của Clan Eshin	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2FIRST	Tham chiến	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2SECOND	Chờ đợi một dấu hiệu	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3FIRST	Hiến tế hắn cho Phakth	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3SECOND	Lột da và hồi sinh hắn	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3FIRST	Tha mạng nếu hắn tiết lộ mọi thứ	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3FOURTH	Giao việc thẩm vấn cho các Anh hùng	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3SECOND	Tra tấn trước, hỏi chuyện sau	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3THIRD	Hỏi về trụ sở và động cơ của Clan Eshin	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2FIRST	Tham chiến	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2SECOND	Chờ đợi một dấu hiệu	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_almighty_monumentsFIRST	Đài tưởng niệm Geheb	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_almighty_monumentsSECOND	Đài tưởng niệm Khsar	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_crumbling_buildingsFIRST	Củng cố đền thờ	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_crumbling_buildingsSECOND	Nó sẽ trụ vững!	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_drying_riversFIRST	Cứ để nó khô cạn	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_drying_riversSECOND	Đào và cầu nguyện!	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_eternal_servitudeFIRST	Một ít xương và xác	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_eternal_servitudeSECOND	Nhiều xương và xác	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_glorious_structuresFIRST	Xây dựng lại quân đội của chúng ta	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_glorious_structuresSECOND	Cải thiện các thành phố của chúng ta	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_liche_priestFIRST	Chôn cất hắn!	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_liche_priestSECOND	Phớt lờ hắn	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_lost_tombsFIRST	Khai quật căn phòng	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_lost_tombsSECOND	Đào chỗ khác	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_scaly_sacrificeFIRST	Tiếp tục di chuyển	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_scaly_sacrificeSECOND	Hiến tế chúng!	false
cdir_events_dilemma_choice_details_localised_choice_label_wh2_dlc09_tmb_dilemma_sinking_pyramidFIRST	Tăng cường nhân lực	false
