key	text	tooltip
#Loc;1;text/db/building_sets__.loc		
building_sets_onscreen_description_wh2_dlc09_set_brt_dyes_pottery	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_brt_iron_gold_mines	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_brt_stables_pastures	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_brt_timber	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_basic_infra	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_cavalry	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_chariots	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_constructs	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_defence	Kẻ chết sẽ trỗi dậy để tấn công bất kỳ kẻ nào đủ ngu ngốc để xâm phạm những vùng đất này.	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_economy	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_estate_citadel	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_garrison	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_infantry	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_infrastructure	Xây dựng những công trình uy nghi để tôn vinh biên cương ngày một mở rộng của Nehekhara.	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_military_recruitment	Thức tỉnh những chiến binh cổ xưa và mãi mãi trung thành, họ đã tự nguyện theo những bậc vương giả hùng mạnh vào cõi tử thần.	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_military_support	Chiêu mộ những đơn vị quái dị, đại diện cho thánh thần của Nehekharan.	false
building_sets_onscreen_description_wh2_dlc09_set_tomb_kings_recruitment	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc11_set_dwarf_slayer	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc11_set_greenskin_settlement	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc11_set_hef_shrine_of_khaine	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc11_set_newhorde_cst	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc11_set_ship_unique	Xây dựng và nâng cấp những tính năng đặc biệt trên chiến hạm của bạn để nhận được những lợi ích độc đáo.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_defence	Xây dựng tháp, tường, hoặc các công trình phòng thủ giúp tăng cường đồn trú, đảm bảo những khu ổ chuột hải tặc được bảo vệ tốt hơn.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_foreign_1	Qua buôn lậu, và có thể cả thương mại hợp pháp, hải tặc có thể kiếm được những khoản tiền lớn.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_foreign_2	Giết chóc và tham nhũng là công việc của những tên hải tặc muốn tạo danh tiếng cho mình.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_infrastructure	Củng cố chỗ đứng của đế chế hải tặc trong tỉnh bằng cách cải thiện thu nhập, kiểm soát và tăng trưởng.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_military_recruitment	Chiêu mộ những đám thây ma, những Bất Tử cấp thấp, và các thuỷ thủ triệu hồi khác vào đội thuyền hải tặc của bạn.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_military_support	Yểm trợ đội thuyền Bất Tử bằng pháo binh, bóng ma ghê tởm và những quái vật kinh dị của biển cả.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_noncoastal_gdp_buildings		false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_ship_extra	Nâng cấp các bộ phận trên chiến hạm để cải thiện khả năng chiến đấu và bổ sung thêm thủy thủ đoàn.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_ship_recruitment	Bổ sung đội thuyền hải tặc Bất Tử bằng đám thây ma, bóng ma ghê tởm và những quái vật kinh dị từ biển và trên không.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_coast_ship_settlement	Nâng cấp Phòng Thuyền Trưởng để cải thiện khả năng tăng trưởng và chiêu mộ của chiến hạm.	false
building_sets_onscreen_description_wh2_dlc11_set_vampire_lair	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc11_set_vmp_binding_circle	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc11_set_vmp_forest	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc12_set_lizardmen_skink	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc12_set_skaven_engineering	[HIDDEN]	false
building_sets_onscreen_description_wh2_dlc12_set_skaven_foreign_annexation	Giáng xuống sự tiêu diệt hoàn toàn lên những kẻ chiếm đóng không ngờ đến phía trên bạn.	false
building_sets_onscreen_description_wh2_dlc12_set_skaven_foreign_discovery	Thực hiện các biện pháp để đảm bảo những kẻ phía trên vẫn không hay biết về sự hiện diện của bạn.	false
building_sets_onscreen_description_wh2_dlc12_set_skaven_foreign_food	Giữ cho đám đông đang sôi sục của Đế Chế Ngầm được ăn no bằng cách thu thập và cướp phá nguồn lương thực trên mặt đất.	false
building_sets_onscreen_description_wh2_dlc12_set_skaven_foreign_money	Bằng cách tống tiền và đúc token Warp, Thành Phố Ngầm có thể mang lại lợi nhuận cho bộ tộc.	false
