﻿key	text	tooltip
#Loc;1;text/db/agent_culture_details__.loc		
agent_culture_details_description_text_1010587147	Hàng giáo phẩm của Chính Thống Giáo vĩ đại và các giáo phái thuộc hệ thống thần thánh của Kislev, trong đó Ursun là vị thần nổi bật nhất.	false
agent_culture_details_description_text_102056032	Thường được tìm thấy trong giới quý tộc hoặc trong những khu vực đồi trụy hơn, các giáo phái của Hoàng tử Bóng tối nuôi dưỡng ham muốn và sự dư thừa.	false
agent_culture_details_description_text_1057932884		false
agent_culture_details_description_text_1061477138	Isabella đã nằm trên giường bệnh trước khi Vlad cuối cùng biến cô bằng Nụ Hôn Máu, nhận ra rằng ông không thể tiếp tục sống thiếu cô. Kể từ đó, họ mãi mãi ở bên cạnh nhau – trong cả tình yêu không mệt mỏi và Sự Bất Tử vĩnh cửu.	false
agent_culture_details_description_text_1072757616	Master là những Dreadlord đang trong quá trình rèn luyện. Họ vẫn chưa chứng minh được năng lực khi chỉ huy đội đột kích của riêng mình, nhưng luôn háo hức thể hiện khả năng và tham vọng chết người.	false
agent_culture_details_description_text_1080045947	Để nằm trong đội ngũ của Warlord, việc lập mưu phải đến tự nhiên như hơi thở, vì cần một nhà lãnh đạo vĩ đại để nói ra những lời dối trá vĩ đại.	false
agent_culture_details_description_text_1110564092	{{tr:unit_description_short_texts_text_wh3_dlc25_unit_short_text_emp_cha_engineer}}	false
agent_culture_details_description_text_1122969389	Thuyền trưởng Hạm đội Ma tớn (Vampire Fleet Captain) là những người sử dụng ma thuật và là chủ nhân của thủy thủ đoàn, trừng phạt mọi sự không vâng lời bằng những đòn roi tàn khốc.	false
agent_culture_details_description_text_1126275823		false
agent_culture_details_description_text_114291892		false
agent_culture_details_description_text_1159840472		false
agent_culture_details_description_text_1161079929	Những con Horror sáng nhất, rực rỡ nhất và luôn biến đổi – vừa là kẻ điên lảm nhảm vừa là một học giả. Đó chính là sức mạnh của Sự Thay Đổi.	false
agent_culture_details_description_text_1162984081	Tư Tế Liche là những thành viên bất tử của Hội Tang Lễ vùng Nehekhara, và họ nắm giữ những bí mật của Sự Bất Tử.	false
agent_culture_details_description_text_1168997131	Các đội trưởng của Cận Vệ Địa Ngục (Infernal Guard) được đánh dấu bởi sự tàn ác đáng khinh và sở thích bạo lực đẫm máu bất cứ khi nào có cơ hội.	false
agent_culture_details_description_text_1173480852	Tomb Prince là những người con trai của các Vua Mộ. Mỗi vị vua của Nehekhara cổ đại có nhiều người thừa kế, nhưng chỉ một người có thể nối ngôi cha mình.	false
agent_culture_details_description_text_1174301954	Hàng giáo phẩm của Chính Thống Giáo vĩ đại và các giáo phái thuộc hệ thống thần thánh của Kislev, trong đó Ursun là vị thần nổi bật nhất.	false
agent_culture_details_description_text_1187083556	Một chủng tộc lưỡng cư cổ xưa, độc ác về bản chất, người Fimir đã thờ phụng các Quyền năng Suy vong từ lâu trước khi sự chú ý của các vị thần hay thay đổi bị thu hút bởi tiềm năng vô tận của con người.	false
agent_culture_details_description_text_1198264842		false
