key	text	tooltip
#Loc;1;text/db/death_types__.loc		
death_types_localised_description_ADVANCED	Nâng cao	false
death_types_localised_description_ALIVE	Còn sống	false
death_types_localised_description_ASSASSINATED	Ám sát	false
death_types_localised_description_CHILD_BIRTH	Sinh con	false
death_types_localised_description_CONVALESCING	Bị thương	false
death_types_localised_description_DEAD_IN_STARTPOS	Đã chết	false
death_types_localised_description_DESEASE	Dịch bệnh	false
death_types_localised_description_DESTROYED_AFTER_DEFECTION	Đào tẩu	false
death_types_localised_description_DIED_AT_SEA	Tử nạn trên biển	false
death_types_localised_description_DISBANDED	Giải tán	false
death_types_localised_description_EXECUTED	Bị xử tử	false
death_types_localised_description_EXPIRED	Hết thời hạn phục vụ	false
death_types_localised_description_FAMILY_CHARACTER_CLEAN_UP	Xóa nhân vật	false
death_types_localised_description_HUNTED_DOWN	Bị săn lùng	false
death_types_localised_description_INFANT_MORTALITY	Chết yểu	false
death_types_localised_description_KILLED_IN_ACTION	Hy sinh trong chiến đấu	false
death_types_localised_description_NUM_DEATH_TYPES	KHÔNG HỢP LỆ	false
death_types_localised_description_OLD_AGE	Tuổi già	false
death_types_localised_description_PERFORMING_RITUAL	Đang hồi phục	false
death_types_localised_description_PERSUADED	Thuyết phục	false
death_types_localised_description_QUEST_BATTLE_OVER	Trận chiến Nhiệm vụ kết thúc	false
death_types_localised_description_REJECTED	Bị từ chối	false
death_types_localised_description_WAAAGH_DISPANDED	placeholder	false
death_types_localised_description_WAAAGH_OVER	Waaagh! kết thúc	false
