key	text	tooltip
#Loc;1;text/db/character_training_dilemma_choices__.loc		
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_first	Nhà Kinh Tế	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_fourth	Đặc Vụ Triều Đình	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_second	Kiến Trúc Sư	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_third	Người Bảo Vệ	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_first	Chỉ Huy Chiến Trường	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_fourth	Giám Hộ	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_second	Hậu Cần	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_third	Tiếp Tế	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_first	Khiên	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_fourth	Bão	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_second	Bóng Tối	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_third	Mảnh Vỡ	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken_first	Bão Tố	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken_second	Băng	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_1_first	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_first}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_1_fourth	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_fourth}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_1_second	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_second}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_1_third	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_1_third}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_2_first	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_first}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_2_fourth	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_fourth}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_2_second	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_second}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_2_third	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_2_third}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_3_first	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_first}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_3_fourth	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_fourth}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_3_second	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_second}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_3_third	{{tr:character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_frost_maiden_3_third}}	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_disciplined_approach_first	Bão Tố	false
character_training_dilemma_choices_localised_label_wh3_main_character_training_dilemma_ice_witch_disciplined_approach_second	Băng	false
