key	text	tooltip
#Loc;1;text/db/campaign_effect_scopes__.loc		
campaign_effect_scopes_localised_text_agent_to_parent_army_general_own	\\n(đi cùng [[img:icon_general]][[/img]]Lãnh chúa)	false
campaign_effect_scopes_localised_text_agent_to_parent_army_general_own_armytext	\\n(Quân đội của [[img:icon_hero]][[/img]]Anh hùng)	false
campaign_effect_scopes_localised_text_agent_to_parent_army_own	\\n(Quân đội của [[img:icon_hero]][[/img]]Anh hùng)	false
campaign_effect_scopes_localised_text_army_to_army_enemy		false
campaign_effect_scopes_localised_text_army_to_army_own	\\n(Quân đội của [[img:icon_general]][[/img]]Lãnh chúa)	false
campaign_effect_scopes_localised_text_army_to_army_own_unseen		false
campaign_effect_scopes_localised_text_building_to_adjacent_province	\\n(tất cả các tỉnh lân cận)	false
campaign_effect_scopes_localised_text_building_to_army_own_provincewide	\\n(các quân đội trong tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_building_to_building_own		false
campaign_effect_scopes_localised_text_building_to_character_any_in_adjacent_provinces	\\n(tất cả quân đội trong các tỉnh lân cận)	false
campaign_effect_scopes_localised_text_building_to_character_in_adjacent_regions_enemy	\\n(tất cả quân đội địch trong các vùng lân cận)	false
campaign_effect_scopes_localised_text_building_to_character_own_factionwide	\\n(tất cả nhân vật trên toàn phe)	false
campaign_effect_scopes_localised_text_building_to_character_own_in_adjacent_provinces	\\n(tất cả quân đội của bạn trong các tỉnh lân cận)	false
campaign_effect_scopes_localised_text_building_to_character_own_in_adjacent_provinces_hidden		false
campaign_effect_scopes_localised_text_building_to_character_own_in_adjacent_region	{{tr:campaign_effect_scopes_localised_text_building_to_character_own_in_adjacent_regions}}	false
campaign_effect_scopes_localised_text_building_to_character_own_in_adjacent_region_hidden		false
campaign_effect_scopes_localised_text_building_to_character_own_in_adjacent_regions	\\n(tất cả quân đội của bạn trong các vùng lân cận)	false
campaign_effect_scopes_localised_text_building_to_character_own_regionwide_forcetext	\\n(các quân đội trong vùng hiện tại)	false
campaign_effect_scopes_localised_text_building_to_character_own_regionwide_hidden		false
campaign_effect_scopes_localised_text_building_to_enemy_lords_in_adjacent_regions	\\n(tất cả [[img:icon_general]][[/img]]Lãnh chúa địch trong các vùng lân cận)	false
campaign_effect_scopes_localised_text_building_to_faction_own		false
campaign_effect_scopes_localised_text_building_to_faction_own_factionwide	\\n(toàn phe)	false
campaign_effect_scopes_localised_text_building_to_force_any_in_province	\\n(tất cả quân đội trong tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_building_to_force_bloodgroundwide	\\n(tất cả vùng Blood-ground)	false
campaign_effect_scopes_localised_text_building_to_force_enemy_bloodgroundwide	\\n(tất cả vùng Blood-ground)	false
campaign_effect_scopes_localised_text_building_to_force_enemy_in_adjacent_regions	\\n(tất cả quân đội địch trong các tỉnh lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_in_region_and_adjacent_regions	\\n(tất cả quân đội trong vùng hiện tại và lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_own_factionwide	\\n(toàn phe)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_adjacent_geographical_provinces	\\n(tất cả quân đội của bạn trong các tỉnh lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_adjacent_province_unseen		false
campaign_effect_scopes_localised_text_building_to_force_own_in_adjacent_provinces	\\n(tất cả quân đội của bạn trong các tỉnh lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_adjacent_regions	\\n(tất cả quân đội của bạn trong các vùng lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_adjacent_regions_alt_text	\\n(tất cả quân đội trong vùng hiện tại và lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_province_and_adjacent_province_dummy	\\n(tất cả quân đội trong tỉnh hiện tại và lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_province_geographical_own	\\n(tất cả quân đội trong tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_province_hidden		false
campaign_effect_scopes_localised_text_building_to_force_own_in_province_own	\\n(tất cả quân đội trong tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_building_to_force_own_in_region_and_adjacent_regions_dummy	\\n(tất cả quân đội trong vùng hiện tại và lân cận)	false
campaign_effect_scopes_localised_text_building_to_force_own_provincewide_unseen		false
campaign_effect_scopes_localised_text_building_to_forces_enemy_provincewide	\\n(quân đội địch trong tỉnh)	false
campaign_effect_scopes_localised_text_building_to_forces_enemy_regionwide	\\n(quân đội địch trong vùng)	false
campaign_effect_scopes_localised_text_building_to_forces_in_adjacent_regions_unseen		false
campaign_effect_scopes_localised_text_building_to_forces_own_provincewide	\\n(các quân đội trong tỉnh)	false
campaign_effect_scopes_localised_text_building_to_forces_own_regionwide	\\n(các quân đội trong vùng)	false
campaign_effect_scopes_localised_text_building_to_forces_own_regionwide_hidden		false
campaign_effect_scopes_localised_text_building_to_forces_own_regionwide_if_garrison	\\n(các quân đội trong vùng)	false
campaign_effect_scopes_localised_text_building_to_forces_own_regionwide_if_garrison_garrisontext)	\\n(đồn trú của khu định cư)	false
campaign_effect_scopes_localised_text_building_to_province_own	\\n(tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_building_to_province_own_unseen		false
campaign_effect_scopes_localised_text_building_to_region_adjacent_enemy	\\n(các vùng địch lân cận)	false
campaign_effect_scopes_localised_text_building_to_region_own	\\n(vùng hiện tại)	false
campaign_effect_scopes_localised_text_building_to_region_own_unseen		false
campaign_effect_scopes_localised_text_building_to_region_provincewide	\\n(tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_building_to_regions_in_adjacent_regions	\\n(các vùng lân cận)	false
campaign_effect_scopes_localised_text_character_to_any_province	\\n(tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_character_to_army_general_own	\\n([[img:icon_general]][[/img]]Lãnh chúa)	false
campaign_effect_scopes_localised_text_character_to_army_general_own_unseen		false
campaign_effect_scopes_localised_text_character_to_character_ally_provincewide_armytext	\\n(Các quân đội đồng minh trong tỉnh hiện tại)	false
campaign_effect_scopes_localised_text_character_to_character_ally_regionwide_armytext	\\n(Các quân đội đồng minh trong vùng hiện tại)	false
campaign_effect_scopes_localised_text_character_to_character_own		false
campaign_effect_scopes_localised_text_character_to_character_own_armytext	\\n(Quân đội của [[img:icon_general]][[/img]]Lãnh chúa)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner	\\n(đơn vị được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_black_orcs	\\n(đơn vị Black Orcs được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_bowmen	\\n(đơn vị Peasant Bowmen được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_characters	\\n(Lãnh chúa hoặc Anh hùng được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_chd_hobgoblins	\\n(đơn vị Hobgoblin được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_chd_warmachines	\\n(đơn vị Cỗ máy Chiến tranh được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_feral_mammoth	\\n(đơn vị Feral Mammoth được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_fimir	\\n(đơn vị Fimir được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_goblins	\\n(đơn vị Goblin được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_knights_errants	\\n(đơn vị Knights được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_maneater	\\n(đơn vị Maneater được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_minotaurs	\\n(đơn vị Minotaurs được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_not_character	\\n(đơn vị không phải nhân vật được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_skin_wolf	\\n(đơn vị Skin Wolf được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_skin_wolves	\\n(đơn vị Skin Wolves được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_skink_ranged	\\n(đơn vị Skink phóng tiêu hoặc lao được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_slayers	\\n(đơn vị Slayer được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_spearmen	\\n(đơn vị Bộ binh Cận chiến được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_spell_caster	\\n(Người thi triển pháp thuật được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_trolls	\\n(đơn vị Troll được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_unseen		false
campaign_effect_scopes_localised_text_character_to_character_own_banner_war_machine	\\n(đơn vị pháo binh được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_banner_war_machine_excl_grudge	\\n(đơn vị pháo binh không phải Grudge Settler được phân công)	false
campaign_effect_scopes_localised_text_character_to_character_own_factionwide	\\n(toàn phe)	false
campaign_effect_scopes_localised_text_character_to_character_own_factionwide_heroes	\\n(tất cả [[img:icon_hero]][[/img]]Anh hùng)	false
campaign_effect_scopes_localised_text_character_to_character_own_factionwide_unseen		false
campaign_effect_scopes_localised_text_character_to_character_own_friendly_territory	\\n(khi ở lãnh thổ phe mình)	false
campaign_effect_scopes_localised_text_character_to_character_own_grom_text	\\n(chỉ áp dụng cho Grom)	false
campaign_effect_scopes_localised_text_character_to_character_own_human_form	\\n(trong dạng người)	false
campaign_effect_scopes_localised_text_character_to_character_own_lordtext	\\n(Lãnh chúa được phân công)	false
