key	text	tooltip
#Loc;1;text/db/compass_directions__.loc		
compass_directions_description_wh3_dlc24_compass_advanced_ashshair	ph	false
compass_directions_description_wh3_dlc24_compass_advanced_broken_lands	ph	false
compass_directions_description_wh3_dlc24_compass_advanced_dragon_river	ph	false
compass_directions_description_wh3_dlc24_compass_advanced_nonchang_basin	ph	false
compass_directions_description_wh3_main_chaos_compass_bastion		false
compass_directions_description_wh3_main_chaos_compass_desert		false
compass_directions_description_wh3_main_chaos_compass_lake		false
compass_directions_description_wh3_main_chaos_compass_wrath		false
compass_directions_title_wh3_dlc24_compass_advanced_ashshair	Ashshair	false
compass_directions_title_wh3_dlc24_compass_advanced_broken_lands	Vùng Đất Tan Vỡ	false
compass_directions_title_wh3_dlc24_compass_advanced_dragon_river	Sông Rồng	false
compass_directions_title_wh3_dlc24_compass_advanced_nonchang_basin	Lưu vực Nông Xương	false
compass_directions_title_wh3_main_chaos_compass_bastion	Đại Trường Thành	false
compass_directions_title_wh3_main_chaos_compass_desert	Sa mạc Đá Biến	false
compass_directions_title_wh3_main_chaos_compass_lake	Hồ Thiên Giới	false
compass_directions_title_wh3_main_chaos_compass_wrath	Cơn Thịnh Nộ của Long Đế	false
