key	text	tooltip
#Loc;1;text/db/cooking_ingredients__.loc		
cooking_ingredients_display_text_wh2_dlc15_ale	Bia Lùn	false
cooking_ingredients_display_text_wh2_dlc15_bat	Da Cánh Dơi	false
cooking_ingredients_display_text_wh2_dlc15_boar	Thịt Heo Rừng	false
cooking_ingredients_display_text_wh2_dlc15_clams	Nghêu Đại Dương	false
cooking_ingredients_display_text_wh2_dlc15_crab	Cua Vỏ Cứng	false
cooking_ingredients_display_text_wh2_dlc15_discharge	Chất Nhầy Quái Vật	false
cooking_ingredients_display_text_wh2_dlc15_dragon	Đuôi Rồng	false
cooking_ingredients_display_text_wh2_dlc15_eagle	Móng Vuốt Đại Bàng	false
cooking_ingredients_display_text_wh2_dlc15_ectoplasm	Ngoại Chất	false
cooking_ingredients_display_text_wh2_dlc15_glowing	Nấm Phát Sáng	false
cooking_ingredients_display_text_wh2_dlc15_goblin	Chân Goblin	false
cooking_ingredients_display_text_wh2_dlc15_gold_fish	Cá Vàng	false
cooking_ingredients_display_text_wh2_dlc15_green	Bào Tử Xanh	false
cooking_ingredients_display_text_wh2_dlc15_harpy	Đầu Harpy	false
cooking_ingredients_display_text_wh2_dlc15_indigo	Nấm Sữa Chàm	false
cooking_ingredients_display_text_wh2_dlc15_lion	Thịt Sư Tử	false
cooking_ingredients_display_text_wh2_dlc15_lizard	Chân Thằn Lằn	false
cooking_ingredients_display_text_wh2_dlc15_milk	Sữa Centigor	false
cooking_ingredients_display_text_wh2_dlc15_pepper	Nấm Ớt Địa Ngục	false
cooking_ingredients_display_text_wh2_dlc15_phoenix	Móng Vuốt Phượng Hoàng	false
cooking_ingredients_display_text_wh2_dlc15_puffer_fish	Cá Nóc	false
cooking_ingredients_display_text_wh2_dlc15_stinky	Nấm Thối	false
cooking_ingredients_display_text_wh2_dlc15_tentacle	Xúc Tu	false
cooking_ingredients_display_text_wh2_dlc15_troll	Thịt Troll	false
cooking_ingredients_display_text_wh2_dlc15_yolk	Lòng Đỏ Trứng Nhện	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_bones_nehekharan_spine	Xương Sống Nehekhara	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_bones_rotting_clavicle	Xương Đòn Mục Rỗng	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_bones_well_gnawed_bone	Xương Gặm Dở	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_horns_dawi_zharr_horn	Sừng Dawi-Zharr	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_horns_gor_horn	Sừng Gor	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_horns_horned_one_trophy	Chiến Tích Kẻ Có Sừng	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_skulls_daemon_skull	Sọ Ác Quỷ	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_skulls_elven_skull	Sọ Tiên	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_skulls_marauder_skull	Sọ Kẻ Cướp	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_stone_brynduraz	Brynduraz	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_stone_stone_dog_ornament	Tượng Chó Đá	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_stone_warpstone_fragment	Mảnh Đá Warpstone	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_teeth_cold_ones_fang	Răng Nanh Cold One	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_teeth_incisor_of_man	Răng Cửa Người	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_teeth_orc_molar	Răng Hàm Orc	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_wood_bark_of_ages	Vỏ Cây Ngàn Năm	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_wood_branch_of_arden	Cành Cây Arden	false
cooking_ingredients_display_text_wh3_dlc24_ingredient_wood_ursun_totem	Vật Tổ Ursun	false
cooking_ingredients_display_unlock_text_wh2_dlc15_ale	[[col:red]]Cướp bóc một khu định cư của người Lùn[[/col]]	false
cooking_ingredients_display_unlock_text_wh2_dlc15_bat	[[col:red]]Thắng một trận chiến chống lại quân đội có chứa bất kỳ sinh vật bay nào của Lustria hoặc máy móc có cánh (bao gồm cả thú cưỡi)[[/col]]	false
cooking_ingredients_display_unlock_text_wh2_dlc15_boar	[[col:red]]Trang bị thú cưỡi Heo Rừng Chiến cho một nhân vật[[/col]]	false
cooking_ingredients_display_unlock_text_wh2_dlc15_clams	[[col:red]]Ra khơi thám hiểm biển cả hoặc cướp bóc một khu định cư của Bretonnia[[/col]]	false
cooking_ingredients_display_unlock_text_wh2_dlc15_crab	[[col:red]]Ra khơi thám hiểm biển cả hoặc cướp bóc một khu định cư của Vampire Coast[[/col]]	false
cooking_ingredients_display_unlock_text_wh2_dlc15_discharge	"[[col:red]]Chiêu mộ Trung đoàn Danh tiếng ""Da Swamp Fings""[[/col]]"	false
