key	text	tooltip
#Loc;1;text/db/ancillaries_subcategories__.loc		
ancillaries_subcategories_onscreen_name_armour_rune	Cổ Ngữ Khải Giáp	false
ancillaries_subcategories_onscreen_name_banner	Hiệu Kỳ	false
ancillaries_subcategories_onscreen_name_banner_rune	Cổ Ngữ Hiệu Kỳ	false
ancillaries_subcategories_onscreen_name_character_rune	Cổ Ngữ Nhân Vật	false
ancillaries_subcategories_onscreen_name_engineering_rune	Cổ Ngữ Kỹ Thuật	false
ancillaries_subcategories_onscreen_name_follower	Tùy Tùng	false
ancillaries_subcategories_onscreen_name_gift	Ân Tứ Hỗn Mang	false
ancillaries_subcategories_onscreen_name_mark	Dấu Ấn Hỗn Mang	false
ancillaries_subcategories_onscreen_name_poison	Độc Dược	false
ancillaries_subcategories_onscreen_name_rune	Cổ Ngữ	false
ancillaries_subcategories_onscreen_name_spell_fragment	Mảnh Vỡ Phép Thuật	false
