key	text	tooltip
#Loc;1;text/db/campaign_decisions__.loc		
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_blood_money	Chiến tranh và số vàng cần thiết để chiến đấu; chính điều này thống trị các cộng đồng oblast và đưa ra sự lựa chọn khắc nghiệt mà một Ataman phải đối mặt. Thu nhập nên được đầu tư để làm cho tất cả mọi người trong cộng đồng giàu có hơn, hay nên dùng để trả cho các chiến binh chiến đấu và bảo vệ Tổ quốc?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_innovate_or_die	Một quyết định quan trọng được yêu cầu ở Ataman. Các tài nguyên quý giá nên được sử dụng để củng cố tỉnh hay chi tiêu tập trung vào những đổi mới và nghiên cứu?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_judgement	Thường thì, một Ataman phải đóng vai trò như một người phán xử – xác định tội lỗi và đưa ra hình phạt theo yêu cầu, cũng như giải quyết các tranh chấp khác, dù là hợp pháp hay không. Một phán quyết như vậy hiện đang được yêu cầu. Liệu một người có nên được bồi thường bằng chi phí của thị trấn?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_kislev_still_needs_you	Nỗ lực và nguồn lực nên được chuyển đến đâu? Ataman phải đưa ra một quyết định khó khăn để củng cố hệ thống phòng thủ hoặc nhanh chóng chiêu mộ và phát triển lực lượng địa phương của mình.	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_kislevian_coin	Việc phân bổ quỹ và chuyển chúng vì lợi ích của những người mà họ quản lý là nhiệm vụ tuyên thệ của các Ataman. Nguồn quỹ nên đi vào các khoản đầu tư hay để củng cố tốt hơn các hệ thống phòng thủ chống lại sự nổi loạn và những kẻ thù công khai?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_labour_shortage	Chỉ có một số lượng nhất định những người con của Kislev có sẵn, và nhu cầu của thị trấn gây áp lực lên lực lượng lao động. Do đó, Ataman phải quyết định xem việc xây dựng hay chiêu mộ quân đội mới là ưu tiên của mình.	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_loyalties_proven	Căng thẳng giữa các đặc vụ của Tzarina và Đại Chính Thống Giáo (Great Orthodoxy) gia tăng, tràn ra xa hơn từ thủ đô và vào các oblast. Ataman được các phe phái kêu gọi để chứng minh lòng trung thành của mình một lần nữa.	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_loyalties_revealed	Tại thành phố Kislev, người ta đồn rằng có một cuộc tranh giành quyền lực giữa Đại Chính Thống Giáo (Great Orthodoxy) đang ngột ngạt và ảnh hưởng đang nổi lên của Triều đình Băng (Ice Court), do Tzarina lãnh đạo. Bây giờ, một Thượng phụ (Patriarch) của Chính Thống Giáo đang đến gần, một Băng Trinh Nữ (Frost Maiden) - đặc vụ của Nữ hoàng Băng, cũng vậy. Ataman nên thể hiện sự ưu ái với ai?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_seeking_refuge	Người dân Kislev có thể là những chủ nhà hào phóng và hiếu khách, đặc biệt nếu khách sẵn lòng uống rượu cùng họ. Vậy mà... có những người bị chào đón bằng sự nghi ngờ, những người không được mời rượu mạnh và những lời thì thầm về Tín ngưỡng Hắc ám (Dark Worship) lan truyền về họ. Ataman nên hành động thế nào khi những người tị nạn đến gần?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_the_black_glove	Theo truyền thống, một khi Găng Tay Đen (Black Glove) được chuyển đến từ Erengrad, một Ataman phải ngay lập tức tập hợp các bộ lạc, vì chiến tranh là điều không thể tránh khỏi. Tuy nhiên, các cố vấn của ông đề nghị đi ngược lại phong tục vào dịp này và gây ảnh hưởng nhiều hơn trên toàn tỉnh.	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_the_hunt	Được coi là một dấu hiệu của sự may mắn lớn cho Ataman khi dẫn đầu những người thợ săn của khu định cư trong một đám rước qua các con phố vào đầu mùa. Tuy nhiên, những người thợ săn bị chia rẽ phe phái giữa những người đặt bẫy, những người xa lánh ngựa, và những cung thủ săn bắt con mồi trên những con chiến mã yêu quý của họ. Ataman nên ủng hộ phe nào?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_time_of_dazh	Đây là Thời đại của Dazh, nơi Ataman phải nghĩ về quê hương với lòng tôn kính Thần Lửa và Mặt Trời. Tuy nhiên, cũng phải xem xét mong muốn đi lang thang xa khỏi bếp lửa. Liệu Ataman có nên giũ bỏ vai trò nghi lễ của mình và mạo hiểm với sự oán giận trong chính cộng đồng của mình?	false
campaign_decisions_localised_description_wh3_main_campaign_decision_ataman_within_or_without	Tài nguyên luôn có hạn. Ataman phải đưa ra lựa chọn liệu nên giải quyết những tin đồn và nhổ tận gốc sự ô uế của các Vị thần Hắc ám, hay đảm bảo rằng các oblast được tuần tra để bảo vệ chúng khỏi những mối đe dọa công khai hơn.	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_blood_money	Tiền Máu	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_innovate_or_die	Đổi Mới hay Chết	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_judgement	Phán Xét	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_kislev_still_needs_you	Kislev Vẫn Cần Bạn	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_kislevian_coin	Đồng Tiền Kislevian	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_labour_shortage	Thiếu Hụt Lao Động	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_loyalties_proven	Lòng Trung Thành Được Chứng Minh	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_loyalties_revealed	Lòng Trung Thành Được Tiết Lộ	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_seeking_refuge	Tìm Kiếm Nơi Tôn Náo	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_the_black_glove	Găng Tay Đen	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_the_hunt	Cuộc Săn	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_time_of_dazh	Thời Của Dazh	false
campaign_decisions_localised_title_wh3_main_campaign_decision_ataman_within_or_without	Bên Trong Hay Bên Ngoài	false
