key	text	tooltip
#Loc;1;text/db/armory_slot_type_ui_infos__.loc		
armory_slot_type_ui_infos_localised_name_head	Đầu	false
armory_slot_type_ui_infos_localised_name_left_arm	Tay Trái	false
armory_slot_type_ui_infos_localised_name_legs	Chân	false
armory_slot_type_ui_infos_localised_name_right_arm	Tay Phải	false
armory_slot_type_ui_infos_localised_name_shield	Tay Phụ	false
armory_slot_type_ui_infos_localised_name_tail	Đuôi	false
armory_slot_type_ui_infos_localised_name_torso	Thân	false
armory_slot_type_ui_infos_localised_name_weapon_1	Vũ Khí Hai Tay	false
armory_slot_type_ui_infos_localised_name_weapon_2	Vũ Khí Một Tay	false
armory_slot_type_ui_infos_localised_name_weapon_3	placeholder	false
armory_slot_type_ui_infos_localised_name_weapon_4	placeholder	false
armory_slot_type_ui_infos_localised_name_weapon_5	placeholder	false
armory_slot_type_ui_infos_localised_name_wings	Cánh	false
