key	text	tooltip
#Loc;1;text/db/battle_secondary_currency_source_types__.loc		
battle_secondary_currency_source_types_ui_localised_name_army_entities_in_melee	Thu nhập Quân đội từ Lính tham gia Cận chiến	false
battle_secondary_currency_source_types_ui_localised_name_army_losses	Thu nhập Quân đội từ Lính tử trận	false
battle_secondary_currency_source_types_ui_localised_name_army_losses_own_army	Thu nhập Quân đội từ Lính phe ta tử trận	false
battle_secondary_currency_source_types_ui_localised_name_base_income_over_time	Thu nhập Cơ bản	false
battle_secondary_currency_source_types_ui_localised_name_casualties_amongst_own_lowly_infantry	Thương vong Bộ binh Cấp thấp Phe ta	false
battle_secondary_currency_source_types_ui_localised_name_damage_taken	Sát thương Nhận vào	false
battle_secondary_currency_source_types_ui_localised_name_enemy_units_under_negative_effects	Đơn vị Địch chịu Hiệu ứng Bất lợi	false
battle_secondary_currency_source_types_ui_localised_name_experience_damage_inflicted	Sát thương Kinh nghiệm Gây ra	false
battle_secondary_currency_source_types_ui_localised_name_fate	Điểm Định Mệnh	false
battle_secondary_currency_source_types_ui_localised_name_first_time_captured_point	Lần Đầu Điểm chiếm đóng Đổi Chủ	false
battle_secondary_currency_source_types_ui_localised_name_glory	Vinh Quang	false
battle_secondary_currency_source_types_ui_localised_name_holding_key_building_a_points	Giữ Điểm chiếm đóng Chính	false
battle_secondary_currency_source_types_ui_localised_name_holding_key_building_b_points	Giữ Điểm Tiếp tế	false
battle_secondary_currency_source_types_ui_localised_name_holding_major_victory_points	Giữ Điểm chiếm đóng Lớn	false
battle_secondary_currency_source_types_ui_localised_name_holding_minor_victory_points	Giữ Điểm chiếm đóng Nhỏ	false
battle_secondary_currency_source_types_ui_localised_name_holding_score_points	Giữ Điểm tính điểm	false
battle_secondary_currency_source_types_ui_localised_name_hp_damage_inflicted	Sát thương Sinh lực Gây ra	false
battle_secondary_currency_source_types_ui_localised_name_kills	Tiêu diệt	false
battle_secondary_currency_source_types_ui_localised_name_losing_compensation	Bồi thường khi Thua	false
battle_secondary_currency_source_types_ui_localised_name_prisoners	Tù binh	false
battle_secondary_currency_source_types_ui_localised_name_settlement_level	Cấp độ Khu định cư	false
battle_secondary_currency_source_types_ui_localised_name_starting_income	Quỹ Khởi điểm	false
battle_secondary_currency_source_types_ui_localised_name_unit_within_x_of_shattered_enemy_unit	Đơn vị Địch Tan vỡ	false
battle_secondary_currency_source_types_ui_localised_name_units_charging	Đơn vị đang Xung phong	false
battle_secondary_currency_source_types_ui_localised_name_wom_spent	Gió Phép thuật đã dùng	false
